time,US.China.Trade.War_npdc_gold,US.China.Trade.War_npdc_forex,US.China.Trade.War_npdc_oil,US.China.Trade.War_npdc_SP500,US.China.Trade.War_npdc_soybean,US.China.Trade.War_npdc_bitcoin,US.China.Trade.War_npdc_ten_year_bond,Tax.Policy_npdc_gold,Tax.Policy_npdc_forex,Tax.Policy_npdc_oil,Tax.Policy_npdc_SP500,Tax.Policy_npdc_soybean,Tax.Policy_npdc_bitcoin,Tax.Policy_npdc_ten_year_bond,Healthcare.Reform_npdc_gold,Healthcare.Reform_npdc_forex,Healthcare.Reform_npdc_oil,Healthcare.Reform_npdc_SP500,Healthcare.Reform_npdc_soybean,Healthcare.Reform_npdc_bitcoin,Healthcare.Reform_npdc_ten_year_bond,Election.Related_npdc_gold,Election.Related_npdc_forex,Election.Related_npdc_oil,Election.Related_npdc_SP500,Election.Related_npdc_soybean,Election.Related_npdc_bitcoin,Election.Related_npdc_ten_year_bond,Economic.Indicators_npdc_gold,Economic.Indicators_npdc_forex,Economic.Indicators_npdc_oil,Economic.Indicators_npdc_SP500,Economic.Indicators_npdc_soybean,Economic.Indicators_npdc_bitcoin,Economic.Indicators_npdc_ten_year_bond,Fed.Policy_npdc_gold,Fed.Policy_npdc_forex,Fed.Policy_npdc_oil,Fed.Policy_npdc_SP500,Fed.Policy_npdc_soybean,Fed.Policy_npdc_bitcoin,Fed.Policy_npdc_ten_year_bond,Stock.Market_npdc_gold,Stock.Market_npdc_forex,Stock.Market_npdc_oil,Stock.Market_npdc_SP500,Stock.Market_npdc_soybean,Stock.Market_npdc_bitcoin,Stock.Market_npdc_ten_year_bond,Geopolitical.Risks_npdc_gold,Geopolitical.Risks_npdc_forex,Geopolitical.Risks_npdc_oil,Geopolitical.Risks_npdc_SP500,Geopolitical.Risks_npdc_soybean,Geopolitical.Risks_npdc_bitcoin,Geopolitical.Risks_npdc_ten_year_bond,Trade.Agreements_npdc_gold,Trade.Agreements_npdc_forex,Trade.Agreements_npdc_oil,Trade.Agreements_npdc_SP500,Trade.Agreements_npdc_soybean,Trade.Agreements_npdc_bitcoin,Trade.Agreements_npdc_ten_year_bond,COVID.19_npdc_gold,COVID.19_npdc_forex,COVID.19_npdc_oil,COVID.19_npdc_SP500,COVID.19_npdc_soybean,COVID.19_npdc_bitcoin,COVID.19_npdc_ten_year_bond,Healthcare.Policy_npdc_gold,Healthcare.Policy_npdc_forex,Healthcare.Policy_npdc_oil,Healthcare.Policy_npdc_SP500,Healthcare.Policy_npdc_soybean,Healthcare.Policy_npdc_bitcoin,Healthcare.Policy_npdc_ten_year_bond,Energy.Policy_npdc_gold,Energy.Policy_npdc_forex,Energy.Policy_npdc_oil,Energy.Policy_npdc_SP500,Energy.Policy_npdc_soybean,Energy.Policy_npdc_bitcoin,Energy.Policy_npdc_ten_year_bond,Tech.Regulation_npdc_gold,Tech.Regulation_npdc_forex,Tech.Regulation_npdc_oil,Tech.Regulation_npdc_SP500,Tech.Regulation_npdc_soybean,Tech.Regulation_npdc_bitcoin,Tech.Regulation_npdc_ten_year_bond,US-China Trade War,Tax Policy,Healthcare Reform,Election Related,Economic Indicators,Fed Policy,Stock Market,Geopolitical Risks,Trade Agreements,COVID-19,Healthcare Policy,Energy Policy,Tech Regulation
2017/1/3,-0.335980328,-0.692311907,-0.268393383,0.364454564,-0.044069714,-0.038416997,-0.085533133,0.533654954,0.706377365,-0.69247569,0.216031588,0.599857777,-0.921855212,0.067147937,0.630850717,-0.79387412,-0.799404845,1.846125129,-0.269085731,-0.153268222,-0.584579831,-0.522210141,0.177074782,0.161039698,0.170125561,-0.061709723,-0.681665839,-0.033926735,0.201595333,0.351492148,-0.171015665,-0.978933821,-0.573274181,0.027414246,-0.413733998,-0.181384903,-0.368260176,-0.41586579,-1.341515144,0.307331147,-0.053384966,-0.067171162,0.105476398,0.356205022,0.008171637,-0.287474326,0.171806069,-0.453168261,-0.151568923,0.479018874,-0.589794853,-0.199508435,0.136132595,-1.167744694,-1.223645594,-0.026505346,-0.276977485,-0.061695149,-0.637637645,-1.056062232,0.25023815,-0.168290584,0.043868674,-0.015439403,-0.463966112,-0.107623247,0.113222506,0.081160993,-0.655415037,-0.350378542,0.303685813,-0.392534072,0.042396569,-0.866440022,0.202760077,-1.083128898,0.003886681,0.348627648,0.092470806,-0.664738952,-0.367548615,1.153959609,-0.684454403,-0.125773573,-0.071532882,-0.490596008,0.309348394,0.347017304,-0.364046328,-0.581060206,-0.030307654,0,0.268263987,0.510825624,0.117783036,0.352821375,0.196279909,0.658779537,-0.241162057,0,1.066351426,0.978326123,0.320471895,0.039220713
2017/1/4,-0.343173406,-0.679022485,-0.435509028,0.275802548,-0.340532354,-0.008297811,-0.069991382,0.534027922,0.759528442,-0.551089789,0.111263666,0.417830755,-0.853952568,0.060767196,0.62793633,-0.879751439,-0.849333854,1.723344501,-0.689627265,-0.256865264,-0.575183417,-0.466419654,0.262908889,0.101202405,0.034969091,-0.338383579,-0.460210901,-0.0033982,0.122755786,0.303067982,-0.081659681,-0.981801415,-1.031226808,-0.268645212,-0.403582553,-0.218698857,-0.551931936,-0.649664551,-1.037815195,0.200140487,0.021167407,-0.083530573,0.055752817,0.499122209,0.075278774,-0.168092675,0.340804946,-0.722266649,-0.151251883,0.366544281,-0.681890565,-0.266102022,-0.379619219,-1.960467887,-0.767676257,-0.027919536,-0.352201104,-0.142433781,-0.585259736,-0.906875851,0.188288226,-0.248549435,0.064700722,-0.151969709,-1.106260606,-0.199243547,0.379914772,-0.798314019,-1.798564989,-0.484448034,0.220141668,-0.90428916,-0.262466835,-0.563075915,0.238162309,-2.372467004,-0.038298731,0.282143349,0.257829727,-1.008360991,-0.126594407,1.147062255,-0.354507906,-0.086756883,-0.070111974,-0.537620761,0.384588389,0.398293607,-0.234033903,-0.691943118,-0.025775717,0,0.234839591,2.694627181,-0.057158414,0.114775515,0.164002976,-0.01408474,-0.451985124,0,0.063513406,0.051293294,0.10697212,1.045968555
2017/1/5,-0.416649252,-0.646023209,-0.609249914,0.264452834,-0.23623874,-0.215987903,-0.139066911,0.542374857,0.581644055,-0.571474368,0.078092252,0.285113951,0.029143794,0.003668803,0.280267463,-1.592215177,-0.982211649,1.761428251,-0.509786264,-0.362855046,-0.818087565,-0.496869955,0.113536608,0.247693656,0.262281925,-0.112342783,-0.128391565,-0.045949228,-0.855045795,-1.075167141,-0.370501597,-1.063274755,-0.951519621,-0.256618514,-1.135366792,-1.212232113,-2.368635912,-1.099191291,-0.918311964,0.833273345,-1.778311752,-0.882038852,-0.446724409,-0.748554889,-0.144790687,-0.188644604,0.043761115,-1.67084721,-1.37842696,-0.837632137,-5.229334328,-1.213026994,-0.453181703,-0.592395504,-3.976293212,-1.577071589,-0.360564464,-0.735168132,-0.614233111,-0.882892816,0.255455299,-0.533627145,-0.031942319,-1.324974766,-2.848843849,-0.543129114,-0.097004058,-1.341832735,-3.40731168,-2.401304686,-0.722290835,-1.988237623,-0.370394613,-0.608690059,0.094233244,-3.075766988,-1.089012416,0.199883547,1.087879114,-1.059202085,0.795440621,4.383032357,0.428618158,0.127996699,-0.366287311,-0.745922964,0.329350441,0.559833765,-0.147849146,-1.077865394,-0.138776948,0,0.130620182,0.138586163,-0.060624622,-0.170345366,0.088410957,0,0.451985124,0,-0.167054085,0.101782694,0.610080582,-0.542864978
2017/1/6,-0.272525763,-0.299791911,-0.527679025,0.269269746,-0.078841447,-0.213060415,-0.038072956,0.564286299,0.507176946,-0.625080414,0.159391405,0.309571089,0.923101649,0.031238302,0.943746417,-0.864952982,-0.891215404,2.090822024,-0.26719693,0.346107862,0.000250297,-0.036325519,0.151009064,0.230411273,0.196801999,-0.061971451,0.154202309,-0.000721069,-0.692968455,-0.437153042,-0.115866464,-1.07764392,-1.226443314,0.747755812,-0.969875295,-0.702066136,-1.341557892,-0.874684082,-0.789198739,0.888989515,-1.622799199,-0.478042953,-0.946902956,-1.198012791,-0.187628246,-0.128862256,-0.271204339,-1.64916933,-1.567121206,-2.139171802,-5.872505492,-1.493139652,0.113331167,-2.104860614,-3.686823336,-2.830688755,-0.169030988,-0.539389545,-0.636265702,-0.854026741,0.194423188,-0.642665349,0.142241921,-1.929162207,-3.073864384,-0.509434234,-0.169646649,-2.048436224,-2.581938678,-2.741867432,-1.068519429,-1.863919777,-0.227865469,-0.667779617,-0.002814503,-2.253136084,-1.387204387,0.628932848,2.112834274,-0.249248496,1.198291597,5.119110362,1.898277334,0.538732198,-0.329045228,-0.660520445,0.377688601,0.402514062,-0.13397467,-1.125898363,-0.068999425,0,-0.457833094,-1.498212277,-0.064538521,0.251314428,-0.122602322,0.061875404,0.0588405,0,0.1198012,-0.138150338,-0.669799817,-0.583146285
2017/1/9,-0.116831324,-0.10605821,-0.463981763,0.317096759,0.042062396,-0.419241325,0.30357633,0.893964608,0.79328644,-0.213921331,0.446995306,0.54233242,0.514186765,0.634080153,1.767235291,-0.413151939,-0.373488544,2.94181555,0.002225439,0.070637806,1.590390507,-0.592076446,0.257162522,0.469165101,0.64446594,-0.250176618,0.641849869,0.185220806,-0.102670475,-0.20374297,-0.185749833,-0.185630421,-0.541419464,0.221439952,0.573081042,-1.303394293,-1.87884984,-1.75725704,-0.602072687,0.976593202,-3.499959046,-1.16041746,-1.756723026,-2.277700346,-0.951382303,-0.603366718,-0.511955951,-2.040056732,-2.84430641,-1.628301408,-4.458293542,-1.549216628,0.375072139,-1.852676228,-4.374010559,-1.632357089,0.070073461,-0.352436406,0.449597705,-0.757872684,0.202607794,-0.772200619,0.425547655,-1.622753376,-2.471082764,-1.183412801,-0.26139602,-1.82019812,-1.929221427,-2.646366098,-2.980719823,-3.711759879,-2.209346686,-1.896573688,-0.646788867,-3.67420361,-4.088207573,-7.688243082,-7.718981839,-7.115749055,-3.416153288,2.054161925,0.510569327,-11.75027443,-0.249708606,-0.226797802,0.24121568,0.712690252,-0.112022775,-1.30899372,0.102898122,0,0.3074847,2.667228207,-0.191055237,0.171850257,0.117783036,0.975714152,0.074107972,0,0.664159644,0.646627165,0.438913042,25.78042115
2017/1/10,-0.079960308,0.075163585,-0.314121447,0.320823391,0.134934001,-0.255198221,0.422961207,0.756540993,0.85081273,-0.335034621,0.21167818,0.479995358,0.730990912,0.429511671,1.154347117,-0.80619509,-0.335257533,2.23055385,-0.181762806,0.110143057,0.252900233,-1.094908928,0.007964803,-0.098534561,0.438239068,-0.023134557,0.615349178,-0.095413164,-1.431357103,-1.037501854,-1.334677346,-1.229790926,-1.020922541,0.255737971,-1.568194381,-1.793615893,-2.266708926,-1.770888529,-0.746706514,0.049230001,-4.192271787,-1.499710177,-0.62865681,-0.361601928,-1.006975662,-0.123438442,-0.1958229,-0.283062351,-0.953098884,-1.70954925,-5.569794092,-2.279774587,0.046220859,-1.63736718,-5.678700348,-2.33385084,-0.044415614,-0.475487918,0.558603352,-0.739204461,0.107166273,-0.728823153,0.227371196,-0.657607123,-1.237947439,-0.436189921,1.146547053,-1.584293858,-0.890225978,-0.730630495,-2.200424191,-2.527538012,-0.667109687,-1.284789049,-0.284159227,-2.775784839,-2.954416943,-5.003037269,-3.871493992,-3.103063585,-1.290409887,4.193181336,0.30221285,-7.351716273,-0.908995287,-1.856545582,-5.685691492,-0.534939457,-0.327024779,-0.737906045,-1.607653976,0,0.280301965,-1.232143681,0.233614851,0.157903029,0.031252544,0.122898136,0.405465108,0,-0.258694536,-0.006825965,0.013072082,0.415515444
2017/1/11,-0.236865735,0.121173203,-0.038210943,0.393726523,0.11684664,-0.317423491,0.533655896,0.760206239,0.771885584,-0.134678136,0.240475775,0.423075487,1.345180491,0.483345445,1.384233686,-0.308705278,-0.199360352,1.97539361,-0.242201061,-0.055392565,0.187446636,0.472415887,0.185283879,-1.215662356,-0.837972635,0.200555093,-0.068403345,-0.054659965,-3.373881863,-2.256310105,-1.223171066,-0.692813028,-1.018755125,-4.345285425,-1.774195037,-1.693987487,-2.417084207,-1.146132698,-0.625226169,0.763672539,-1.800855754,-1.666372977,-1.922735385,-1.15123519,-3.26382987,-0.259762803,-0.441339855,-2.285547363,-0.634680811,0.824132854,-2.537724036,-1.133122016,-0.668136689,-0.856830145,0.794660774,-2.250415193,0.1778916,-0.37217167,0.964991622,-0.752989752,0.093796632,-0.484016419,0.231317423,-2.601801728,-0.491537943,-10.09332398,0.919166587,-2.309686358,-7.496753917,0.337069826,-2.112075515,-2.305870739,-0.552100445,-0.998337383,-0.364603843,-2.19809497,-2.790334806,-6.329795147,-5.104871636,-3.022158737,-0.326973284,4.745641397,1.197268417,-7.434333439,-0.986451248,-1.090002293,-5.113279196,-1.271004836,-0.40677508,-3.71039327,-1.629161159,0,-0.280301965,-0.559615788,0.189242,0,0.066939483,0,0.373204246,0,0.433635985,-0.027779564,0,-0.274436846
2017/1/12,-0.229685589,0.34147539,0.065926948,0.388767111,0.336864919,-0.368162205,0.64945246,0.805825838,1.006073009,0.455233236,0.376293693,0.606683802,1.562440364,0.92615939,1.149267211,0.006894282,0.66837065,1.885660605,0.069562026,-0.12765333,0.701381905,0.159093275,-3.163633085,-7.168646879,-2.240024605,-6.65782128,0.323932198,-1.349823714,-3.156434455,-1.053929274,-0.709787051,-0.440529202,-0.21897839,-4.637264746,-1.32800038,-1.88378336,-2.719493893,-1.605827771,-0.435658992,0.342587122,-1.59354262,-1.698815252,-1.883823338,-1.21166846,-2.717874527,-0.295426981,-0.034932793,-2.16849654,-0.997827882,0.110810156,-2.75856079,-6.615369962,-1.00405671,-4.400064882,1.01889487,-1.864092903,0.255849234,-0.315343833,1.146425424,-0.68200991,0.005230768,-0.534368793,0.296369019,-2.954622074,-2.126613815,-3.266685794,0.955156749,-6.029141368,-11.66076461,-3.008421797,-1.92823058,-0.81989149,-1.06139023,-0.975169462,-0.777104607,-1.128463934,-1.535357614,-6.171154948,-4.1326881,-0.659858481,0.13619614,2.293915877,0.5410461,-6.585096628,-1.097561996,-1.473162556,-2.336497622,-1.253781437,-1.602800207,-3.396930187,-1.667665439,0,0.405465108,1.992430165,-0.276253377,0,-0.122289578,0.078471615,-0.373204246,0,-0.360208517,0.162166755,-0.053345981,0.793230639
2017/1/13,-0.452065113,0.048696326,-0.034824385,0.191535624,0.125968567,-0.120755522,0.318759818,0.481844261,0.607417431,0.239958166,0.115541026,0.940032965,1.276475021,0.158498388,1.467963869,0.065000767,0.198111554,2.324863029,0.029051858,-0.275492754,1.251255908,-0.4517647,-1.432972966,-8.561411868,0.247690033,-5.573360431,-1.802812924,-0.105545011,-3.075740197,-1.053501376,-0.966042945,-0.76355246,-0.502309674,-3.40908045,-1.561840838,-1.535605247,-1.600764991,-3.614625018,-0.395499763,-0.237694784,-2.419428487,-1.618101149,-2.945022283,-1.524562585,-3.318236024,0.055167245,-0.301694716,-2.794183664,-1.92239919,0.841515368,-1.681588735,-5.867419055,0.036415023,-4.101962584,0.117396928,0.052235115,0.401143168,-0.251828831,1.41226195,-0.660128689,0.335486722,-0.312530619,0.407285923,0.670068044,0.870790983,-2.256656179,1.033144379,-3.22057654,-5.883262144,1.686916502,-7.811476502,-5.180136621,-2.977076223,-3.531721123,-2.47941604,-5.450753743,-10.03451555,-5.665507597,-3.809858438,-1.178252716,0.681659707,1.205531596,1.669162386,-6.163694332,-1.240684988,-1.796655478,-2.260451317,-1.555088996,-2.197856863,-4.362014885,-2.153955291,0,-0.348306694,-0.693147181,0.241162057,-0.131927543,-0.102654154,-0.085297581,0.068992871,0,0.207086114,-0.227644684,-0.196114879,0.184303718
2017/1/17,-0.532964501,-0.073321263,0.21222187,0.120663535,0.094749853,-0.130782896,0.666518623,0.324000184,0.273407283,0.188453348,0.309756144,1.111931466,1.408270056,0.92777592,1.22541435,0.213232584,0.533690788,2.356637403,0.370352325,-0.005145108,1.261875897,-0.761475797,-2.00640375,-6.464104745,0.00873743,-6.048874627,-0.285086984,-0.194997018,0.098280498,0.604982126,-1.564526495,-0.209264248,-1.290754207,-5.572561288,-0.466946635,-1.818202084,-1.685488345,-8.82240427,-0.481996259,-3.011423405,-7.77520881,-0.541504984,-4.832537208,-4.57542035,-2.176765189,-0.258058639,-2.63178592,-1.609282879,-1.549907521,-0.289134665,-1.440751634,-6.222387192,-0.320262301,-1.39564792,-1.362645965,-0.539649747,0.556095556,-0.034111268,1.386828888,-0.650761089,0.528856042,-0.086669317,0.508797431,0.095703887,0.328110644,-1.107028442,0.573149785,-3.12039249,-4.02944159,1.463925532,-7.34359841,-4.572141735,-1.400471456,-3.033919258,-3.605751481,-1.923341563,-7.758061565,-5.054545875,-3.597710933,-3.858934914,0.949651966,0.835470982,-0.098036543,-4.509181408,-0.742072301,-1.871803379,-2.196170774,-1.44302567,-1.859909588,-5.115405558,-2.157637119,0,0.310154928,1.268511325,0.47957308,0.215519626,-0.137923143,0.518793793,-0.310154928,1.237874356,0.379986023,0.097980408,0.241162057,-0.990398704
