日期/时间,VWAP,TWAP
2023-02-22 09:15:00,5614.17,5612.67
2023-02-22 09:30:00,5617.21,5612.67
2023-02-22 09:45:00,5614.96,5618.67
2023-02-22 10:00:00,5638.68,5639.33
2023-02-22 10:30:00,5655.08,5656.67
2023-02-22 10:45:00,5662.67,5661.33
2023-02-22 11:00:00,5665.85,5670.0
2023-02-22 11:15:00,5672.56,5671.33
2023-02-22 13:30:00,5660.95,5660.0
2023-02-22 13:45:00,5650.15,5648.67
2023-02-22 14:00:00,5641.27,5641.33
2023-02-22 14:15:00,5633.21,5632.67
2023-02-22 14:30:00,5635.44,5637.33
2023-02-22 14:45:00,5617.48,5616.0
2023-02-22 21:00:00,5621.95,5620.67
2023-02-22 21:15:00,5611.29,5616.67
2023-02-22 21:30:00,5634.28,5632.67
2023-02-22 21:45:00,5625.53,5626.0
2023-02-22 22:00:00,5633.24,5635.33
2023-02-22 22:15:00,5633.07,5631.33
2023-02-22 22:30:00,5622.92,5628.0
2023-02-22 22:45:00,5629.54,5629.33
2023-02-23 09:00:00,5586.36,5574.0
2023-02-23 09:15:00,5579.49,5580.0
2023-02-23 09:30:00,5587.72,5590.67
2023-02-23 09:45:00,5599.15,5598.0
2023-02-23 10:00:00,5584.51,5586.67
2023-02-23 10:30:00,5585.3,5584.67
2023-02-23 10:45:00,5580.89,5580.0
2023-02-23 11:00:00,5576.98,5580.67
2023-02-23 11:15:00,5586.51,5585.33
2023-02-23 13:30:00,5588.31,5588.0
2023-02-23 13:45:00,5580.27,5579.33
2023-02-23 14:00:00,5575.34,5575.33
2023-02-23 14:15:00,5570.75,5568.67
2023-02-23 14:30:00,5563.89,5565.33
2023-02-23 14:45:00,5568.19,5570.0
2023-02-23 21:00:00,5583.38,5584.67
2023-02-23 21:15:00,5588.9,5587.33
2023-02-23 21:30:00,5595.07,5593.33
2023-02-23 21:45:00,5585.0,5586.0
2023-02-23 22:00:00,5585.89,5586.67
2023-02-23 22:15:00,5593.27,5595.33
2023-02-23 22:30:00,5608.6,5603.33
2023-02-23 22:45:00,5609.94,5608.0
2023-02-24 09:00:00,5628.49,5624.67
