日期/时间,VWAP,TWAP
2023-04-21 09:30:00,96.18,96.15
2023-04-21 09:45:00,96.04,96.05
2023-04-21 10:00:00,96.03,96.04
2023-04-21 10:15:00,96.04,96.04
2023-04-21 10:30:00,96.02,96.02
2023-04-21 10:45:00,96.04,96.06
2023-04-21 11:00:00,96.05,96.04
2023-04-21 11:15:00,96.04,96.03
2023-04-21 13:00:00,96.05,96.05
2023-04-21 13:15:00,96.05,96.05
2023-04-21 13:30:00,96.08,96.07
2023-04-21 13:45:00,96.06,96.07
2023-04-21 14:00:00,96.1,96.1
2023-04-21 14:15:00,96.11,96.12
2023-04-21 14:30:00,96.15,96.16
2023-04-21 14:45:00,96.17,96.17
2023-04-21 15:00:00,96.19,96.2
2023-04-24 09:30:00,96.3,96.3
2023-04-24 09:45:00,96.28,96.29
2023-04-24 10:00:00,96.31,96.3
2023-04-24 10:15:00,96.3,96.31
2023-04-24 10:30:00,96.33,96.33
2023-04-24 10:45:00,96.34,96.35
2023-04-24 11:00:00,96.36,96.36
2023-04-24 11:15:00,96.35,96.34
2023-04-24 13:00:00,96.33,96.33
2023-04-24 13:15:00,96.33,96.34
2023-04-24 13:30:00,96.38,96.38
2023-04-24 13:45:00,96.38,96.38
2023-04-24 14:00:00,96.38,96.38
2023-04-24 14:15:00,96.36,96.36
2023-04-24 14:30:00,96.37,96.37
2023-04-24 14:45:00,96.37,96.36
2023-04-24 15:00:00,96.36,96.36
2023-04-25 09:30:00,96.42,96.42
2023-04-25 09:45:00,96.41,96.41
2023-04-25 10:00:00,96.38,96.38
2023-04-25 10:15:00,96.36,96.36
2023-04-25 10:30:00,96.34,96.36
2023-04-25 10:45:00,96.38,96.39
2023-04-25 11:00:00,96.39,96.39
2023-04-25 11:15:00,96.37,96.38
2023-04-25 13:00:00,96.41,96.41
2023-04-25 13:15:00,96.42,96.41
2023-04-25 13:30:00,96.43,96.44
2023-04-25 13:45:00,96.42,96.4
2023-04-25 14:00:00,96.36,96.36
2023-04-25 14:15:00,96.38,96.38
2023-04-25 14:30:00,96.38,96.38
2023-04-25 14:45:00,96.38,96.38
2023-04-25 15:00:00,96.38,96.39
2023-04-26 09:30:00,96.43,96.42
2023-04-26 09:45:00,96.4,96.4
2023-04-26 10:00:00,96.41,96.41
2023-04-26 10:15:00,96.42,96.42
2023-04-26 10:30:00,96.46,96.46
2023-04-26 10:45:00,96.45,96.44
