日期/时间,VWAP,TWAP
2022-05-30 10:00:00,100.73,100.73
2022-05-30 10:15:00,100.72,100.72
2022-05-30 10:30:00,100.72,100.72
2022-05-30 10:45:00,100.72,100.72
2022-05-30 11:00:00,100.74,100.74
2022-05-30 11:15:00,100.72,100.72
2022-05-30 13:00:00,100.71,100.71
2022-05-30 13:15:00,100.73,100.73
2022-05-30 13:30:00,100.72,100.72
2022-05-30 13:45:00,100.71,100.72
2022-05-30 14:00:00,100.72,100.72
2022-05-30 14:15:00,100.75,100.75
2022-05-30 14:30:00,100.74,100.73
2022-05-30 14:45:00,100.72,100.71
2022-05-30 15:00:00,100.74,100.74
2022-05-31 09:30:00,100.6,100.61
2022-05-31 09:45:00,100.57,100.57
2022-05-31 10:00:00,100.55,100.55
2022-05-31 10:15:00,100.55,100.55
2022-05-31 10:30:00,100.54,100.54
2022-05-31 10:45:00,100.55,100.55
2022-05-31 11:00:00,100.55,100.55
2022-05-31 11:15:00,100.55,100.55
2022-05-31 13:00:00,100.52,100.52
2022-05-31 13:15:00,100.5,100.5
2022-05-31 13:30:00,100.5,100.5
2022-05-31 13:45:00,100.5,100.5
2022-05-31 14:00:00,100.5,100.5
2022-05-31 14:15:00,100.48,100.48
2022-05-31 14:30:00,100.47,100.48
2022-05-31 14:45:00,100.5,100.49
2022-05-31 15:00:00,100.51,100.51
2022-06-01 09:30:00,100.57,100.56
2022-06-01 09:45:00,100.55,100.55
2022-06-01 10:00:00,100.54,100.54
2022-06-01 10:15:00,100.53,100.53
2022-06-01 10:30:00,100.54,100.54
2022-06-01 10:45:00,100.55,100.56
2022-06-01 11:00:00,100.56,100.56
2022-06-01 11:15:00,100.54,100.54
2022-06-01 13:00:00,100.54,100.55
2022-06-01 13:15:00,100.51,100.51
2022-06-01 13:30:00,100.49,100.49
2022-06-01 13:45:00,100.49,100.49
2022-06-01 14:00:00,100.48,100.48
2022-06-01 14:15:00,100.49,100.49
2022-06-01 14:30:00,100.49,100.49
2022-06-01 14:45:00,100.48,100.48
2022-06-01 15:00:00,100.46,100.46
2022-06-02 09:30:00,100.49,100.49
2022-06-02 09:45:00,100.53,100.53
2022-06-02 10:00:00,100.53,100.54
2022-06-02 10:15:00,100.56,100.55
2022-06-02 10:30:00,100.54,100.54
2022-06-02 10:45:00,100.53,100.53
2022-06-02 11:00:00,100.52,100.52
2022-06-02 11:15:00,100.5,100.5
2022-06-02 13:00:00,100.54,100.54
2022-06-02 13:15:00,100.51,100.51
2022-06-02 13:30:00,100.47,100.47
2022-06-02 13:45:00,100.44,100.44
2022-06-02 14:00:00,100.44,100.44
2022-06-02 14:15:00,100.44,100.45
2022-06-02 14:30:00,100.43,100.43
2022-06-02 14:45:00,100.4,100.41
2022-06-02 15:00:00,100.38,100.39
2022-06-06 09:30:00,100.41,100.42
2022-06-06 09:45:00,100.44,100.44
2022-06-06 10:00:00,100.42,100.41
2022-06-06 10:15:00,100.39,100.39
2022-06-06 10:30:00,100.36,100.36
2022-06-06 10:45:00,100.36,100.37
2022-06-06 11:00:00,100.38,100.37
2022-06-06 11:15:00,100.36,100.36
2022-06-06 13:00:00,100.35,100.34
2022-06-06 13:15:00,100.33,100.34
2022-06-06 13:30:00,100.34,100.34
2022-06-06 13:45:00,100.35,100.35
2022-06-06 14:00:00,100.34,100.34
2022-06-06 14:15:00,100.33,100.33
2022-06-06 14:30:00,100.3,100.3
2022-06-06 14:45:00,100.3,100.3
2022-06-06 15:00:00,100.27,100.27
2022-06-07 09:30:00,100.27,100.26
2022-06-07 09:45:00,100.26,100.27
2022-06-07 10:00:00,100.31,100.33
2022-06-07 10:15:00,100.33,100.33
2022-06-07 10:30:00,100.32,100.32
2022-06-07 10:45:00,100.33,100.33
2022-06-07 11:00:00,100.33,100.33
2022-06-07 11:15:00,100.36,100.35
2022-06-07 13:00:00,100.39,100.4
2022-06-07 13:15:00,100.4,100.39
2022-06-07 13:30:00,100.38,100.38
2022-06-07 13:45:00,100.4,100.41
2022-06-07 14:00:00,100.39,100.4
2022-06-07 14:15:00,100.37,100.37
2022-06-07 14:30:00,100.37,100.38
2022-06-07 14:45:00,100.39,100.39
2022-06-07 15:00:00,100.43,100.42
2022-06-08 09:30:00,100.36,100.37
2022-06-08 09:45:00,100.37,100.37
2022-06-08 10:00:00,100.36,100.36
2022-06-08 10:15:00,100.38,100.38
2022-06-08 10:30:00,100.38,100.38
2022-06-08 10:45:00,100.4,100.41
2022-06-08 11:00:00,100.45,100.45
2022-06-08 11:15:00,100.45,100.44
2022-06-08 13:00:00,100.43,100.43
2022-06-08 13:15:00,100.41,100.41
2022-06-08 13:30:00,100.4,100.41
