日期/时间,VWAP,TWAP
2023-12-11 10:30:00,553.61,553.67
2023-12-11 10:45:00,553.29,552.93
2023-12-11 11:00:00,552.26,552.3
2023-12-11 11:15:00,553.45,553.5
2023-12-11 13:30:00,555.73,555.33
2023-12-11 13:45:00,554.85,555.1
2023-12-11 14:00:00,555.45,555.43
2023-12-11 14:15:00,554.91,554.83
2023-12-11 14:30:00,554.21,554.23
2023-12-11 14:45:00,555.31,555.63
2023-12-11 21:00:00,550.56,550.83
2023-12-11 21:15:00,551.74,551.47
2023-12-11 21:30:00,550.54,550.6
2023-12-11 21:45:00,549.18,548.73
2023-12-11 22:00:00,547.99,548.4
2023-12-11 22:15:00,548.91,548.8
2023-12-11 22:30:00,547.43,548.03
2023-12-11 22:45:00,550.14,550.13
2023-12-11 23:00:00,549.3,549.37
2023-12-11 23:15:00,548.61,548.57
2023-12-11 23:30:00,548.9,549.4
2023-12-11 23:45:00,549.42,549.43
2023-12-12 00:00:00,549.82,549.6
2023-12-12 00:15:00,546.13,546.93
2023-12-12 00:30:00,547.74,548.07
2023-12-12 00:45:00,551.69,550.97
2023-12-12 01:00:00,550.01,549.87
2023-12-12 01:15:00,547.79,547.6
2023-12-12 01:30:00,548.82,548.97
2023-12-12 01:45:00,550.32,550.63
2023-12-12 02:00:00,553.34,553.7
2023-12-12 02:15:00,553.98,553.9
2023-12-12 09:00:00,551.7,551.97
2023-12-12 09:15:00,551.55,551.27
2023-12-12 09:30:00,550.35,550.67
2023-12-12 09:45:00,551.23,551.0
2023-12-12 10:00:00,550.72,550.8
2023-12-12 10:30:00,550.99,550.97
2023-12-12 10:45:00,551.78,551.7
2023-12-12 11:00:00,551.47,551.7
2023-12-12 11:15:00,552.17,552.3
2023-12-12 13:30:00,554.04,554.07
2023-12-12 13:45:00,554.5,554.5
2023-12-12 14:00:00,555.08,555.03
2023-12-12 14:15:00,554.77,554.73
2023-12-12 14:30:00,554.07,554.13
2023-12-12 14:45:00,554.46,554.5
2023-12-12 21:00:00,544.6,543.1
2023-12-12 21:15:00,541.81,542.2
2023-12-12 21:30:00,542.3,542.33
2023-12-12 21:45:00,540.7,540.07
2023-12-12 22:00:00,537.31,536.97
2023-12-12 22:15:00,535.78,535.93
2023-12-12 22:30:00,535.17,535.07
2023-12-12 22:45:00,534.13,534.27
2023-12-12 23:00:00,534.95,535.1
2023-12-12 23:15:00,536.14,535.5
2023-12-12 23:30:00,534.88,534.73
2023-12-12 23:45:00,533.66,533.37
2023-12-13 00:00:00,532.88,533.07
2023-12-13 00:15:00,532.29,532.03
2023-12-13 00:30:00,530.7,530.3
2023-12-13 00:45:00,528.42,528.17
2023-12-13 01:00:00,528.19,528.23
2023-12-13 01:15:00,528.36,528.4
2023-12-13 01:30:00,528.04,527.93
2023-12-13 01:45:00,527.31,527.2
2023-12-13 02:00:00,527.63,527.57
2023-12-13 02:15:00,527.65,527.73
2023-12-13 09:00:00,525.21,525.17
2023-12-13 09:15:00,525.37,525.7
2023-12-13 09:30:00,526.43,526.43
2023-12-13 09:45:00,526.05,526.27
2023-12-13 10:00:00,526.67,526.8
2023-12-13 10:30:00,527.48,527.33
2023-12-13 10:45:00,526.88,526.83
2023-12-13 11:00:00,525.9,525.6
2023-12-13 11:15:00,524.68,524.43
2023-12-13 13:30:00,523.47,523.53
2023-12-13 13:45:00,524.29,524.0
2023-12-13 14:00:00,523.39,523.6
2023-12-13 14:15:00,522.82,522.93
2023-12-13 14:30:00,521.55,521.27
2023-12-13 14:45:00,520.55,520.77
2023-12-13 21:00:00,527.25,527.23
2023-12-13 21:15:00,527.44,527.43
2023-12-13 21:30:00,527.93,527.97
2023-12-13 21:45:00,528.13,527.57
2023-12-13 22:00:00,526.38,526.4
2023-12-13 22:15:00,525.31,525.47
2023-12-13 22:30:00,525.82,526.5
2023-12-13 22:45:00,527.66,527.83
2023-12-13 23:00:00,527.42,527.47
2023-12-13 23:15:00,527.7,527.97
2023-12-13 23:30:00,529.98,530.1
2023-12-13 23:45:00,531.31,531.3
2023-12-14 00:00:00,531.27,530.9
2023-12-14 00:15:00,529.59,529.57
2023-12-14 00:30:00,531.39,531.4
2023-12-14 00:45:00,531.74,531.8
2023-12-14 01:00:00,531.01,531.0
2023-12-14 01:15:00,530.05,530.0
