日期/时间,VWAP,TWAP
2023-09-06 11:15:00,69416.59,69416.67
2023-09-06 13:30:00,69526.63,69533.33
2023-09-06 13:45:00,69566.48,69573.33
2023-09-06 14:00:00,69618.36,69586.67
2023-09-06 14:15:00,69511.43,69523.33
2023-09-06 14:30:00,69471.31,69490.0
2023-09-06 14:45:00,69490.79,69493.33
2023-09-06 21:00:00,69283.41,69276.67
2023-09-06 21:15:00,69280.99,69273.33
2023-09-06 21:30:00,69280.16,69293.33
2023-09-06 21:45:00,69320.58,69303.33
2023-09-06 22:00:00,69256.02,69266.67
2023-09-06 22:15:00,69251.24,69253.33
2023-09-06 22:30:00,69173.13,69150.0
2023-09-06 22:45:00,69082.59,69083.33
2023-09-06 23:00:00,69062.66,69070.0
2023-09-06 23:15:00,69074.71,69076.67
2023-09-06 23:30:00,69084.64,69093.33
2023-09-06 23:45:00,69082.23,69080.0
2023-09-07 00:00:00,69034.55,69033.33
2023-09-07 00:15:00,68985.58,68993.33
2023-09-07 00:30:00,69009.97,69013.33
2023-09-07 00:45:00,69062.77,69056.67
2023-09-07 09:00:00,69123.59,69140.0
2023-09-07 09:15:00,69156.91,69143.33
2023-09-07 09:30:00,69123.35,69123.33
2023-09-07 09:45:00,69134.96,69136.67
2023-09-07 10:00:00,69121.36,69143.33
2023-09-07 10:30:00,69180.65,69193.33
2023-09-07 10:45:00,69184.01,69173.33
2023-09-07 11:00:00,69103.35,69100.0
2023-09-07 11:15:00,69088.23,69083.33
2023-09-07 13:30:00,69021.02,69030.0
2023-09-07 13:45:00,69051.66,69043.33
2023-09-07 14:00:00,69072.45,69080.0
2023-09-07 14:15:00,69110.96,69113.33
2023-09-07 14:30:00,69143.48,69143.33
2023-09-07 14:45:00,69188.6,69196.67
2023-09-07 21:00:00,68905.01,68910.0
2023-09-07 21:15:00,68863.62,68853.33
2023-09-07 21:30:00,68812.81,68833.33
2023-09-07 21:45:00,68794.42,68806.67
2023-09-07 22:00:00,68835.33,68820.0
2023-09-07 22:15:00,68815.49,68816.67
2023-09-07 22:30:00,68799.31,68826.67
2023-09-07 22:45:00,68908.97,68896.67
2023-09-07 23:00:00,68901.82,68903.33
2023-09-07 23:15:00,68935.16,68920.0
2023-09-07 23:30:00,68931.46,68933.33
2023-09-07 23:45:00,68957.76,68953.33
2023-09-08 00:00:00,68966.56,68953.33
2023-09-08 00:15:00,68955.3,68960.0
2023-09-08 00:30:00,68958.87,68943.33
2023-09-08 00:45:00,68939.45,68926.67
2023-09-08 09:00:00,68888.52,68890.0
2023-09-08 09:15:00,68852.03,68846.67
2023-09-08 09:30:00,68868.11,68870.0
2023-09-08 09:45:00,68844.81,68836.67
2023-09-08 10:00:00,68850.39,68863.33
2023-09-08 10:30:00,68856.05,68846.67
2023-09-08 10:45:00,68833.26,68826.67
2023-09-08 11:00:00,68807.77,68810.0
2023-09-08 11:15:00,68770.7,68776.67
2023-09-08 13:30:00,68809.1,68810.0
2023-09-08 13:45:00,68806.06,68803.33
2023-09-08 14:00:00,68831.4,68826.67
2023-09-08 14:15:00,68795.88,68786.67
2023-09-08 14:30:00,68746.05,68736.67
2023-09-08 14:45:00,68762.86,68753.33
2023-09-08 21:00:00,68486.23,68486.67
2023-09-08 21:15:00,68487.59,68480.0
2023-09-08 21:30:00,68501.7,68496.67
2023-09-08 21:45:00,68524.31,68553.33
2023-09-08 22:00:00,68589.37,68590.0
2023-09-08 22:15:00,68602.38,68593.33
2023-09-08 22:30:00,68556.05,68560.0
2023-09-08 22:45:00,68564.58,68570.0
2023-09-08 23:00:00,68544.41,68540.0
2023-09-08 23:15:00,68529.29,68526.67
2023-09-08 23:30:00,68532.55,68533.33
2023-09-08 23:45:00,68559.18,68553.33
2023-09-09 00:00:00,68535.98,68540.0
2023-09-09 00:15:00,68544.62,68546.67
2023-09-09 00:30:00,68539.02,68550.0
2023-09-09 00:45:00,68562.16,68566.67
2023-09-11 09:00:00,68663.98,68636.67
2023-09-11 09:15:00,68665.84,68670.0
2023-09-11 09:30:00,68706.77,68710.0
2023-09-11 09:45:00,68720.09,68713.33
2023-09-11 10:00:00,68724.57,68726.67
2023-09-11 10:30:00,68752.84,68743.33
2023-09-11 10:45:00,68755.67,68763.33
2023-09-11 11:00:00,68782.62,68776.67
2023-09-11 11:15:00,68782.8,68780.0
2023-09-11 13:30:00,68942.96,68933.33
2023-09-11 13:45:00,68915.8,68920.0
2023-09-11 14:00:00,68875.89,68870.0
2023-09-11 14:15:00,68918.57,68913.33
2023-09-11 14:30:00,69005.34,69023.33
2023-09-11 14:45:00,69046.96,69060.0
2023-09-11 21:00:00,69288.48,69296.67
2023-09-11 21:15:00,69396.14,69396.67
2023-09-11 21:30:00,69461.14,69440.0
2023-09-11 21:45:00,69392.39,69393.33
2023-09-11 22:00:00,69359.35,69366.67
2023-09-11 22:15:00,69397.29,69393.33
2023-09-11 22:30:00,69395.32,69403.33
2023-09-11 22:45:00,69381.04,69380.0
2023-09-11 23:00:00,69360.17,69346.67
2023-09-11 23:15:00,69346.12,69340.0
2023-09-11 23:30:00,69359.2,69356.67
2023-09-11 23:45:00,69342.69,69343.33
2023-09-12 00:00:00,69387.9,69380.0
2023-09-12 00:15:00,69413.6,69410.0
2023-09-12 00:30:00,69396.96,69390.0
2023-09-12 00:45:00,69400.56,69376.67
2023-09-12 09:00:00,69363.66,69363.33
2023-09-12 09:15:00,69346.4,69346.67
2023-09-12 09:30:00,69316.12,69316.67
2023-09-12 09:45:00,69287.71,69290.0
2023-09-12 10:00:00,69305.65,69313.33
2023-09-12 10:30:00,69381.45,69393.33
2023-09-12 10:45:00,69388.61,69400.0
2023-09-12 11:00:00,69390.26,69383.33
2023-09-12 11:15:00,69362.72,69350.0
2023-09-12 13:30:00,69256.37,69263.33
2023-09-12 13:45:00,69251.98,69253.33
2023-09-12 14:00:00,69283.7,69290.0
2023-09-12 14:15:00,69263.02,69263.33
2023-09-12 14:30:00,69249.19,69253.33
2023-09-12 14:45:00,69242.76,69246.67
2023-09-12 21:00:00,69171.44,69173.33
2023-09-12 21:15:00,69125.3,69126.67
2023-09-12 21:30:00,69134.12,69140.0
2023-09-12 21:45:00,69086.18,69090.0
2023-09-12 22:00:00,69049.15,69056.67
2023-09-12 22:15:00,69039.84,69043.33
2023-09-12 22:30:00,69031.15,69040.0
2023-09-12 22:45:00,69072.05,69070.0
2023-09-12 23:00:00,69113.55,69106.67
2023-09-12 23:15:00,69116.82,69123.33
2023-09-12 23:30:00,69148.8,69146.67
2023-09-12 23:45:00,69200.96,69200.0
2023-09-13 00:00:00,69234.73,69236.67
2023-09-13 00:15:00,69240.01,69240.0
2023-09-13 00:30:00,69219.05,69220.0
2023-09-13 00:45:00,69214.95,69203.33
2023-09-13 09:00:00,69165.24,69183.33
2023-09-13 09:15:00,69217.74,69216.67
2023-09-13 09:30:00,69233.54,69230.0
2023-09-13 09:45:00,69226.09,69216.67
2023-09-13 10:00:00,69184.05,69170.0
2023-09-13 10:30:00,69117.62,69113.33
2023-09-13 10:45:00,69100.02,69096.67
2023-09-13 11:00:00,69102.95,69100.0
2023-09-13 11:15:00,69060.06,69056.67
2023-09-13 13:30:00,69061.38,69060.0
2023-09-13 13:45:00,69069.44,69076.67
2023-09-13 14:00:00,69064.73,69066.67
2023-09-13 14:15:00,69062.42,69056.67
2023-09-13 14:30:00,69057.89,69063.33
2023-09-13 14:45:00,69097.96,69110.0
2023-09-13 21:00:00,69135.41,69116.67
2023-09-13 21:15:00,69109.36,69120.0
2023-09-13 21:30:00,69160.06,69150.0
2023-09-13 21:45:00,69091.21,69106.67
2023-09-13 22:00:00,69119.81,69116.67
2023-09-13 22:15:00,69101.7,69103.33
2023-09-13 22:30:00,69183.57,69200.0
2023-09-13 22:45:00,69238.58,69246.67
