日期/时间,VWAP,TWAP
2023-02-22 09:15:00,9990.97,9989.33
2023-02-22 09:30:00,9962.46,9960.33
2023-02-22 09:45:00,9954.67,9956.67
2023-02-22 10:00:00,9967.24,9967.0
2023-02-22 10:30:00,9978.5,9979.33
2023-02-22 10:45:00,9983.77,9976.33
2023-02-22 11:00:00,9963.0,9965.0
2023-02-22 11:15:00,9971.18,9970.33
2023-02-22 13:30:00,9975.28,9977.0
2023-02-22 13:45:00,9974.22,9972.33
2023-02-22 14:00:00,9966.12,9964.67
2023-02-22 14:15:00,9950.54,9946.0
2023-02-22 14:30:00,9948.0,9950.67
2023-02-22 14:45:00,9961.19,9959.0
2023-02-22 21:00:00,9965.76,9962.33
2023-02-22 21:15:00,9962.66,9962.0
2023-02-22 21:30:00,9965.07,9964.33
2023-02-22 21:45:00,9974.79,9980.67
2023-02-22 22:00:00,10011.73,10018.67
2023-02-22 22:15:00,10021.34,10017.0
2023-02-22 22:30:00,10004.36,10011.0
2023-02-22 22:45:00,10020.53,10021.33
2023-02-23 09:00:00,10011.41,10010.33
2023-02-23 09:15:00,10018.17,10018.33
2023-02-23 09:30:00,10026.82,10025.67
2023-02-23 09:45:00,10036.75,10036.0
2023-02-23 10:00:00,10022.16,10018.33
2023-02-23 10:30:00,9981.07,9985.33
2023-02-23 10:45:00,9986.76,9983.33
2023-02-23 11:00:00,9987.16,9986.33
2023-02-23 11:15:00,9986.8,9987.67
2023-02-23 13:30:00,9983.0,9984.0
2023-02-23 13:45:00,9983.45,9980.0
2023-02-23 14:00:00,9939.88,9931.0
2023-02-23 14:15:00,9919.46,9916.67
2023-02-23 14:30:00,9880.22,9876.33
2023-02-23 14:45:00,9868.52,9862.0
2023-02-23 21:00:00,9872.67,9870.67
2023-02-23 21:15:00,9878.42,9877.67
2023-02-23 21:30:00,9881.24,9886.67
2023-02-23 21:45:00,9887.42,9887.0
2023-02-23 22:00:00,9876.9,9876.67
2023-02-23 22:15:00,9880.58,9880.67
2023-02-23 22:30:00,9875.58,9871.33
2023-02-23 22:45:00,9874.97,9872.0
2023-02-24 09:00:00,9840.47,9833.0
2023-02-24 09:15:00,9831.28,9832.33
2023-02-24 09:30:00,9828.07,9833.0
2023-02-24 09:45:00,9839.13,9833.33
2023-02-24 10:00:00,9822.02,9820.0
2023-02-24 10:30:00,9822.59,9818.0
2023-02-24 10:45:00,9801.62,9802.33
2023-02-24 11:00:00,9819.17,9819.67
2023-02-24 11:15:00,9839.64,9836.33
2023-02-24 13:30:00,9841.67,9837.67
2023-02-24 13:45:00,9843.16,9845.0
2023-02-24 14:00:00,9845.0,9844.67
2023-02-24 14:15:00,9849.28,9850.67
2023-02-24 14:30:00,9855.41,9856.33
2023-02-24 14:45:00,9876.88,9874.67
2023-02-24 21:00:00,9878.56,9882.0
2023-02-24 21:15:00,9903.06,9903.33
2023-02-24 21:30:00,9901.6,9899.33
2023-02-24 21:45:00,9895.09,9896.0
2023-02-24 22:00:00,9888.3,9886.33
2023-02-24 22:15:00,9882.79,9882.33
2023-02-24 22:30:00,9875.26,9877.0
2023-02-24 22:45:00,9885.19,9884.33
2023-02-27 09:00:00,9860.58,9859.0
2023-02-27 09:15:00,9840.43,9836.0
2023-02-27 09:30:00,9825.22,9826.67
2023-02-27 09:45:00,9828.55,9824.0
2023-02-27 10:00:00,9817.86,9819.0
2023-02-27 10:30:00,9830.61,9834.0
2023-02-27 10:45:00,9852.76,9855.67
2023-02-27 11:00:00,9838.12,9832.67
2023-02-27 11:15:00,9811.61,9812.0
2023-02-27 13:30:00,9814.74,9818.67
2023-02-27 13:45:00,9814.09,9815.0
2023-02-27 14:00:00,9815.82,9818.33
2023-02-27 14:15:00,9825.49,9822.67
2023-02-27 14:30:00,9830.71,9828.67
2023-02-27 14:45:00,9835.13,9834.0
2023-02-27 21:00:00,9846.76,9846.67
2023-02-27 21:15:00,9854.44,9853.33
2023-02-27 21:30:00,9848.55,9846.33
2023-02-27 21:45:00,9844.37,9845.67
2023-02-27 22:00:00,9841.97,9839.33
2023-02-27 22:15:00,9840.91,9839.67
2023-02-27 22:30:00,9832.83,9834.67
2023-02-27 22:45:00,9838.95,9838.0
2023-02-28 09:00:00,9818.25,9815.67
2023-02-28 09:15:00,9820.02,9821.33
2023-02-28 09:30:00,9831.65,9825.0
2023-02-28 09:45:00,9810.37,9810.0
2023-02-28 10:00:00,9815.88,9816.33
2023-02-28 10:30:00,9823.71,9824.33
2023-02-28 10:45:00,9827.8,9823.0
2023-02-28 11:00:00,9826.29,9829.33
2023-02-28 11:15:00,9850.83,9848.33
2023-02-28 13:30:00,9845.95,9845.33
2023-02-28 13:45:00,9844.13,9843.33
2023-02-28 14:00:00,9845.45,9841.0
2023-02-28 14:15:00,9832.53,9832.67
2023-02-28 14:30:00,9835.67,9839.0
2023-02-28 14:45:00,9837.85,9836.67
2023-02-28 21:00:00,9834.92,9837.33
2023-02-28 21:15:00,9842.74,9842.67
2023-02-28 21:30:00,9840.89,9838.67
2023-02-28 21:45:00,9826.79,9823.67
2023-02-28 22:00:00,9822.27,9822.33
2023-02-28 22:15:00,9825.71,9823.67
2023-02-28 22:30:00,9804.29,9802.33
2023-02-28 22:45:00,9813.67,9812.67
2023-03-01 09:00:00,9790.48,9796.67
2023-03-01 09:15:00,9795.12,9790.67
2023-03-01 09:30:00,9791.4,9791.33
2023-03-01 09:45:00,9801.56,9805.0
2023-03-01 10:00:00,9842.54,9848.67
2023-03-01 10:30:00,9854.0,9847.0
2023-03-01 10:45:00,9829.38,9834.67
2023-03-01 11:00:00,9844.22,9844.33
2023-03-01 11:15:00,9839.22,9842.33
2023-03-01 13:30:00,9836.88,9835.67
2023-03-01 13:45:00,9832.14,9834.33
2023-03-01 14:00:00,9844.13,9846.0
2023-03-01 14:15:00,9852.52,9854.33
2023-03-01 14:30:00,9855.42,9857.0
2023-03-01 14:45:00,9849.62,9850.67
2023-03-01 21:00:00,9853.37,9851.67
2023-03-01 21:15:00,9860.92,9856.33
2023-03-01 21:30:00,9842.03,9840.0
2023-03-01 21:45:00,9844.25,9845.67
2023-03-01 22:00:00,9850.73,9852.33
2023-03-01 22:15:00,9851.08,9849.0
2023-03-01 22:30:00,9846.9,9846.0
