日期/时间,VWAP,TWAP
2023-02-22 13:45:00,4240.86,4239.0
2023-02-22 14:00:00,4233.93,4230.0
2023-02-22 14:15:00,4229.8,4231.0
2023-02-22 14:30:00,4237.66,4239.0
2023-02-22 14:45:00,4239.05,4238.0
2023-02-22 21:00:00,4261.6,4258.0
2023-02-22 21:15:00,4255.68,4257.33
2023-02-22 21:30:00,4265.51,4265.33
2023-02-22 21:45:00,4263.25,4263.33
2023-02-22 22:00:00,4269.24,4268.67
2023-02-22 22:15:00,4280.26,4276.0
2023-02-22 22:30:00,4275.79,4277.67
2023-02-22 22:45:00,4281.55,4283.33
2023-02-23 09:00:00,4278.22,4275.67
2023-02-23 09:15:00,4276.73,4276.0
2023-02-23 09:30:00,4278.47,4279.67
2023-02-23 09:45:00,4284.24,4284.33
2023-02-23 10:00:00,4281.84,4281.33
2023-02-23 10:30:00,4274.29,4273.67
2023-02-23 10:45:00,4274.89,4273.67
2023-02-23 11:00:00,4276.33,4276.67
2023-02-23 11:15:00,4284.15,4284.0
2023-02-23 13:30:00,4269.4,4271.67
2023-02-23 13:45:00,4252.08,4252.33
2023-02-23 14:00:00,4247.13,4247.33
2023-02-23 14:15:00,4236.04,4237.33
2023-02-23 14:30:00,4229.03,4229.33
2023-02-23 14:45:00,4227.55,4227.67
2023-02-23 21:00:00,4223.63,4223.67
2023-02-23 21:15:00,4223.04,4223.33
2023-02-23 21:30:00,4233.19,4232.33
2023-02-23 21:45:00,4227.06,4228.33
2023-02-23 22:00:00,4230.32,4230.33
2023-02-23 22:15:00,4233.62,4233.67
2023-02-23 22:30:00,4235.51,4233.0
2023-02-23 22:45:00,4238.91,4237.0
2023-02-24 09:00:00,4232.44,4232.0
2023-02-24 09:15:00,4228.4,4229.67
2023-02-24 09:30:00,4217.96,4220.0
2023-02-24 09:45:00,4225.41,4225.33
2023-02-24 10:00:00,4234.59,4235.33
2023-02-24 10:30:00,4232.88,4230.33
2023-02-24 10:45:00,4217.16,4215.33
2023-02-24 11:00:00,4205.42,4206.0
2023-02-24 11:15:00,4211.42,4210.0
2023-02-24 13:30:00,4202.07,4199.33
2023-02-24 13:45:00,4194.09,4198.33
2023-02-24 14:00:00,4205.16,4205.33
2023-02-24 14:15:00,4203.68,4203.67
2023-02-24 14:30:00,4211.45,4211.67
2023-02-24 14:45:00,4222.25,4221.67
2023-02-24 21:00:00,4190.79,4194.67
2023-02-24 21:15:00,4209.26,4209.33
2023-02-24 21:30:00,4209.28,4208.67
2023-02-24 21:45:00,4201.04,4202.67
2023-02-24 22:00:00,4204.93,4204.0
2023-02-24 22:15:00,4195.07,4193.67
2023-02-24 22:30:00,4190.34,4190.33
2023-02-24 22:45:00,4183.41,4184.33
2023-02-27 09:00:00,4215.95,4215.33
2023-02-27 09:15:00,4227.3,4227.33
2023-02-27 09:30:00,4233.31,4233.0
2023-02-27 09:45:00,4237.25,4236.67
2023-02-27 10:00:00,4228.32,4229.0
2023-02-27 10:30:00,4224.95,4224.67
2023-02-27 10:45:00,4225.12,4226.33
2023-02-27 11:00:00,4219.67,4219.33
2023-02-27 11:15:00,4196.17,4193.67
2023-02-27 13:30:00,4179.85,4181.33
2023-02-27 13:45:00,4190.93,4189.33
2023-02-27 14:00:00,4191.09,4189.67
2023-02-27 14:15:00,4184.55,4184.33
2023-02-27 14:30:00,4181.34,4184.67
2023-02-27 14:45:00,4190.01,4189.67
2023-02-27 21:00:00,4180.17,4179.67
2023-02-27 21:15:00,4175.05,4176.0
2023-02-27 21:30:00,4181.06,4178.0
2023-02-27 21:45:00,4175.06,4175.67
2023-02-27 22:00:00,4170.04,4171.0
2023-02-27 22:15:00,4173.79,4173.33
2023-02-27 22:30:00,4170.2,4170.0
2023-02-27 22:45:00,4173.25,4173.0
2023-02-28 09:00:00,4185.02,4184.0
2023-02-28 09:15:00,4184.06,4184.0
2023-02-28 09:30:00,4179.59,4177.67
2023-02-28 09:45:00,4167.72,4166.33
2023-02-28 10:00:00,4165.27,4166.33
2023-02-28 10:30:00,4163.96,4166.67
2023-02-28 10:45:00,4172.66,4169.0
2023-02-28 11:00:00,4161.25,4162.33
2023-02-28 11:15:00,4168.47,4169.67
2023-02-28 13:30:00,4166.68,4167.33
2023-02-28 13:45:00,4168.46,4168.33
2023-02-28 14:00:00,4158.43,4160.0
2023-02-28 14:15:00,4155.37,4156.0
2023-02-28 14:30:00,4159.74,4162.0
2023-02-28 14:45:00,4172.78,4173.33
2023-02-28 21:00:00,4190.93,4187.33
2023-02-28 21:15:00,4184.64,4183.0
2023-02-28 21:30:00,4177.72,4178.0
2023-02-28 21:45:00,4178.47,4178.67
2023-02-28 22:00:00,4179.34,4179.0
2023-02-28 22:15:00,4180.39,4180.33
2023-02-28 22:30:00,4175.42,4176.33
2023-02-28 22:45:00,4178.1,4178.33
2023-03-01 09:00:00,4172.08,4173.0
2023-03-01 09:15:00,4181.19,4182.67
2023-03-01 09:30:00,4187.78,4187.33
2023-03-01 09:45:00,4201.37,4203.67
2023-03-01 10:00:00,4212.65,4214.67
2023-03-01 10:30:00,4219.72,4220.0
2023-03-01 10:45:00,4214.03,4216.0
2023-03-01 11:00:00,4214.32,4215.33
2023-03-01 11:15:00,4215.97,4215.67
2023-03-01 13:30:00,4201.9,4202.33
2023-03-01 13:45:00,4194.11,4195.0
2023-03-01 14:00:00,4201.87,4202.33
2023-03-01 14:15:00,4217.45,4216.33
2023-03-01 14:30:00,4211.57,4212.67
2023-03-01 14:45:00,4216.17,4216.0
2023-03-01 21:00:00,4213.02,4210.67
2023-03-01 21:15:00,4207.95,4207.33
2023-03-01 21:30:00,4210.44,4209.0
2023-03-01 21:45:00,4209.8,4211.0
2023-03-01 22:00:00,4209.64,4208.67
2023-03-01 22:15:00,4205.62,4206.33
2023-03-01 22:30:00,4210.48,4209.33
2023-03-01 22:45:00,4213.44,4213.0
2023-03-02 09:00:00,4222.83,4223.0
2023-03-02 09:15:00,4228.51,4228.67
2023-03-02 09:30:00,4222.18,4222.33
2023-03-02 09:45:00,4222.99,4223.67
2023-03-02 10:00:00,4221.55,4221.67
2023-03-02 10:30:00,4217.43,4215.67
2023-03-02 10:45:00,4217.0,4218.0
2023-03-02 11:00:00,4220.43,4221.0
2023-03-02 11:15:00,4219.31,4219.33
2023-03-02 13:30:00,4221.4,4223.0
2023-03-02 13:45:00,4228.02,4228.67
2023-03-02 14:00:00,4227.46,4227.0
2023-03-02 14:15:00,4227.44,4227.0
2023-03-02 14:30:00,4228.04,4227.67
2023-03-02 14:45:00,4228.85,4227.33
2023-03-02 21:00:00,4233.96,4232.0
2023-03-02 21:15:00,4233.11,4233.33
2023-03-02 21:30:00,4233.32,4233.0
2023-03-02 21:45:00,4227.82,4227.67
2023-03-02 22:00:00,4227.05,4228.0
2023-03-02 22:15:00,4226.64,4227.0
2023-03-02 22:30:00,4222.17,4223.67
2023-03-02 22:45:00,4227.56,4227.0
2023-03-03 09:00:00,4237.25,4236.33
2023-03-03 09:15:00,4239.74,4240.33
2023-03-03 09:30:00,4243.35,4243.33
2023-03-03 09:45:00,4252.98,4254.67
2023-03-03 10:00:00,4258.87,4259.0
2023-03-03 10:30:00,4263.4,4262.67
2023-03-03 10:45:00,4262.88,4261.67
2023-03-03 11:00:00,4257.29,4259.0
2023-03-03 11:15:00,4262.85,4263.67
2023-03-03 13:30:00,4268.17,4267.33
2023-03-03 13:45:00,4268.24,4268.0
2023-03-03 14:00:00,4271.97,4272.0
2023-03-03 14:15:00,4275.09,4274.67
2023-03-03 14:30:00,4272.56,4272.33
2023-03-03 14:45:00,4270.62,4271.0
2023-03-03 21:00:00,4262.02,4261.67
2023-03-03 21:15:00,4254.06,4251.67
2023-03-03 21:30:00,4246.58,4247.67
2023-03-03 21:45:00,4248.2,4247.0
2023-03-03 22:00:00,4252.7,4252.33
2023-03-03 22:15:00,4254.97,4254.67
2023-03-03 22:30:00,4252.82,4251.67
2023-03-03 22:45:00,4246.84,4248.0
2023-03-06 09:00:00,4201.83,4202.0
2023-03-06 09:15:00,4192.4,4192.0
2023-03-06 09:30:00,4187.83,4188.33
2023-03-06 09:45:00,4186.4,4188.0
2023-03-06 10:00:00,4186.39,4185.67
2023-03-06 10:30:00,4180.23,4179.33
2023-03-06 10:45:00,4187.67,4188.67
2023-03-06 11:00:00,4192.17,4190.33
2023-03-06 11:15:00,4189.31,4190.67
2023-03-06 13:30:00,4192.79,4192.67
2023-03-06 13:45:00,4197.55,4198.0
2023-03-06 14:00:00,4205.28,4205.33
2023-03-06 14:15:00,4201.36,4201.33
2023-03-06 14:30:00,4207.95,4209.0
2023-03-06 14:45:00,4213.21,4211.67
2023-03-06 21:00:00,4212.81,4211.0
2023-03-06 21:15:00,4211.29,4210.67
2023-03-06 21:30:00,4209.24,4208.33
2023-03-06 21:45:00,4202.97,4203.0
2023-03-06 22:00:00,4205.67,4205.67
2023-03-06 22:15:00,4208.8,4209.0
2023-03-06 22:30:00,4209.0,4209.33
2023-03-06 22:45:00,4209.68,4207.33
2023-03-07 09:00:00,4212.76,4212.67
2023-03-07 09:15:00,4213.53,4214.33
2023-03-07 09:30:00,4229.37,4230.0
2023-03-07 09:45:00,4245.59,4244.33
2023-03-07 10:00:00,4243.36,4243.33
2023-03-07 10:30:00,4246.77,4248.67
2023-03-07 10:45:00,4250.03,4248.67
2023-03-07 11:00:00,4242.63,4244.33
2023-03-07 11:15:00,4259.84,4261.33
2023-03-07 13:30:00,4268.0,4267.67
2023-03-07 13:45:00,4259.94,4262.33
2023-03-07 14:00:00,4260.3,4260.0
2023-03-07 14:15:00,4256.65,4257.0
2023-03-07 14:30:00,4251.15,4251.33
2023-03-07 14:45:00,4248.64,4249.0
2023-03-07 21:00:00,4254.3,4252.33
2023-03-07 21:15:00,4252.53,4252.67
