日期/时间,VWAP,TWAP
2023-02-22 09:15:00,3888.28,3888.0
2023-02-22 09:30:00,3887.07,3883.67
2023-02-22 09:45:00,3882.26,3882.67
2023-02-22 10:00:00,3882.84,3882.67
2023-02-22 10:30:00,3880.54,3881.0
2023-02-22 10:45:00,3876.36,3877.0
2023-02-22 11:00:00,3877.48,3878.33
2023-02-22 11:15:00,3878.33,3878.67
2023-02-22 13:30:00,3882.16,3882.0
2023-02-22 13:45:00,3879.52,3879.67
2023-02-22 14:00:00,3878.34,3878.0
2023-02-22 14:15:00,3875.06,3874.67
2023-02-22 14:30:00,3872.35,3871.67
2023-02-22 14:45:00,3873.87,3873.33
2023-02-22 21:00:00,3869.39,3869.33
2023-02-22 21:15:00,3866.46,3865.67
2023-02-22 21:30:00,3863.91,3864.0
2023-02-22 21:45:00,3863.65,3863.33
2023-02-22 22:00:00,3861.47,3862.0
2023-02-22 22:15:00,3863.82,3863.33
2023-02-22 22:30:00,3846.67,3851.0
2023-02-22 22:45:00,3852.13,3851.33
2023-02-23 09:00:00,3846.27,3846.0
2023-02-23 09:15:00,3846.48,3846.67
2023-02-23 09:30:00,3847.85,3848.33
2023-02-23 09:45:00,3858.64,3859.33
2023-02-23 10:00:00,3859.91,3858.0
2023-02-23 10:30:00,3855.91,3856.67
2023-02-23 10:45:00,3855.43,3855.67
2023-02-23 11:00:00,3854.31,3854.67
2023-02-23 11:15:00,3852.88,3852.33
2023-02-23 13:30:00,3847.36,3847.0
2023-02-23 13:45:00,3846.19,3845.33
2023-02-23 14:00:00,3842.97,3843.0
2023-02-23 14:15:00,3837.67,3837.67
2023-02-23 14:30:00,3838.08,3838.0
2023-02-23 14:45:00,3840.45,3840.0
2023-02-23 21:00:00,3836.81,3836.33
2023-02-23 21:15:00,3834.9,3835.0
2023-02-23 21:30:00,3836.28,3836.33
2023-02-23 21:45:00,3835.79,3836.0
2023-02-23 22:00:00,3837.51,3837.0
2023-02-23 22:15:00,3833.68,3833.33
2023-02-23 22:30:00,3836.89,3834.33
2023-02-23 22:45:00,3831.89,3832.33
