日期/时间,VWAP,TWAP
2023-02-22 09:15:00,911.49,911.67
2023-02-22 09:30:00,913.28,913.0
2023-02-22 09:45:00,911.98,912.0
2023-02-22 10:00:00,914.28,914.17
2023-02-22 10:30:00,916.26,916.33
2023-02-22 10:45:00,916.06,916.0
2023-02-22 11:00:00,915.77,916.0
2023-02-22 11:15:00,914.93,915.0
2023-02-22 13:30:00,915.02,914.0
2023-02-22 13:45:00,911.23,911.17
2023-02-22 14:00:00,911.6,911.17
2023-02-22 14:15:00,909.8,910.17
2023-02-22 14:30:00,912.14,913.0
2023-02-22 14:45:00,911.93,911.0
2023-02-22 21:00:00,912.24,911.33
2023-02-22 21:15:00,909.98,910.5
2023-02-22 21:30:00,911.97,911.83
2023-02-22 21:45:00,911.02,911.17
2023-02-22 22:00:00,912.67,912.83
2023-02-22 22:15:00,913.31,912.17
2023-02-22 22:30:00,911.12,912.17
2023-02-22 22:45:00,912.91,913.0
2023-02-23 09:00:00,911.14,910.83
2023-02-23 09:15:00,910.31,910.17
2023-02-23 09:30:00,908.56,909.83
2023-02-23 09:45:00,912.56,913.0
2023-02-23 10:00:00,912.51,912.5
2023-02-23 10:30:00,911.36,911.33
2023-02-23 10:45:00,911.0,910.83
2023-02-23 11:00:00,912.0,912.0
2023-02-23 11:15:00,913.67,913.67
2023-02-23 13:30:00,914.76,914.83
2023-02-23 13:45:00,911.81,911.5
2023-02-23 14:00:00,912.57,912.5
2023-02-23 14:15:00,911.66,911.0
2023-02-23 14:30:00,909.54,909.67
2023-02-23 14:45:00,909.86,909.67
2023-02-23 21:00:00,906.25,906.83
2023-02-23 21:15:00,908.14,908.5
2023-02-23 21:30:00,911.36,911.5
2023-02-23 21:45:00,910.74,910.83
2023-02-23 22:00:00,911.51,911.33
2023-02-23 22:15:00,912.47,912.67
2023-02-23 22:30:00,913.93,913.33
2023-02-23 22:45:00,915.8,915.5
2023-02-24 09:00:00,914.29,914.0
2023-02-24 09:15:00,912.2,912.5
2023-02-24 09:30:00,910.41,910.67
2023-02-24 09:45:00,910.88,911.0
2023-02-24 10:00:00,913.08,912.5
2023-02-24 10:30:00,912.09,911.5
2023-02-24 10:45:00,906.88,906.33
2023-02-24 11:00:00,903.91,904.17
2023-02-24 11:15:00,905.84,905.67
2023-02-24 13:30:00,903.88,904.17
2023-02-24 13:45:00,902.85,904.17
2023-02-24 14:00:00,905.43,905.33
2023-02-24 14:15:00,904.98,905.17
2023-02-24 14:30:00,908.36,908.67
2023-02-24 14:45:00,909.89,909.67
2023-02-24 21:00:00,899.25,900.5
2023-02-24 21:15:00,903.62,903.67
2023-02-24 21:30:00,903.62,903.0
2023-02-24 21:45:00,899.78,900.0
2023-02-24 22:00:00,899.69,899.5
2023-02-24 22:15:00,895.88,895.67
2023-02-24 22:30:00,894.71,894.5
2023-02-24 22:45:00,892.57,892.67
2023-02-27 09:00:00,898.29,897.83
2023-02-27 09:15:00,902.65,902.5
2023-02-27 09:30:00,904.03,904.0
2023-02-27 09:45:00,904.29,904.33
2023-02-27 10:00:00,902.18,902.67
2023-02-27 10:30:00,900.39,900.17
2023-02-27 10:45:00,900.97,901.17
2023-02-27 11:00:00,898.13,897.83
2023-02-27 11:15:00,891.47,891.0
2023-02-27 13:30:00,887.92,887.17
2023-02-27 13:45:00,886.39,885.67
2023-02-27 14:00:00,886.5,886.17
2023-02-27 14:15:00,884.7,884.67
2023-02-27 14:30:00,885.08,885.67
2023-02-27 14:45:00,886.7,886.17
2023-02-27 21:00:00,885.23,885.0
2023-02-27 21:15:00,887.1,886.83
2023-02-27 21:30:00,889.21,888.33
2023-02-27 21:45:00,887.09,886.83
2023-02-27 22:00:00,886.13,886.33
2023-02-27 22:15:00,887.58,887.33
2023-02-27 22:30:00,886.57,886.5
2023-02-27 22:45:00,886.91,886.83
2023-02-28 09:00:00,889.95,889.17
2023-02-28 09:15:00,888.66,889.17
2023-02-28 09:30:00,889.62,888.83
2023-02-28 09:45:00,885.57,885.5
2023-02-28 10:00:00,885.12,885.17
2023-02-28 10:30:00,884.72,886.0
2023-02-28 10:45:00,888.71,888.17
2023-02-28 11:00:00,885.38,885.67
2023-02-28 11:15:00,886.55,886.83
2023-02-28 13:30:00,885.89,886.17
2023-02-28 13:45:00,887.1,886.83
2023-02-28 14:00:00,885.71,886.0
2023-02-28 14:15:00,886.85,886.67
2023-02-28 14:30:00,888.0,887.83
