date,close_zj,total_zj,上海,云南,内蒙,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,江苏,江西,河北,河南,浙江,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,黑龙江,销售总金额,上海_daily_order_amounts_by_province,云南_daily_order_amounts_by_province,内蒙_daily_order_amounts_by_province,北京_daily_order_amounts_by_province,吉林_daily_order_amounts_by_province,四川_daily_order_amounts_by_province,天津_daily_order_amounts_by_province,安徽_daily_order_amounts_by_province,山东_daily_order_amounts_by_province,山西_daily_order_amounts_by_province,广东_daily_order_amounts_by_province,广西_daily_order_amounts_by_province,江苏_daily_order_amounts_by_province,江西_daily_order_amounts_by_province,河北_daily_order_amounts_by_province,河南_daily_order_amounts_by_province,浙江_daily_order_amounts_by_province,湖北_daily_order_amounts_by_province,湖南_daily_order_amounts_by_province,福建_daily_order_amounts_by_province,贵州_daily_order_amounts_by_province,辽宁_daily_order_amounts_by_province,重庆_daily_order_amounts_by_province,陕西_daily_order_amounts_by_province,黑龙江_daily_order_amounts_by_province
2019-01-02,39.48,88.59814345,60.0,22.0,0.0,36.0,16.0,46.0,19.0,0.0,52.0,80.0,15.0,111.0,34.0,116.0,26.0,34.0,44.0,136.0,37.0,67.0,0.0,86.0,23.0,28.0,18.0,22.0,17.0,131981.44,5229.0,2279.5,0.0,2408.5,714.5,4229.2,1031.8,3731.1,6669.5,942.1,13024.38,3505.0,14771.6,4607.9,3138.5,3112.26,27449.2,3833.4,7164.0,9957.0,7633.6,2097.9,936.4,1439.3,2075.8
2019-01-03,35.5475,88.62349391,38.0,16.0,0.0,35.0,22.0,50.0,11.0,0.0,40.0,60.0,24.0,99.0,40.0,119.0,25.0,23.0,27.0,106.0,34.0,56.0,0.0,68.0,26.0,21.0,14.0,12.0,10.0,82139.51,5116.2,1122.9,0.0,3018.65,1494.7,3672.95,527.1,2868.2,4235.6,1628.2,7620.1,5012.2,9433.9,1605.4,1171.3,1888.8,8057.610000000001,3270.7,7659.3,7137.1,2336.1,1198.3,935.5,594.9,533.8
2019-01-04,37.065,88.45831432,57.0,19.0,1.0,25.0,6.0,27.0,10.0,0.0,30.0,53.0,18.0,87.0,39.0,79.0,24.0,32.0,35.0,115.0,36.0,51.0,0.0,70.0,20.0,27.0,22.0,17.0,21.0,89577.72,4405.5,1426.2,99.8,1846.41,673.3,2341.8,575.4,2803.7,4314.3,1081.9,12241.1,3085.7,9790.51,2312.6,2268.5,4129.0,10398.7,6659.5,4383.9,6552.2,1442.9,2041.0,2136.0,1490.1,1077.7
2019-01-07,36.9825,88.2731241,45.0,13.0,0.0,25.0,23.0,39.0,18.0,0.0,31.0,45.0,11.0,85.0,32.0,82.0,40.0,25.0,38.0,123.0,27.0,49.0,0.0,73.0,28.0,16.0,16.0,15.0,14.0,101737.95,3522.7,967.8,0.0,2475.5,3295.8,3478.68,979.42,4111.38,3320.78,1075.0,7523.440000000001,2746.2,8331.86,4498.0,1382.48,2807.4,13998.85,2198.0,8868.36,20676.84,1938.5,770.0,1145.4,845.4,780.16
2019-01-08,37.6875,88.29435291,64.0,9.0,1.0,37.0,11.0,42.0,20.0,0.0,45.0,55.0,13.0,83.0,39.0,101.0,27.0,24.0,27.0,130.0,46.0,54.0,0.0,91.0,24.0,28.0,17.0,17.0,18.0,148973.54,4738.16,631.5,180.0,2770.5,1060.7,2491.18,4420.36,4410.7,5358.98,2933.5,18619.05,2377.21,22743.16,30670.6,1047.46,2883.98,12593.24,3957.18,7020.3,9573.92,1741.8,1262.8,1291.7,3117.9,1077.66
2019-01-09,38.3275,88.29541881,45.0,13.0,1.0,41.0,14.0,39.0,20.0,0.0,58.0,63.0,16.0,97.0,21.0,97.0,29.0,21.0,37.0,101.0,42.0,52.0,0.0,103.0,16.0,22.0,18.0,20.0,16.0,134792.58,2275.7,1102.4,44.8,29777.9,1493.3,2606.78,957.98,6502.83,3980.64,792.38,13069.35,1384.0,11823.84,6049.0,1119.18,8374.68,8046.89,2241.3,17645.1,10359.35,1148.66,1013.4,1243.1,946.54,793.48
2019-01-10,38.45,88.29515617,42.0,10.0,0.0,34.0,14.0,43.0,19.0,0.0,37.0,44.0,10.0,76.0,24.0,86.0,25.0,21.0,17.0,92.0,20.0,49.0,0.0,80.0,14.0,26.0,13.0,13.0,15.0,85388.14,5331.18,720.0,0.0,2344.44,1851.54,3665.72,1012.48,10139.3,3740.88,415.2,6696.08,2452.9,12913.86,1673.26,1450.68,1120.58,9444.0,1367.0,4065.32,9194.72,995.04,1654.72,1441.24,683.5,1014.5
2019-01-11,38.0725,88.2449782,32.0,9.0,0.0,30.0,11.0,31.0,11.0,0.0,36.0,50.0,11.0,53.0,16.0,81.0,28.0,20.0,21.0,89.0,15.0,28.0,0.0,70.0,15.0,24.0,14.0,14.0,10.0,86056.52,2094.84,814.0,0.0,3168.98,1220.2,2202.2,565.98,2402.28,6742.54,532.18,6347.02,1178.3,9263.82,20461.98,1225.78,1432.34,8756.78,1620.4,2067.46,7887.84,992.24,1966.5,1410.48,920.88,781.5
2019-01-14,37.5,89.11979894,40.0,6.0,1.0,39.0,18.0,51.0,29.0,0.0,53.0,63.0,21.0,107.0,28.0,123.0,33.0,38.0,44.0,176.0,24.0,71.0,2.0,114.0,30.0,36.0,16.0,26.0,22.0,121897.4,5427.81,431.2,33.4,2126.68,3874.03,6115.18,1446.26,3792.49,4188.34,1562.22,15065.64,2902.88,14461.83,2890.04,2199.56,4881.12,17841.84,1547.75,7075.99,14161.19,2902.01,2516.14,1285.34,1558.82,1430.14
2019-01-15,38.2675,89.13745604,51.0,20.0,2.0,55.0,16.0,50.0,27.0,0.0,72.0,55.0,16.0,110.0,47.0,86.0,32.0,40.0,36.0,161.0,35.0,64.0,0.0,107.0,25.0,39.0,23.0,14.0,23.0,122185.84,6534.12,1337.37,183.1,5099.55,2029.35,4257.57,1582.85,9359.0,3607.5,1099.03,15458.87,3495.37,11162.81,2913.91,2460.43,3159.81,21566.8,2019.38,5425.49,9481.39,1937.04,2674.22,1465.56,811.91,3063.41
2019-01-16,38.735,89.05259157,55.0,11.0,0.0,49.0,18.0,48.0,21.0,0.0,46.0,69.0,16.0,100.0,30.0,126.0,42.0,43.0,37.0,167.0,23.0,56.0,1.0,112.0,30.0,37.0,26.0,15.0,21.0,148494.15,5491.36,923.59,0.0,3883.64,1149.45,4073.37,1311.54,5269.820000000001,4960.1,682.0,10960.83,2847.05,41874.37,4279.45,2755.37,4996.64,19312.98,1760.88,5830.76,12496.74,2271.71,1837.31,5105.32,3444.34,875.73
