time,forex_npdc_gold,oil_npdc_gold,oil_npdc_forex,SP500_npdc_gold,SP500_npdc_forex,SP500_npdc_oil,soybean_npdc_gold,soybean_npdc_forex,soybean_npdc_oil,soybean_npdc_SP500,bitcoin_npdc_gold,bitcoin_npdc_forex,bitcoin_npdc_oil,bitcoin_npdc_SP500,bitcoin_npdc_soybean,ten_year_bond_npdc_gold,ten_year_bond_npdc_forex,ten_year_bond_npdc_oil,ten_year_bond_npdc_SP500,ten_year_bond_npdc_soybean,ten_year_bond_npdc_bitcoin,US-China Trade War,Tax Policy,Healthcare Reform,Election Related,Economic Indicators,Fed Policy,Stock Market,Geopolitical Risks,Trade Agreements,COVID-19,Healthcare Policy,Energy Policy,Tech Regulation
2017/1/3,0.533654954,0.630850717,-0.79387412,-0.522210141,0.177074782,0.161039698,0.201595333,0.351492148,-0.171015665,-0.978933821,-0.181384903,-0.368260176,-0.41586579,-1.341515144,0.307331147,0.105476398,0.356205022,0.008171637,-0.287474326,0.171806069,-0.453168261,0,0.268263987,0.510825624,0.117783036,0.352821375,0.196279909,0.658779537,-0.241162057,0,1.066351426,0.978326123,0.320471895,0.039220713
2017/1/4,0.534027922,0.62793633,-0.879751439,-0.466419654,0.262908889,0.101202405,0.122755786,0.303067982,-0.081659681,-0.981801415,-0.218698857,-0.551931936,-0.649664551,-1.037815195,0.200140487,0.055752817,0.499122209,0.075278774,-0.168092675,0.340804946,-0.722266649,0,0.234839591,2.694627181,-0.057158414,0.114775515,0.164002976,-0.01408474,-0.451985124,0,0.063513406,0.051293294,0.10697212,1.045968555
2017/1/5,0.542374857,0.280267463,-1.592215177,-0.496869955,0.113536608,0.247693656,-0.855045795,-1.075167141,-0.370501597,-1.063274755,-1.212232113,-2.368635912,-1.099191291,-0.918311964,0.833273345,-0.446724409,-0.748554889,-0.144790687,-0.188644604,0.043761115,-1.67084721,0,0.130620182,0.138586163,-0.060624622,-0.170345366,0.088410957,0,0.451985124,0,-0.167054085,0.101782694,0.610080582,-0.542864978
2017/1/6,0.564286299,0.943746417,-0.864952982,-0.036325519,0.151009064,0.230411273,-0.692968455,-0.437153042,-0.115866464,-1.07764392,-0.702066136,-1.341557892,-0.874684082,-0.789198739,0.888989515,-0.946902956,-1.198012791,-0.187628246,-0.128862256,-0.271204339,-1.64916933,0,-0.457833094,-1.498212277,-0.064538521,0.251314428,-0.122602322,0.061875404,0.0588405,0,0.1198012,-0.138150338,-0.669799817,-0.583146285
2017/1/9,0.893964608,1.767235291,-0.413151939,-0.592076446,0.257162522,0.469165101,-0.102670475,-0.20374297,-0.185749833,-0.185630421,-1.303394293,-1.87884984,-1.75725704,-0.602072687,0.976593202,-1.756723026,-2.277700346,-0.951382303,-0.603366718,-0.511955951,-2.040056732,0,0.3074847,2.667228207,-0.191055237,0.171850257,0.117783036,0.975714152,0.074107972,0,0.664159644,0.646627165,0.438913042,25.78042115
2017/1/10,0.756540993,1.154347117,-0.80619509,-1.094908928,0.007964803,-0.098534561,-1.431357103,-1.037501854,-1.334677346,-1.229790926,-1.793615893,-2.266708926,-1.770888529,-0.746706514,0.049230001,-0.62865681,-0.361601928,-1.006975662,-0.123438442,-0.1958229,-0.283062351,0,0.280301965,-1.232143681,0.233614851,0.157903029,0.031252544,0.122898136,0.405465108,0,-0.258694536,-0.006825965,0.013072082,0.415515444
2017/1/11,0.760206239,1.384233686,-0.308705278,0.472415887,0.185283879,-1.215662356,-3.373881863,-2.256310105,-1.223171066,-0.692813028,-1.693987487,-2.417084207,-1.146132698,-0.625226169,0.763672539,-1.922735385,-1.15123519,-3.26382987,-0.259762803,-0.441339855,-2.285547363,0,-0.280301965,-0.559615788,0.189242,0,0.066939483,0,0.373204246,0,0.433635985,-0.027779564,0,-0.274436846
2017/1/12,0.805825838,1.149267211,0.006894282,0.159093275,-3.163633085,-7.168646879,-3.156434455,-1.053929274,-0.709787051,-0.440529202,-1.88378336,-2.719493893,-1.605827771,-0.435658992,0.342587122,-1.883823338,-1.21166846,-2.717874527,-0.295426981,-0.034932793,-2.16849654,0,0.405465108,1.992430165,-0.276253377,0,-0.122289578,0.078471615,-0.373204246,0,-0.360208517,0.162166755,-0.053345981,0.793230639
2017/1/13,0.481844261,1.467963869,0.065000767,-0.4517647,-1.432972966,-8.561411868,-3.075740197,-1.053501376,-0.966042945,-0.76355246,-1.535605247,-1.600764991,-3.614625018,-0.395499763,-0.237694784,-2.945022283,-1.524562585,-3.318236024,0.055167245,-0.301694716,-2.794183664,0,-0.348306694,-0.693147181,0.241162057,-0.131927543,-0.102654154,-0.085297581,0.068992871,0,0.207086114,-0.227644684,-0.196114879,0.184303718
2017/1/17,0.324000184,1.22541435,0.213232584,-0.761475797,-2.00640375,-6.464104745,0.098280498,0.604982126,-1.564526495,-0.209264248,-1.818202084,-1.685488345,-8.82240427,-0.481996259,-3.011423405,-4.832537208,-4.57542035,-2.176765189,-0.258058639,-2.63178592,-1.609282879,0,0.310154928,1.268511325,0.47957308,0.215519626,-0.137923143,0.518793793,-0.310154928,1.237874356,0.379986023,0.097980408,0.241162057,-0.990398704
