time,open,high,low,close,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2009-07-31,3670.190900,3735.804000,3635.548100,3734.622100,,,,0.000000,0.000000,0.000000,,,,,,,,
2009-08-03,3754.218000,3789.935100,3716.573000,3787.033000,,,,4.180926,0.836185,6.689482,,,,,,,,
2009-08-04,3803.061000,3803.061000,3712.430900,3786.615000,,,,7.375591,2.144066,10.463048,,,,,,,,
2009-08-05,3781.400900,3789.127000,3691.976100,3740.936000,,,,6.150571,2.945367,6.410408,,,,,,,,
2009-08-06,3707.907000,3739.577900,3602.575000,3663.120100,3742.465240,,,-1.086830,2.138928,-6.451515,,,,,,,,
2009-08-07,3655.461900,3686.543000,3539.697000,3555.095000,3706.559820,,,-15.362160,-1.361290,-28.001740,,,,,,,,
2009-08-10,3589.716100,3613.457000,3485.364000,3544.539100,3658.061040,,,-27.213534,-6.531738,-41.363590,,,,,,,,
2009-08-11,3558.645000,3569.149900,3509.717000,3556.375000,3612.013040,,,-35.244498,-12.274290,-45.940415,,,,,,,,
2009-08-12,3546.500000,3546.500000,3390.361100,3397.399900,3543.305820,,,-53.816692,-20.582771,-66.467842,,,,,,1.705549,1.705549,1.705549
2009-08-13,3398.888900,3448.862100,3338.847900,3440.820100,3498.845820,,,-64.290541,-29.324325,-69.932432,,,,,,13.862227,8.999556,23.587569
2009-08-14,3437.950900,3454.945100,3334.729000,3344.461900,3456.719200,,,-79.450586,-39.349577,-80.202018,,,,,,8.280322,8.658866,7.523234
2009-08-17,3283.436000,3319.804000,3137.477100,3140.271000,3375.865580,,,-106.711427,-52.821947,-107.778960,,,,,,5.018897,7.146879,0.762932
2009-08-18,3110.708000,3186.814900,3083.202900,3171.986100,3298.987800,,,-124.323572,-67.122272,-114.402600,,,,,,8.284769,7.583699,9.686908
2009-08-19,3178.281000,3183.007100,2982.221900,3014.568100,3222.421440,,,-149.263029,-83.550423,-131.425212,124.411293,,,,13.954702,6.935577,7.346867,6.112998
2009-08-20,3021.251000,3146.568100,3021.251000,3144.389900,3163.135400,3468.148820,,-156.745332,-98.189405,-117.111854,126.678729,,,,23.852061,13.575889,9.552285,21.623096
2009-08-21,3135.373000,3221.166000,3113.704100,3203.624000,3134.967820,3432.748947,,-156.096036,-109.770731,-92.650610,129.114429,,,,24.309647,21.951458,13.853156,38.148061
2009-08-24,3222.397000,3241.523900,3178.856000,3229.600100,3152.833640,3395.586753,,-151.736289,-118.163843,-67.144892,127.117129,,,,26.011857,29.442418,19.188357,49.950538
2009-08-25,3210.851100,3210.851100,3019.118900,3109.830100,3140.402440,3350.467760,,-156.145646,-125.760203,-60.770885,135.212150,,,,24.451477,28.611969,22.384996,41.065915
2009-08-26,3082.679900,3203.785900,3065.462900,3172.386000,3171.966020,3312.564427,,-152.830618,-131.174286,-43.312664,135.209436,,,,29.885512,32.529054,25.805898,45.975367
2009-08-27,3149.565900,3212.270000,3116.894000,3156.301000,3174.348240,3278.776487,,-149.774849,-134.894399,-29.760900,131.533007,3394.698675,3911.091246,2878.306104,32.321585,38.924141,30.212610,56.347205
2009-08-28,3152.037100,3168.190900,3030.731000,3046.781000,3142.979640,3244.888887,,-154.410530,-138.797625,-31.225810,132.202071,3360.306620,3872.984547,2847.628693,29.714414,34.224367,31.556769,39.559563
2009-08-31,3003.543000,3003.543000,2825.767100,2830.271000,3063.113820,3197.271013,,-173.554263,-145.748953,-55.610620,143.743571,3312.468520,3835.929935,2789.007105,24.639244,23.139373,28.741326,11.935468
2009-09-01,2804.584000,2901.277100,2795.486100,2843.700000,3009.887800,3149.759347,,-185.503828,-153.699928,-63.607801,139.441936,3265.322770,3778.728510,2751.917030,28.472082,19.019967,25.493456,6.072989
2009-09-02,2824.641100,2904.785900,2813.617900,2890.926000,2953.595800,3115.994420,,-188.984703,-160.756883,-56.455641,138.095779,3222.822270,3710.538765,2735.105775,28.683137,19.813609,23.597287,12.246252
2009-09-03,2898.449000,3059.987100,2892.648900,3051.964100,2932.728420,3090.070687,,-176.711869,-163.947880,-25.527977,141.584707,3192.264470,3638.659340,2745.869600,39.202659,32.388971,26.530825,44.105261
2009-09-04,3055.346900,3099.385000,3038.990000,3077.142100,2938.800640,3072.249367,,-163.074088,-163.773122,1.398067,131.114007,3168.366825,3583.022046,2753.711604,47.314754,44.126731,32.400099,67.579997
2009-09-07,3097.789100,3153.227100,3078.126000,3104.208000,2993.588040,3069.845167,,-148.371720,-160.692841,24.642243,129.147793,3146.350270,3521.815238,2770.885302,47.105548,54.113131,39.641042,83.057307
2009-09-08,3084.199000,3170.967000,3047.300000,3170.967000,3059.041440,3069.777227,,-129.836421,-154.521557,49.370273,123.639350,3127.079870,3449.793679,2804.366061,57.239558,66.109051,48.466366,101.394420
2009-09-09,3188.311000,3207.387900,3143.739000,3194.908900,3119.838020,3081.799947,,-111.924950,-146.002236,68.154572,118.757129,3116.955320,3415.782040,2818.128600,52.592609,76.398228,57.778854,113.636977
2009-09-10,3179.187000,3204.124000,3150.172100,3162.914100,3142.028020,3083.034893,3275.591857,-99.168540,-136.635497,74.933913,114.934986,3103.060020,3361.608566,2844.511474,47.850699,80.666994,65.409254,111.182475
2009-09-11,3152.814900,3253.451900,3152.689000,3238.133100,3174.226220,3085.335500,3259.042223,-82.043700,-125.717137,87.346875,117.656057,3097.743580,3339.199469,2856.287691,50.428238,85.996816,72.272386,113.445675
2009-09-14,3248.347900,3298.905000,3240.533900,3293.394000,3212.063420,3089.588427,3242.587590,-63.283554,-113.230421,99.893732,106.962536,3105.399730,3361.782531,2849.016929,59.850137,90.286260,78.277367,114.304045
2009-09-15,3298.810100,3325.742900,3264.949000,3302.642100,3238.398440,3102.442560,3226.455160,-47.126515,-100.009639,105.766250,101.424743,3111.932530,3381.764808,2842.100252,57.413757,91.746264,82.767177,109.704438
2009-09-16,3290.387000,3296.939900,3212.445100,3258.236100,3251.063880,3108.165900,3210.365163,-37.473170,-87.502345,100.058351,101.054814,3124.115930,3397.419742,2850.812118,55.620615,86.650108,84.061522,91.827280
2009-09-17,3274.582000,3329.116000,3274.582000,3320.095900,3282.500240,3119.085560,3198.931023,-24.548278,-74.911532,100.726508,96.299100,3132.901230,3419.901912,2845.900548,65.906372,90.033230,86.052126,97.995437
2009-09-18,3325.061000,3330.431900,3170.961900,3199.689000,3274.811420,3129.279427,3187.084157,-23.747295,-64.678685,81.862779,91.903107,3132.704480,3419.506348,2845.902612,74.207197,77.962884,83.355680,67.177291
2009-09-21,3163.512000,3210.643100,3090.606900,3208.604000,3257.853420,3154.501627,3175.886320,-22.137952,-56.170538,68.065173,92.920621,3131.654675,3417.113738,2846.195612,74.053703,68.375626,78.362290,48.402298
