trade_date,open,high,low,close,vol,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2012-01-04,6029.090000,6078.870000,6002.750000,6045.460000,542432,,,,0.000000,0.000000,0.000000,,,,,,,,
2012-01-05,6088.120000,6319.430000,6087.370000,6278.460000,976814,,,,18.586895,3.717379,29.739031,,,,,,,,
2012-01-06,6207.870000,6240.790000,6188.970000,6234.000000,447810,,,,29.390793,8.852062,41.077463,,,,,,,,
2012-01-09,6216.670000,6294.520000,6216.670000,6252.880000,326113,,,,39.026545,14.886958,48.279174,,,,,,,,
2012-01-10,6263.540000,6411.120000,6250.660000,6398.240000,621986,6241.808000,,,57.726846,23.454936,68.543820,,,,,,,,
2012-01-11,6396.710000,6404.060000,6367.110000,6390.050000,292494,6310.726000,,,71.066890,32.977327,76.179126,,,,,,,,
2012-01-12,6419.300000,6453.240000,6374.130000,6440.710000,465643,6343.176000,,,84.749866,43.331835,82.836062,,,,,,,,
2012-01-13,6419.980000,6432.400000,6373.130000,6425.280000,309733,6381.432000,,,93.273452,53.320158,79.906588,,,,,,,,
2012-01-16,6417.140000,6450.080000,6386.550000,6442.430000,329362,6419.342000,,,100.256622,62.707451,75.098342,,,,,,97.600391,97.600391,97.600391
2012-01-17,6445.670000,6492.680000,6388.550000,6462.940000,496684,6432.282000,,,106.221366,71.410234,69.622264,,,,,,94.637600,95.822716,92.267368
2012-01-18,6437.770000,6488.440000,6434.300000,6468.580000,284850,6447.988000,,,110.134013,79.154990,61.958046,,,,,,93.418905,94.684069,90.888577
2012-01-19,6475.840000,6487.840000,6466.120000,6485.020000,161293,6456.850000,,,113.255841,85.975160,54.561363,,,,,,94.999789,94.815214,95.368940
2012-01-20,6510.190000,6600.180000,6488.270000,6595.110000,338950,6490.816000,,,123.193162,93.418760,59.548803,,,,,,96.362451,95.409177,98.268999
2012-01-30,6520.700000,6547.440000,6501.490000,6529.210000,208632,6508.172000,,,124.317921,99.598593,49.438658,93.845000,,,,82.176637,86.564790,92.177318,75.339732
2012-01-31,6504.750000,6564.070000,6485.420000,6541.660000,351976,6523.916000,6399.335333,,124.775577,104.633989,40.283175,94.025714,,,,82.467023,82.196154,88.643434,69.301595
2012-02-01,6528.440000,6540.280000,6503.960000,6515.750000,249012,6533.350000,6430.688000,,121.645301,108.036252,27.218098,77.149286,,,,71.298042,75.473238,84.075120,58.269474
2012-02-02,6524.310000,6560.510000,6510.170000,6531.970000,311563,6542.740000,6447.588667,,119.100437,110.249089,17.702696,74.352857,,,,78.172570,72.939916,80.264256,58.291235
2012-02-03,6524.810000,6545.560000,6511.080000,6536.160000,223626,6530.950000,6467.732667,,116.083573,111.415985,9.335174,71.255000,,,,77.548917,71.857537,77.412564,60.747484
2012-02-06,6550.270000,6584.470000,6543.880000,6571.600000,290959,6539.428000,6488.980667,,115.224165,112.177621,6.093088,63.244286,,,,71.443768,75.537798,76.780332,73.052730
2012-02-07,6593.940000,6603.120000,6553.650000,6571.230000,310870,6545.342000,6500.513333,,113.208229,112.383743,1.648972,64.138571,6435.837000,6713.809951,6157.864049,72.853179,75.935809,76.496638,74.814151
2012-02-08,6573.660000,6614.280000,6552.690000,6614.280000,286610,6565.048000,6515.462000,,113.772858,112.661566,2.222583,62.887143,6464.278000,6684.468090,6244.087910,72.321819,83.998635,79.010219,93.975466
2012-02-09,6623.170000,6670.630000,6607.280000,6625.510000,439944,6583.756000,6527.782000,,113.814514,112.892156,1.844717,62.585000,6481.630500,6694.749051,6268.511949,76.031618,81.202333,79.743435,84.120127
2012-02-10,6612.940000,6641.660000,6609.730000,6629.250000,180558,6602.374000,6541.380000,,112.848467,112.883418,-0.069902,60.327857,6501.393000,6689.682938,6313.103062,75.165688,80.018115,79.835205,80.383936
2012-02-13,6640.080000,6658.710000,6629.670000,6639.790000,197766,6616.012000,6554.537333,,111.646368,112.636008,-1.979280,54.994286,6520.738500,6678.560704,6362.916296,74.480219,80.511618,80.061020,81.412815
2012-02-14,6624.110000,6649.550000,6599.020000,6608.360000,228673,6623.438000,6564.232000,,106.924992,111.493805,-9.137625,54.736429,6531.244500,6682.572935,6379.916065,68.059432,74.065476,78.060475,66.075480
2012-02-15,6599.170000,6616.540000,6589.950000,6609.180000,173405,6622.418000,6573.605333,,102.072804,109.609605,-15.073602,55.084286,6542.201000,6681.759372,6402.642628,66.716032,69.869288,75.328230,58.951402
2012-02-16,6614.260000,6623.440000,6549.270000,6562.960000,329774,6609.908000,6578.801333,,93.420943,106.371872,-25.901858,52.156429,6548.313500,6679.620148,6417.006852,44.772528,51.589030,67.411593,19.943906
2012-02-17,6589.880000,6595.190000,6564.020000,6586.840000,225459,6601.426000,6578.250000,,87.482751,102.594048,-30.222594,47.771429,6556.391500,6675.102815,6437.680185,60.853516,44.709779,59.842045,14.445247
2012-02-20,6624.870000,6629.720000,6604.880000,6609.490000,164818,6595.366000,6583.602000,,83.640204,98.803279,-30.326150,45.216429,6564.744500,6672.716780,6456.772220,62.301861,46.347168,55.342851,28.355803
2012-02-21,6614.320000,6627.670000,6577.760000,6623.340000,248279,6598.362000,6589.047333,6494.191333,80.781341,95.198892,-28.835102,46.088571,6572.764500,6672.404305,6473.124695,70.405493,51.243196,53.976117,45.777356
2012-02-22,6663.290000,6663.620000,6625.030000,6626.150000,189637,6601.756000,6596.407333,6513.547667,77.845065,91.728126,-27.766123,45.370000,6580.643000,6669.982822,6491.303178,68.819439,56.573333,54.841933,60.036134
2012-02-23,6635.730000,6642.980000,6600.440000,6616.050000,193177,6612.374000,6602.012667,6524.800667,73.851743,88.152850,-28.602214,45.945714,6587.194500,6665.551406,6508.837594,65.595596,57.182142,55.622049,60.302328
2012-02-24,6613.300000,6638.960000,6607.280000,6620.050000,130039,6619.016000,6607.605333,6537.669000,70.200544,84.562389,-28.723688,44.757857,6588.441500,6668.111610,6508.771390,60.781521,58.754051,56.666091,62.929971
2012-02-27,6632.170000,6685.980000,6627.500000,6663.610000,245076,6629.840000,6613.739333,6551.360000,70.014784,81.652868,-23.276167,45.933571,6595.161500,6676.451838,6513.871162,67.242795,67.048551,60.127002,80.891650
2012-02-28,6681.720000,6689.020000,6655.190000,6666.640000,160875,6638.500000,6620.100000,6560.306667,69.313066,79.184907,-19.743682,43.950714,6601.410500,6684.577208,6518.243792,61.489511,72.694363,64.316196,89.450697
2012-02-29,6655.390000,6658.930000,6634.740000,6655.800000,151836,6644.430000,6622.868000,6569.165000,67.108665,76.769659,-19.321988,41.704286,6608.413000,6684.493466,6532.332534,56.658021,72.937578,67.190024,84.432687
2012-03-01,6632.050000,6637.830000,6615.920000,6624.700000,161543,6646.160000,6622.814000,6575.298000,62.135887,73.842905,-23.414034,42.272143,6613.049500,6680.305364,6545.793636,49.107248,62.688127,65.689380,56.685622
2012-03-02,6630.350000,6639.300000,6624.170000,6633.220000,85669,6648.794000,6623.078667,6582.229333,58.211393,70.716602,-25.010418,41.248571,6617.902500,6675.044503,6560.760497,48.700605,58.407798,63.262173,48.699046
2012-03-05,6632.190000,6633.390000,6588.580000,6603.430000,201705,6636.758000,6620.654667,6587.596000,52.096859,66.992654,-29.791589,40.840000,6619.494000,6672.853978,6566.134022,49.018593,43.866797,56.797025,18.006339
2012-03-06,6593.730000,6604.240000,6575.960000,6596.130000,145778,6622.656000,6619.839333,6592.035667,46.130237,62.820171,-33.379866,40.960714,6620.739000,6670.390580,6571.087420,47.467495,35.191206,49.595069,6.383480
2012-03-07,6563.450000,6580.600000,6560.630000,6577.030000,125179,6606.902000,6617.696000,6595.650667,39.406186,58.137374,-37.462375,38.198571,6618.876500,6672.206568,6565.546432,53.051664,27.718653,42.302919,-1.449880
2012-03-08,6575.850000,6602.700000,6566.500000,6572.760000,157694,6596.514000,6618.349333,6598.575333,33.348355,53.179570,-39.662430,38.482143,6616.239000,6673.276489,6559.201511,46.662242,21.628354,35.411390,-5.937718
2012-03-09,6583.100000,6612.470000,6575.980000,6610.240000,161721,6591.918000,6619.909333,6599.079667,31.212010,48.786058,-35.148096,38.255714,6615.288500,6672.045952,6558.531048,50.166113,27.298934,32.707236,16.482329
2012-03-12,6591.200000,6600.100000,6588.870000,6596.210000,82822,6590.474000,6619.024000,6601.313000,28.063341,44.641514,-33.156347,36.217143,6613.109500,6669.249165,6556.969835,43.995928,30.264397,31.892956,27.007280
2012-03-13,6600.340000,6640.440000,6600.340000,6626.450000,142061,6596.538000,6619.231333,6604.139333,27.688932,41.250998,-27.124132,36.499286,6614.014000,6670.413783,6557.614217,50.059204,47.666560,37.150826,68.698028
2012-03-14,6637.880000,6641.760000,6591.770000,6602.550000,130988,6601.642000,6617.658000,6607.032667,25.173496,38.035498,-25.724003,37.031429,6613.682500,6670.279508,6557.085492,47.473424,49.001093,41.100916,64.801448
2012-03-15,6603.590000,6651.410000,6603.590000,6634.170000,192637,6613.924000,6618.866000,6610.439333,25.438229,35.516044,-20.155631,38.258571,6617.243000,6669.171542,6565.314458,52.395006,59.670408,47.290747,84.429729
2012-03-16,6683.290000,6693.310000,6642.400000,6645.190000,143018,6620.914000,6620.542000,6614.073667,26.234834,33.659802,-14.849936,37.773571,6620.160500,6671.449526,6568.871474,46.487950,61.024368,51.868621,79.335862
2012-03-19,6650.300000,6652.620000,6633.250000,6634.160000,73424,6628.504000,6618.578667,6616.159000,25.680097,32.063861,-12.767528,36.740714,6621.394000,6672.789015,6569.998985,43.990527,59.155930,54.297724,68.872341
2012-03-20,6645.530000,6660.090000,6627.610000,6639.860000,114933,6631.186000,6616.793333,6618.446667,25.407523,30.732593,-10.650140,36.782143,6622.220000,6674.273488,6570.166512,46.993587,58.720729,55.772059,64.618068
