trade_date,open,high,low,close,vol,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2012-01-04,4234.870000,4234.870000,4158.230000,4159.120000,388106,,,,0.000000,0.000000,0.000000,,,,,,,,
2012-01-05,4152.070000,4192.560000,4146.520000,4177.290000,346134,,,,1.449459,0.289892,2.319134,,,,,,,,
2012-01-06,4167.780000,4194.330000,4162.520000,4194.330000,263714,,,,3.927873,1.017488,5.820769,,,,,,,,
2012-01-09,4185.930000,4190.560000,4159.460000,4183.740000,292419,,,,4.980102,1.810011,6.340182,,,,,,,,
2012-01-10,4184.330000,4215.300000,4175.150000,4213.310000,247211,4185.558000,,,8.106605,3.069329,10.074550,,,,,,,,
2012-01-11,4224.570000,4229.630000,4204.600000,4222.010000,218170,4198.136000,,,11.157778,4.687019,12.941518,,,,,,,,
2012-01-12,4221.050000,4228.640000,4209.220000,4220.960000,168454,4206.870000,,,13.337384,6.417092,13.840583,,,,,,,,
2012-01-13,4227.830000,4230.560000,4211.340000,4226.770000,177395,4213.358000,,,15.356535,8.204981,14.303108,,,,,,,,
2012-01-16,4207.440000,4241.740000,4202.900000,4236.400000,199395,4223.890000,,,17.531693,10.070323,14.922739,,,,,,94.391934,94.391934,94.391934
2012-01-17,4239.710000,4309.750000,4238.520000,4293.020000,321754,4239.832000,,,23.552780,12.766814,21.571931,,,,,,91.607169,92.721075,89.379357
2012-01-18,4293.420000,4322.040000,4285.420000,4302.820000,244975,4255.994000,,,28.783515,15.970155,25.626720,,,,,,89.982886,91.424038,87.100582
2012-01-19,4310.810000,4320.760000,4300.600000,4312.160000,116562,4274.234000,,,33.298723,19.435868,27.725709,,,,,,91.619545,91.505249,91.848138
2012-01-20,4312.690000,4334.310000,4299.810000,4324.400000,151496,4293.760000,,,37.433216,23.035338,28.795757,,,,,,92.446442,91.866560,93.606207
2012-01-30,4322.550000,4347.320000,4318.780000,4321.370000,127580,4310.754000,,,40.004193,26.429109,27.150169,37.513571,,,,92.343024,88.640709,90.687790,84.546545
2012-01-31,4321.280000,4326.010000,4261.960000,4298.870000,213125,4311.924000,4245.771333,,39.767732,29.096833,21.341796,36.614286,,,,82.638143,80.784683,87.181542,67.990964
2012-02-01,4289.980000,4302.500000,4285.770000,4286.940000,154301,4308.748000,4254.292667,,38.177595,30.912986,14.529218,34.520714,,,,76.377195,72.947801,82.244319,54.354765
2012-02-02,4295.740000,4321.050000,4292.790000,4319.150000,180992,4310.146000,4263.750000,,39.066148,32.543618,13.045059,34.685000,,,,77.984037,75.530513,79.946615,66.698310
2012-02-03,4318.330000,4333.560000,4311.800000,4333.400000,139929,4311.946000,4273.021333,,40.453861,34.125667,12.656389,33.748571,,,,83.011293,79.490984,79.792058,78.888835
2012-02-06,4341.410000,4350.210000,4324.400000,4330.710000,180267,4313.814000,4282.819333,,40.865502,35.473634,10.783736,32.724286,,,,79.379379,78.955695,79.510009,77.847066
2012-02-07,4330.700000,4336.270000,4273.690000,4275.690000,341327,4309.178000,4286.978000,,36.333248,35.645557,1.375383,35.406429,4261.623000,4377.543900,4145.702100,60.905249,57.659014,72.169770,28.637500
2012-02-08,4284.830000,4341.470000,4281.470000,4337.120000,344037,4319.214000,4294.652000,,37.268683,35.970182,2.597001,38.717857,4270.523000,4380.487199,4160.558801,68.949429,66.875746,70.395982,59.835276
2012-02-09,4329.460000,4337.510000,4292.930000,4299.080000,314952,4315.200000,4299.860000,,34.542328,35.684611,-2.284566,40.529286,4276.612500,4377.991480,4175.233520,60.673693,58.576175,66.442503,42.843518
2012-02-10,4302.780000,4314.240000,4283.980000,4287.540000,287821,4306.028000,4303.911333,,31.092081,34.766105,-7.348048,39.916429,4281.273000,4375.006843,4187.539157,57.506458,48.690152,60.511509,25.047440
2012-02-13,4267.530000,4278.380000,4243.540000,4262.950000,308680,4292.476000,4305.681333,,26.072975,33.027479,-13.909008,37.820000,4285.233500,4367.622812,4202.844188,45.128155,38.510038,53.166503,9.197109
2012-02-14,4253.650000,4267.250000,4249.630000,4254.320000,187184,4288.202000,4303.101333,,21.155066,30.652996,-18.995861,36.462857,4287.284000,4363.981022,4210.586978,42.112282,29.032384,45.113623,-3.130094
2012-02-15,4255.150000,4257.670000,4192.790000,4194.610000,513912,4259.700000,4295.887333,,12.297729,26.981943,-29.368428,39.657143,4285.914000,4368.289002,4203.538998,33.573684,19.734012,36.648025,-14.094013
2012-02-16,4181.650000,4189.400000,4158.330000,4171.670000,461378,4234.218000,4286.521333,,3.388103,22.263175,-37.750144,39.784286,4283.449500,4376.291175,4190.607825,29.277360,15.471506,29.586000,-12.757481
2012-02-17,4186.260000,4192.880000,4149.760000,4158.050000,416003,4208.320000,4275.431333,,-4.717479,16.867044,-43.169047,40.825714,4280.013500,4385.862783,4174.164217,28.459509,11.754633,23.640423,-12.016947
2012-02-20,4187.040000,4188.890000,4171.160000,4179.780000,313884,4191.686000,4265.992000,,-9.280799,11.637475,-41.836549,38.453571,4277.182500,4390.694532,4163.670468,34.261095,13.056372,20.111698,-1.054280
2012-02-21,4181.770000,4229.480000,4172.830000,4229.480000,523289,4186.718000,4261.366000,4253.568667,-8.785613,7.552858,-32.676942,41.305000,4274.005500,4389.195501,4158.815499,43.095410,22.859131,21.027632,26.522131
2012-02-22,4231.520000,4253.290000,4222.940000,4246.570000,399213,4197.110000,4258.674667,4256.483667,-6.934221,4.655442,-23.179327,41.036429,4271.193000,4386.167345,4156.218655,40.949673,34.859897,25.638798,53.302095
2012-02-23,4240.140000,4249.470000,4219.620000,4230.080000,344035,4208.792000,4252.736667,4258.243333,-6.720120,2.380329,-18.200899,41.614286,4267.089000,4381.765527,4152.412473,37.188136,44.056317,31.778336,68.612281
2012-02-24,4224.080000,4232.200000,4213.530000,4230.110000,298449,4223.204000,4245.850667,4259.436000,-6.473401,0.609583,-14.165968,41.104286,4262.374500,4374.862364,4149.886636,37.442580,52.167466,38.574982,79.352435
2012-02-27,4241.920000,4289.030000,4239.670000,4279.820000,380301,4243.212000,4242.458000,4262.638667,-2.240861,0.039495,-4.560711,40.842857,4260.297000,4369.689364,4150.904636,50.522454,65.907655,47.686113,102.350739
2012-02-28,4278.270000,4294.110000,4267.100000,4293.180000,282634,4255.952000,4243.624000,4265.301000,2.166523,0.464900,3.403245,38.073571,4260.012500,4369.011361,4151.013639,43.671870,77.057211,57.476652,116.218329
2012-02-29,4288.220000,4304.510000,4274.180000,4297.530000,295115,4266.144000,4240.984667,4267.818333,5.941920,1.560304,8.763232,37.055714,4260.542000,4370.192580,4150.891420,49.752783,83.201379,66.051661,117.500814
2012-03-01,4283.070000,4308.550000,4278.540000,4279.190000,337646,4275.966000,4239.658667,4269.759333,7.369119,2.722067,9.294103,37.037857,4258.544000,4365.110951,4151.977049,48.696494,81.677633,71.260359,102.512181
2012-03-02,4292.170000,4301.620000,4284.190000,4294.990000,284272,4288.942000,4240.155333,4272.033333,9.663715,4.110397,11.106636,35.497143,4256.623500,4358.804526,4154.442474,55.142857,84.454717,75.658501,102.047148
2012-03-05,4289.230000,4303.690000,4253.260000,4264.430000,404574,4285.864000,4240.254000,4272.967667,8.913512,5.071020,7.684985,37.840714,4253.309500,4349.496872,4157.122128,51.516060,74.158999,75.158666,72.159666
2012-03-06,4266.770000,4277.890000,4254.540000,4264.340000,300624,4280.096000,4240.922000,4272.011667,8.216989,5.700214,5.033550,34.874286,4252.742000,4348.506397,4156.977603,62.733282,67.263634,72.526982,56.736938
2012-03-07,4237.290000,4257.700000,4229.240000,4250.330000,282173,4270.656000,4244.636667,4270.262000,6.460032,5.852177,1.215709,34.790000,4248.402500,4335.545383,4161.259617,64.848233,57.751971,67.601971,38.051971
2012-03-08,4259.280000,4286.010000,4259.280000,4277.440000,308862,4270.306000,4251.688000,4269.104667,7.172501,6.116242,2.112518,34.258571,4247.320500,4332.325135,4162.315865,71.444480,58.759374,64.654436,46.969251
2012-03-09,4287.440000,4317.440000,4287.440000,4312.950000,343025,4273.898000,4262.014667,4268.723000,10.481672,6.989328,6.984688,34.912857,4248.591000,4336.824938,4160.357062,72.791374,70.809357,66.706077,79.015915
2012-03-12,4327.700000,4331.840000,4312.170000,4327.740000,256175,4286.560000,4271.878667,4268.935333,14.134707,8.418404,11.432607,32.271429,4251.830500,4346.785701,4156.875299,69.098896,79.207541,70.873234,95.876156
2012-03-13,4327.470000,4338.620000,4324.900000,4332.660000,213718,4300.224000,4278.757333,4270.061667,17.228171,10.180357,14.095628,31.083571,4255.747500,4357.364615,4154.130385,67.564369,84.322064,75.356179,102.253836
2012-03-14,4348.510000,4348.800000,4306.570000,4317.530000,358881,4313.664000,4283.488000,4271.081333,18.248541,11.793994,12.909094,31.967857,4261.893500,4362.807740,4160.979260,67.941406,80.829965,77.180775,88.128346
2012-03-15,4317.010000,4334.680000,4305.610000,4331.190000,286897,4324.414000,4290.228667,4271.482667,19.929703,13.421136,13.017134,32.710714,4269.869500,4365.854029,4173.884971,69.639388,82.310308,78.890619,89.149685
2012-03-16,4339.660000,4344.050000,4314.530000,4329.230000,268355,4327.670000,4296.836667,4271.343667,20.863379,14.909585,11.907590,30.610714,4278.428500,4362.178542,4194.678458,61.787299,82.750755,80.177331,87.897603
2012-03-19,4326.340000,4339.630000,4319.830000,4337.030000,223655,4329.528000,4300.650667,4271.554333,21.979355,16.323539,11.311633,30.095714,4286.291000,4359.966050,4212.615950,60.745969,85.219027,81.857897,91.941288
2012-03-20,4339.610000,4345.840000,4321.340000,4328.000000,233642,4328.596000,4302.972000,4273.298000,21.882877,17.435406,8.894941,29.679286,4291.217000,4362.016796,4220.417204,57.299602,82.401008,82.038934,83.125155
