trade_date,open,high,low,close,vol,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2012-01-04,56463.160000,56703.730000,55768.130000,55801.410000,256636,,,,0.000000,0.000000,0.000000,,,,,,,,
2012-01-05,55392.930000,56171.870000,55355.300000,56084.910000,273988,,,,22.615385,4.523077,36.184615,,,,,,,,
2012-01-06,55792.760000,56253.160000,55558.840000,55924.200000,276120,,,,27.256095,9.069680,36.372828,,,,,,,,
2012-01-09,55668.270000,55849.230000,54867.520000,55487.200000,367334,,,,-4.279031,6.399938,-21.357938,,,,,,,,
2012-01-10,55675.400000,56108.400000,55139.040000,55881.180000,345185,55835.780000,,,2.491330,5.618216,-6.253774,,,,,,,,
2012-01-11,56228.820000,56956.990000,55975.500000,56896.150000,354800,56054.728000,,,88.733620,22.241297,132.984645,,,,,,,,
2012-01-12,57019.090000,57511.310000,56782.770000,57462.040000,306401,56330.154000,,,200.433378,57.879713,285.107330,,,,,,,,
2012-01-13,57913.590000,58315.260000,57535.570000,58098.370000,390895,56764.988000,,,336.424661,113.588703,445.671916,,,,,,,,
2012-01-16,57630.680000,58450.650000,57381.570000,58202.870000,320877,57308.122000,,,447.472820,180.365526,534.214588,,,,,,93.084817,93.084817,93.084817
2012-01-17,58466.690000,59953.650000,58328.020000,59823.220000,408708,58096.530000,,,658.635648,276.019551,765.232195,,,,,,95.695272,94.651090,97.783635
2012-01-18,59676.330000,59945.390000,59253.960000,59347.920000,297015,58586.884000,,,778.655122,376.546665,804.216913,,,,,,92.093036,93.439380,89.400348
2012-01-19,59813.450000,60523.590000,59798.840000,60503.070000,310219,59195.090000,,,955.962628,492.429858,927.065540,,,,,,95.226767,94.181833,97.316635
2012-01-20,60776.250000,61038.060000,60400.050000,60647.710000,248230,59704.958000,,,1095.522838,613.048454,964.948768,,,,,,94.518893,94.311226,94.934228
2012-01-30,60731.700000,61442.530000,60207.680000,60228.800000,270899,60110.144000,,,1158.962970,722.231357,873.463226,977.851429,,,,79.869468,88.409254,92.154565,80.918630
2012-01-31,60493.610000,60643.570000,60088.650000,60556.460000,253109,60256.792000,58063.034000,,1221.597341,822.104554,798.985575,950.660000,,,,80.721783,85.780530,89.897804,77.545983
2012-02-01,60037.960000,60111.500000,59395.340000,59443.630000,240486,60275.934000,58305.848667,,1167.975754,891.278794,553.393921,975.270714,,,,69.599870,73.639166,84.258210,52.401078
2012-02-02,59979.820000,60094.020000,59516.160000,59866.820000,259813,60148.684000,58557.976000,,1146.413020,942.305639,408.214762,972.132857,,,,72.323372,69.381555,79.166888,49.810889
2012-02-03,59467.480000,60030.170000,59391.660000,59817.880000,206038,59982.718000,58817.554667,,1112.550559,976.354623,272.391872,942.263571,,,,75.647665,62.072994,73.368368,39.482245
2012-02-06,60784.740000,60928.170000,60387.270000,60509.120000,252770,60038.782000,59152.349333,,1128.483154,1006.780329,243.405650,952.330000,,,,76.475932,60.480481,69.022159,43.397126
2012-02-07,60507.670000,60752.780000,59871.810000,60031.280000,253303,59933.746000,59429.022667,,1089.987460,1023.421755,133.131408,938.412857,58530.712000,62335.275123,54726.148877,69.110191,50.640393,62.847312,26.226555
2012-02-08,60294.530000,61532.730000,60247.090000,61475.380000,327937,60340.096000,59734.304667,,1162.604366,1051.258277,222.692177,993.620714,58814.410500,62608.231268,55020.589732,72.097505,66.281105,63.997822,70.847673
2012-02-09,61087.960000,61963.180000,60990.810000,61137.610000,410448,60594.254000,59979.342667,,1179.304285,1076.867479,204.873612,1002.131429,59067.045500,62767.335820,55366.755180,67.302976,66.821134,64.942160,70.579081
2012-02-10,61784.760000,61853.450000,61295.300000,61380.750000,340770,60906.828000,60198.168000,,1198.344686,1101.162920,194.363531,976.900000,59339.873000,62864.963785,55814.782215,67.811112,70.339040,66.745238,77.526643
2012-02-13,60819.090000,60964.000000,60321.980000,60613.770000,303507,60927.758000,60358.894667,,1138.422440,1108.614824,59.615231,927.470714,59596.201500,62656.658888,56535.744112,54.899482,62.722701,65.402348,57.363408
2012-02-14,60270.240000,60317.340000,59930.660000,59978.140000,258419,60917.130000,60369.222667,,1027.795809,1092.451021,-129.310425,926.876429,59801.049500,62313.990133,57288.108867,53.829718,49.403864,60.064102,28.083389
2012-02-15,60151.010000,60773.930000,60033.170000,60326.780000,269887,60687.410000,60434.480000,,957.221487,1065.405114,-216.367254,899.742143,59972.581000,62087.446969,57857.715031,48.812304,45.054461,55.057501,25.048383
2012-02-16,59978.710000,59978.710000,58765.770000,59182.520000,331561,60296.392000,60346.443333,,799.739708,1012.272033,-425.064649,965.670714,60058.605000,61860.271101,58256.938899,41.300514,34.376153,48.160607,6.807245
2012-02-17,59767.060000,60127.540000,59653.590000,59716.540000,263708,59963.550000,60284.365333,,709.842592,951.786145,-483.887106,944.968571,60139.513500,61699.679957,58579.347043,46.999499,32.828847,43.048483,12.389574
2012-02-20,59842.640000,60252.540000,59249.120000,59314.730000,309666,59703.742000,60223.427333,,599.267784,881.282473,-564.029377,977.004286,60195.106500,61527.293871,58862.919129,42.789351,27.607816,37.900562,7.022325
2012-02-21,59247.510000,60044.990000,59216.120000,59988.500000,381844,59705.814000,60185.563333,59124.298667,559.553872,816.936753,-514.765761,953.272143,60203.370500,61527.872866,58878.868134,53.334035,31.152773,35.650998,22.156322
2012-02-22,60626.850000,60731.270000,60260.090000,60418.050000,232731,59724.068000,60250.524667,59278.186667,556.328398,764.815082,-416.973368,959.870714,60256.877000,61520.954678,58992.799322,53.370328,38.606520,36.636260,42.547040
