time,open,high,low,close
2023/8/21,918,950,894.1,903.2
2023/8/22,895.4,957,885,895.1
2023/8/23,895,930.7,894.4,901.6
2023/8/24,905,920.7,866,874.8
2023/8/25,880,888,852,861.5
2023/8/28,872.1,890,826.2,847.9
2023/8/29,848.1,867.8,831.2,855.7
2023/8/30,861.1,875,855.7,864
2023/8/31,865,872,842.3,857.3
2023/9/1,866.5,895.8,857.3,883.7
2023/9/4,895,900,872.8,877.8
2023/9/5,878,971.1,877.2,969
2023/9/6,972,980.4,918,928.6
2023/9/7,930,961,910,920.1
2023/9/8,915,934.7,890.4,891
2023/9/11,892.9,918.6,888.8,905.3
2023/9/12,909,921.8,898,905.3
2023/9/13,910,918.8,868.6,876.4
2023/9/14,878,890.6,866,870.5
2023/9/15,878,889.8,871.5,884.5
2023/9/18,884.8,914.5,880,897.7
2023/9/19,900,908.1,886,894.9
2023/9/20,898,916,894,908.7
2023/9/21,906,911.3,878.2,882
2023/9/22,890,890,870,877.8
2023/9/25,876.3,884.4,831.6,834.1
2023/9/26,824,830,773.6,773.7
2023/9/27,774.4,781.3,730.3,753.4
2023/9/28,759.6,768,706.7,716.9
2023/10/9,711,744.1,689,737
2023/10/10,739.3,753,716.3,727.2
2023/10/11,734,755.1,728,744
2023/10/12,741,800.5,727.4,786.5
2023/10/13,781,799.9,770.2,781.8
2023/10/16,788,823,781.6,781.7
2023/10/17,777.5,778,723.6,723.6
2023/10/18,725,744,714,732.7
2023/10/19,727.4,759.7,720,756.9
2023/10/20,760,773.9,712,736.4
2023/10/23,738.8,769.4,730.1,757.8
2023/10/24,755,776.8,744.1,770.4
2023/10/25,772.8,781.7,738.9,746.1
2023/10/26,752,763,741.1,758.8
2023/10/27,755,769,744.5,762.1
2023/10/30,780,801,777,794
2023/10/31,778,789.6,766.2,780.9
2023/11/1,776,795,774.2,782.8
2023/11/2,780,784.9,748,756.4
2023/11/3,762.4,771.6,756.5,768.1
2023/11/6,770,775.4,755,763.4
2023/11/7,762.5,762.5,718,718.9
2023/11/8,712,735.4,706,727.9
2023/11/9,726,734.5,713.3,719.4
2023/11/10,724,748.6,723.6,737.9
2023/11/13,742,744.8,722.8,737.3
2023/11/14,762,798.8,756.1,759.8
2023/11/15,765,774.6,757.8,767
