time,open,high,low,close
2016-04-26,100.226,100.226,100.226,100.226
2016-04-27,100.23,100.23,100.23,100.23
2016-04-28,100.24,100.24,100.24,100.24
2016-04-29,100.432,100.432,100.431,100.431
2016-05-02,100.431,100.431,100.431,100.431
2016-05-03,100.575,100.575,100.574,100.574
2016-05-04,100.688,100.688,100.687,100.687
2016-05-05,100.616,100.616,100.615,100.615
2016-05-06,100.467,100.467,100.467,100.467
2016-05-09,100.649,100.649,100.648,100.648
2016-05-10,100.669,100.669,100.668,100.668
2016-05-11,100.64,100.64,100.64,100.64
2016-05-12,100.694,100.694,100.693,100.693
2016-05-13,100.672,100.672,100.672,100.672
2016-05-16,100.509,100.509,100.509,100.509
2016-05-17,100.445,100.445,100.445,100.445
2016-05-18,100.237,100.237,100.237,100.237
2016-05-19,100.173,100.173,100.173,100.173
2016-05-20,100.205,100.205,100.205,100.205
2016-05-23,100.241,100.241,100.24,100.24
2016-05-24,100.246,100.246,100.245,100.245
2016-05-25,100.121,100.121,100.121,100.121
2016-05-26,100.191,100.191,100.191,100.191
2016-05-27,100.246,100.246,100.245,100.245
2016-05-30,100.099,100.099,100.099,100.099
2016-05-31,100.103,100.103,100.103,100.103
2016-06-01,99.231,99.231,99.231,99.231
2016-06-02,98.988,98.988,98.988,98.988
2016-06-03,98.904,98.904,98.904,98.904
2016-06-06,99.064,99.064,99.064,99.064
2016-06-07,99.147,99.148,99.147,99.148
2016-06-08,99.062,99.062,99.062,99.062
2016-06-13,99.122,99.122,99.122,99.122
2016-06-14,99.359,99.359,99.359,99.359
2016-06-15,99.278,99.278,99.278,99.278
2016-06-16,99.574,99.574,99.574,99.574
2016-06-17,99.511,99.511,99.511,99.511
2016-06-20,99.548,99.548,99.548,99.548
2016-06-21,99.555,99.555,99.555,99.555
2016-06-22,99.63,99.63,99.63,99.63
2016-06-23,99.648,99.648,99.648,99.648
2016-06-24,100,100,100,100
2016-06-27,100.227,100.227,100.227,100.227
2016-06-28,100.012,100.012,100.012,100.012
2016-06-29,100.123,100.123,100.123,100.123
2016-06-30,100.291,100.291,100.29,100.29
2016-07-01,100.436,100.436,100.436,100.436
2016-07-04,100.365,100.365,100.365,100.365
2016-07-05,100.201,100.202,100.201,100.202
2016-07-06,100.455,100.455,100.455,100.455
2016-07-07,100.764,100.764,100.763,100.763
2016-07-08,100.768,100.768,100.768,100.768
2016-07-11,100.576,100.576,100.576,100.576
2016-07-12,100.432,100.432,100.432,100.432
2016-07-13,100.321,100.321,100.321,100.321
2016-07-14,100.387,100.387,100.387,100.387
2016-07-15,100.496,100.496,100.496,100.496
2016-07-18,100.525,100.525,100.525,100.525
2016-07-19,100.56,100.56,100.56,100.56
2016-07-20,100.746,100.746,100.746,100.746
2016-07-21,100.876,100.876,100.876,100.876
2016-07-22,100.906,100.906,100.906,100.906
2016-07-25,100.734,100.734,100.734,100.734
2016-07-26,100.833,100.833,100.833,100.833
2016-07-27,100.717,100.717,100.717,100.717
2016-08-12,101.567,101.813,101.567,101.813
2016-08-15,101.877,101.877,101.877,101.877
2016-08-16,101.736,101.736,101.736,101.736
2016-08-17,101.506,101.506,101.506,101.506
2016-08-18,101.601,101.601,101.601,101.601
2016-08-19,101.601,101.601,101.352,101.352
2016-08-22,101.434,101.434,101.434,101.434
2016-08-23,101.187,101.187,101.187,101.187
2016-08-24,100.986,100.986,100.986,100.986
2016-08-31,100.754,100.754,100.754,100.754
2016-09-01,100.796,100.796,100.796,100.796
2016-09-02,100.796,101.004,100.79,100.79
2016-09-05,100.922,100.922,100.922,100.922
2016-09-06,100.922,101.009,100.922,101.008
2016-09-07,101.003,101.003,100.858,100.858
2016-09-09,100.96,101.064,100.96,101.041
2016-09-12,100.842,100.842,100.842,100.842
2016-09-13,100.842,101.072,100.842,101.069
2016-09-14,101.013,101.141,101.013,101.034
2016-09-19,101.105,101.105,101.105,101.105
2016-09-20,101.105,101.239,101.105,101.182
2016-09-21,101.132,101.132,101.132,101.132
2016-09-22,101.132,101.132,101.132,101.132
2016-09-23,101.132,101.306,101.132,101.274
2016-09-26,101.408,101.408,101.408,101.408
2016-09-27,101.408,101.423,101.408,101.421
2016-09-28,101.215,101.365,101.215,101.355
2016-09-29,101.28,101.28,101.28,101.28
2016-09-30,101.28,101.393,101.28,101.387
2016-10-10,101.765,101.765,101.765,101.765
2016-10-11,101.765,101.765,101.58,101.58
2016-10-12,101.455,101.455,101.455,101.455
2016-10-13,101.587,101.587,101.587,101.587
2016-10-14,101.587,101.691,101.536,101.536
2016-10-17,101.643,101.643,101.643,101.643
2016-10-18,101.643,101.668,101.643,101.662
2016-10-19,101.62,101.97,101.62,101.968
2016-10-20,102.029,102.029,102.029,102.029
2016-10-21,102.029,102.178,102.029,102.088
2016-10-24,101.798,101.798,101.798,101.798
2016-10-25,101.351,101.351,101.351,101.351
2016-10-26,101.412,101.412,101.412,101.412
2016-10-27,101.412,101.663,101.412,101.592
2016-10-28,101.637,101.665,101.623,101.623
2016-10-31,101.209,101.209,101.209,101.209
2016-11-01,101.209,101.346,101.209,101.342
2016-11-02,99.998,100.04,99.998,99.998
2016-11-03,100.083,100.104,100.083,100.104
2016-11-04,100.061,100.061,100.061,100.061
2016-11-07,99.998,99.998,99.87,99.87
2016-11-08,99.743,99.828,99.743,99.786
2016-11-09,99.87,99.955,99.828,99.828
2016-11-10,99.659,99.659,99.405,99.405
2016-11-11,99.153,99.364,98.985,99.153
2016-11-14,99.153,99.153,98.818,98.818
2016-11-15,98.86,99.028,98.86,99.028
2016-11-16,99.028,99.049,99.028,99.028
2016-11-17,98.756,98.756,98.611,98.611
2016-11-18,98.341,98.653,98.341,98.569
2016-11-21,98.737,98.799,98.737,98.799
2016-11-22,98.946,98.967,98.758,98.758
2016-11-23,98.821,98.946,98.821,98.946
2016-11-24,98.821,98.989,98.821,98.989
2016-11-25,98.738,98.926,98.738,98.884
2016-11-28,98.906,99.031,98.739,98.739
2016-11-29,98.739,98.739,97.828,97.828
2016-11-30,98.076,98.324,98.076,98.2
2016-12-01,98.117,98.117,97.728,97.728
2016-12-02,97.789,97.871,97.667,97.667
2016-12-05,97.667,97.748,97.176,97.176
2016-12-06,97.012,97.012,96.85,96.85
2016-12-07,96.849,97.096,96.849,97.096
2016-12-08,97.136,97.34,97.016,97.016
2016-12-09,96.853,97.138,96.853,96.936
2016-12-12,96.732,96.732,96.369,96.369
2016-12-13,96.369,96.37,96.369,96.37
2016-12-14,96.208,96.451,95.647,95.647
2016-12-15,94.692,94.97,94.692,94.934
2016-12-16,93.831,95.651,93.831,93.911
2016-12-19,94.619,94.698,94.619,94.62
2016-12-20,94.226,94.936,94.226,94.541
2016-12-21,94.7,94.7,94.542,94.542
2016-12-22,96.216,96.219,96.216,96.219
2016-12-23,95.818,96.461,95.818,96.461
2016-12-26,95.42,96.623,95.42,95.9
2016-12-27,96.462,96.704,96.302,96.302
2016-12-28,96.222,96.948,96.222,96.706
2016-12-29,96.787,97.517,96.632,96.632
2016-12-30,96.385,97.766,96.385,97.766
2017-01-02,98.691,98.691,98.691,98.691
2017-01-03,97.229,97.229,97.159,97.159
2017-01-04,96.711,96.872,96.631,96.859
2017-01-05,96.149,96.603,96.149,96.603
2017-01-06,96.272,96.272,96.068,96.068
2017-01-09,95.834,96.554,95.834,96.554
2017-01-10,96.234,96.635,96.234,96.288
2017-01-11,96.155,96.544,96.155,96.544
2017-01-12,95.996,96.479,95.996,96.479
2017-01-13,96.279,96.279,96.232,96.232
2017-01-16,96.28,96.28,96.16,96.271
2017-01-17,96.271,96.271,95.762,96.101
2017-01-18,95.605,95.843,95.605,95.706
2017-01-19,95.448,95.725,95.448,95.648
2017-01-20,95.609,95.887,95.569,95.569
2017-01-23,95.796,95.831,95.796,95.831
2017-01-24,95.759,95.759,95.522,95.74
2017-01-25,95.01,95.359,95.01,95.359
2017-01-26,95.051,95.051,94.905,94.905
2017-02-03,94.449,94.731,94.449,94.731
2017-02-06,94.408,94.492,94.217,94.492
2017-02-07,94.092,94.101,94.092,94.101
2017-02-08,94.259,94.259,93.952,93.952
2017-02-09,93.952,94.493,93.952,94.21
2017-02-10,94.497,94.497,94.441,94.441
2017-02-13,94.441,94.46,94.3,94.3
2017-02-14,94.461,94.578,94.327,94.327
2017-02-15,94.327,94.432,94.327,94.432
2017-02-16,94.432,94.697,94.296,94.296
2017-02-17,94.296,94.861,94.296,94.556
2017-02-20,94.947,95.386,94.781,94.781
2017-02-21,95.088,95.31,95.059,95.059
2017-02-22,94.55,95.138,94.55,95.138
2017-02-23,95.138,95.315,95.132,95.132
2017-02-24,95.47,95.47,95.11,95.11
2017-02-27,95.412,95.412,95.139,95.139
2017-02-28,95.14,95.179,95.14,95.141
2017-03-01,95.024,95.102,94.559,94.559
2017-03-02,94.714,94.87,94.714,94.718
2017-03-03,94.796,94.796,94.68,94.68
2017-03-06,94.487,94.719,94.487,94.643
2017-03-07,94.642,94.721,94.642,94.721
2017-03-14,100.291,100.291,100.291,100.291
2017-03-15,100.291,100.668,100.291,100.668
2017-03-16,100.837,100.837,100.625,100.625
2017-03-17,100.668,100.71,100.668,100.71
2017-03-20,100.709,100.709,100.667,100.667
2017-03-21,100.541,100.709,100.541,100.667
2017-03-22,100.667,100.835,100.667,100.834
2017-03-23,100.918,101.264,100.918,101.264
2017-03-24,100.918,101.264,100.918,101.264
2017-03-27,101.255,101.382,101.255,101.382
2017-03-28,101.339,101.339,101.086,101.086
2017-03-29,100.96,101.044,100.96,101.044
2017-03-30,100.917,100.959,100.832,100.832
2017-03-31,100.916,101,100.916,100.937
2017-04-04,100.936,100.936,100.936,100.936
2017-04-05,101,101,100.497,100.497
2017-04-06,100.664,100.748,100.664,100.726
2017-04-07,100.705,100.915,100.705,100.915
2017-04-10,100.831,100.831,100.663,100.663
2017-04-11,100.538,100.726,100.538,100.663
2017-04-12,100.83,100.83,100.6,100.6
2017-04-13,100.663,100.725,100.641,100.641
2017-04-14,100.495,100.62,100.246,100.246
2017-04-17,100.121,100.246,99.831,99.831
2017-04-18,99.666,99.997,99.666,99.914
2017-04-19,99.831,99.914,99.831,99.852
2017-04-20,99.749,99.831,99.584,99.584
2017-04-21,99.666,99.749,99.502,99.502
2017-04-24,99.337,99.378,99.132,99.132
2017-04-25,99.092,99.584,99.092,99.584
2017-04-26,99.522,99.584,99.522,99.584
2017-04-27,99.584,99.708,99.584,99.708
2017-04-28,99.502,99.585,99.379,99.379
2017-05-02,99.421,99.523,99.175,99.175
2017-05-03,99.012,99.236,98.93,98.93
2017-05-04,98.768,99.012,98.606,98.606
2017-05-05,98.606,98.687,98.606,98.687
2017-05-08,98.606,98.606,98.202,98.202
2017-05-09,98.122,98.364,97.96,97.96
2017-05-10,98.243,98.324,97.561,97.561
2017-05-11,97.56,98.042,97.56,97.803
2017-05-12,97.722,97.883,97.722,97.723
2017-05-15,98.124,98.164,98.044,98.044
2017-05-16,98.125,98.245,98.125,98.185
2017-05-17,98.165,98.165,98.085,98.085
2017-05-18,98.126,98.408,98.126,98.368
2017-05-19,98.047,98.207,98.047,98.127
2017-05-22,97.967,97.967,97.727,97.727
2017-05-23,97.647,97.807,97.647,97.648
2017-05-24,97.648,97.749,97.648,97.749
2017-05-25,97.888,97.89,97.888,97.89
2017-05-26,97.851,97.892,97.851,97.892
2017-05-31,98.051,98.172,98.051,98.051
2017-06-01,97.932,98.212,97.932,98.053
2017-06-02,98.093,98.093,98.093,98.093
2017-06-05,98.134,98.294,98.054,98.054
2017-06-06,98.014,98.134,97.895,97.895
2017-06-07,97.656,98.016,97.656,98.016
2017-06-08,97.975,98.056,97.975,98.056
2017-06-09,97.977,98.497,97.977,98.377
2017-06-12,98.097,98.86,98.097,98.699
2017-06-13,98.78,98.981,98.78,98.78
2017-06-14,98.7,99.143,98.7,99.143
2017-06-15,99.022,99.103,98.943,98.943
2017-06-16,98.701,98.862,98.701,98.862
2017-06-19,99.104,99.387,99.104,99.347
2017-06-20,99.347,99.347,99.347,99.347
2017-06-21,99.185,99.266,99.185,99.185
2017-06-22,98.944,98.944,98.784,98.784
2017-06-23,98.784,99.106,98.784,98.904
2017-06-26,98.784,99.267,98.784,99.267
2017-06-27,100.038,100.162,100.038,100.078
2017-06-28,99.914,99.914,99.817,99.872
2017-06-29,99.749,99.791,99.728,99.728
2017-06-30,99.728,99.728,99.623,99.623
2017-07-03,99.503,99.606,99.297,99.297
2017-07-04,99.298,99.446,99.256,99.256
2017-07-05,99.176,99.503,99.176,99.319
2017-07-06,99.421,99.626,99.188,99.523
2017-07-07,99.503,99.585,99.489,99.489
2017-07-10,99.422,99.472,99.38,99.38
2017-07-11,99.411,99.504,99.411,99.503
2017-07-12,99.463,99.75,99.463,99.543
2017-07-13,99.647,99.759,99.646,99.646
2017-07-14,99.545,99.668,99.542,99.542
2017-07-17,99.484,99.75,99.484,99.544
2017-07-18,99.504,99.545,99.422,99.422
2017-07-19,99.382,99.504,99.382,99.503
2017-07-20,99.423,99.624,99.423,99.622
2017-07-21,99.566,99.566,99.46,99.46
2017-07-24,99.464,99.574,99.464,99.504
2017-07-25,99.546,99.594,99.455,99.455
2017-07-26,99.505,99.514,99.505,99.513
2017-07-27,99.021,99.342,99.021,99.342
2017-07-28,99.343,99.346,99.3,99.3
2017-07-31,99.18,99.261,99.139,99.139
2017-08-01,99.059,99.14,99.059,99.059
2017-08-02,99.059,99.12,99.059,99.099
