time,open,high,low,close
2005/1/5,1141,1152,1141,1151
2005/1/6,1151,1157,1151,1154
2005/1/7,1162,1164,1156,1158
2005/1/10,1158,1159,1152,1155
2005/1/11,1156,1158,1154,1155
2005/1/12,1153,1158,1153,1157
2005/1/13,1150,1156,1149,1155
2005/1/14,1155,1157,1154,1156
2005/1/17,1151,1156,1151,1156
2005/1/18,1158,1158,1154,1156
2005/1/19,1155,1160,1154,1158
2005/1/20,1158,1159,1155,1156
2005/1/21,1157,1158,1155,1156
2005/1/24,1155,1157,1154,1157
2005/1/25,1155,1159,1155,1158
2005/1/26,1159,1160,1157,1157
2005/1/27,1157,1158,1154,1155
2005/1/28,1153,1155,1150,1153
2005/1/31,1153,1153,1147,1148
2005/2/1,1151,1151,1146,1146
2005/2/2,1146,1149,1144,1145
2005/2/3,1144,1150,1144,1149
2005/2/4,1149,1151,1148,1150
2005/2/16,1158,1160,1153,1154
2005/2/17,1152,1154,1148,1153
2005/2/18,1156,1157,1150,1151
2005/2/21,1154,1154,1148,1153
2005/2/22,1152,1162,1152,1161
2005/2/23,1167,1169,1156,1157
2005/2/24,1158,1161,1156,1159
2005/2/25,1157,1159,1156,1156
2005/2/28,1167,1198,1165,1185
2005/3/1,1185,1186,1165,1172
2005/3/2,1167,1188,1166,1178
2005/3/3,1175,1181,1171,1174
2005/3/4,1176,1182,1170,1182
2005/3/7,1185,1192,1181,1186
2005/3/8,1174,1186,1173,1185
2005/3/9,1190,1199,1186,1194
2005/3/10,1196,1221,1196,1214
2005/3/11,1221,1230,1202,1209
2005/3/14,1226,1229,1204,1212
2005/3/15,1205,1243,1205,1234
2005/3/16,1245,1272,1240,1271
2005/3/17,1261,1276,1251,1255
2005/3/18,1263,1269,1215,1249
2005/3/21,1263,1321,1260,1308
2005/3/22,1286,1313,1280,1308
2005/3/23,1306,1319,1295,1299
2005/3/24,1305,1317,1291,1314
2005/3/25,1321,1328,1308,1313
2005/3/28,1328,1331,1305,1313
2005/3/29,1316,1322,1308,1309
2005/3/30,1311,1315,1294,1297
2005/3/31,1309,1310,1300,1304
2005/4/1,1304,1305,1285,1304
2005/4/4,1300,1312,1296,1309
2005/4/5,1307,1311,1301,1304
2005/4/6,1301,1306,1296,1306
2005/4/7,1311,1311,1299,1301
2005/4/8,1300,1302,1296,1301
2005/4/11,1305,1308,1298,1302
2005/4/12,1310,1312,1302,1306
2005/4/13,1304,1306,1299,1302
2005/4/14,1304,1304,1292,1300
2005/4/15,1299,1301,1295,1295
2005/4/18,1295,1298,1291,1294
2005/4/19,1293,1301,1292,1301
2005/4/20,1309,1312,1302,1304
2005/4/21,1305,1305,1289,1292
2005/4/22,1296,1296,1287,1293
2005/4/25,1297,1298,1291,1293
2005/4/26,1292,1294,1290,1291
2005/4/27,1292,1293,1286,1289
2005/4/28,1285,1288,1281,1284
2005/4/29,1281,1288,1280,1284
2005/5/9,1282,1285,1272,1279
2005/5/10,1301,1303,1296,1302
2005/5/11,1300,1302,1297,1298
2005/5/12,1296,1296,1281,1282
2005/5/13,1275,1278,1265,1271
2005/5/16,1269,1278,1268,1277
2005/5/17,1280,1282,1271,1281
2005/5/18,1280,1288,1272,1287
2005/5/19,1290,1292,1285,1291
2005/5/20,1289,1291,1285,1289
2005/5/23,1295,1298,1291,1296
2005/5/24,1305,1306,1294,1296
2005/5/25,1298,1299,1270,1280
2005/5/26,1288,1290,1280,1286
2005/5/27,1291,1295,1288,1292
2005/5/30,1283,1289,1278,1285
2005/5/31,1290,1294,1282,1283
2005/6/1,1280,1283,1278,1280
2005/6/2,1280,1286,1280,1280
2005/6/3,1275,1280,1273,1280
2005/6/6,1290,1301,1286,1298
2005/6/7,1292,1297,1291,1295
2005/6/8,1290,1294,1290,1293
2005/6/9,1288,1298,1286,1295
2005/6/10,1295,1305,1295,1299
2005/6/13,1301,1302,1295,1296
2005/6/14,1300,1300,1293,1294
