time,open,high,low,close
2010-01-04,24595,24750,24330,24585
2010-01-05,24545,24880,24465,24730
2010-01-06,24680,25145,24635,24925
2010-01-07,25465,25740,24400,25100
2010-01-08,25030,25380,24500,25015
2010-01-11,25760,26170,25480,25710
2010-01-12,25980,26100,25660,25890
2010-01-13,25100,25780,24910,25445
2010-01-14,25890,25960,25555,25775
2010-01-15,25500,25590,24820,25290
2010-01-18,24790,24920,24575,24775
2010-01-19,25005,25405,24800,25045
2010-01-20,25540,25605,25235,25445
2010-01-21,25170,25750,24955,25350
2010-01-22,24915,25155,24105,24660
2010-01-25,24350,24745,24305,24590
2010-01-26,24895,24895,24015,24465
2010-01-27,24095,24250,23655,23955
2010-01-28,23355,23505,22760,23145
2010-01-29,23165,23460,22845,23195
2010-02-01,23115,23245,22250,22675
2010-02-02,23450,23520,22875,23150
2010-02-03,23245,23620,23040,23345
2010-02-04,23060,23390,22850,23115
2010-02-05,22110,22375,22000,22190
2010-02-08,22300,22385,21965,22175
2010-02-09,22000,22455,21650,22175
2010-02-10,22660,23280,22555,22780
2010-02-11,23495,23955,23270,23665
2010-02-12,24070,24370,23825,24045
2010-02-22,25075,25380,24660,24995
2010-02-23,24680,25135,24565,24855
2010-02-24,24870,25285,24770,25055
2010-02-25,25155,25450,24635,24970
2010-02-26,24795,25020,24685,24850
2010-03-01,25300,25580,24630,24865
2010-03-02,24600,24600,23760,24225
2010-03-03,23995,24070,23760,23925
2010-03-04,24100,24220,23620,23910
2010-03-05,23775,24050,23630,23830
2010-03-08,24080,24530,23925,24225
2010-03-09,24325,24495,24170,24310
2010-03-10,24000,24380,24000,24260
2010-03-11,24265,24385,23790,24035
2010-03-12,24025,24120,23550,23790
2010-03-15,23700,23700,23035,23215
2010-03-16,22900,23350,22800,23155
2010-03-17,23400,23720,23280,23520
2010-03-18,23520,24070,23505,23750
2010-03-19,23630,24150,23600,23910
2010-03-22,23850,24040,23790,23935
2010-03-23,24010,24035,23545,23750
2010-03-24,23705,23995,23545,23775
2010-03-25,23975,24750,23825,24350
2010-03-26,24885,24945,24590,24790
2010-03-29,25000,25200,24880,25040
2010-03-30,25010,25150,24860,25020
2010-03-31,25020,25090,24460,24770
2010-04-01,24600,24850,24540,24705
2010-04-02,24800,25095,24780,24935
2010-04-06,25080,26010,24865,25505
2010-04-07,25480,25615,25335,25505
2010-04-08,25400,25470,25045,25240
2010-04-09,25200,25340,25105,25220
2010-04-12,25550,25835,25400,25595
2010-04-13,25400,25575,25205,25370
2010-04-14,25500,25715,25465,25575
2010-04-15,25900,25900,25615,25750
2010-04-16,25700,25750,25180,25350
2010-04-19,24730,24790,24200,24535
2010-04-20,24620,24765,24505,24605
2010-04-21,24745,24850,24555,24700
2010-04-22,24300,24400,24085,24260
2010-04-23,24340,24485,24260,24375
2010-04-26,24615,24680,24385,24535
2010-04-27,24335,24340,23735,23945
2010-04-28,23005,23600,23005,23385
2010-04-29,23650,23660,23350,23475
2010-04-30,23500,23655,22825,23295
2010-05-04,23420,23480,23165,23295
2010-05-05,22700,22985,22610,22860
2010-05-06,22905,23055,22585,22810
2010-05-07,22300,22450,22000,22235
2010-05-10,22490,22590,22235,22425
2010-05-11,22560,22670,21910,22365
2010-05-12,21910,22455,21890,22205
2010-05-13,22390,22485,22180,22345
2010-05-14,22240,22280,21725,21985
2010-05-17,21450,21590,20890,21245
2010-05-18,21245,21865,21065,21475
2010-05-19,21420,22150,21290,21730
2010-05-20,22145,22375,21570,21980
2010-05-21,21450,21760,21300,21505
2010-05-24,21810,22230,21760,22020
2010-05-25,21945,22225,21875,22005
2010-05-26,22305,22560,22280,22410
2010-05-27,22360,22895,22320,22585
2010-05-28,23085,23085,22780,22905
2010-05-31,22840,23060,22600,22885
2010-06-01,22900,22935,22535,22720
2010-06-02,22560,22610,21620,22115
2010-06-03,22100,22240,21760,21940
2010-06-04,21560,21920,21390,21645
2010-06-07,20800,20880,20560,20625
2010-06-08,20620,21000,20490,20710
2010-06-09,20780,21395,20735,20980
2010-06-10,21300,21720,21245,21435
2010-06-11,21670,22100,21665,21825
2010-06-17,22620,22630,22005,22240
2010-06-18,22100,22390,21915,22145
2010-06-21,22400,22970,22110,22440
2010-06-22,22280,22280,21950,22105
2010-06-23,21900,22275,21800,22065
2010-06-24,22170,22490,22160,22345
2010-06-25,22450,22500,22245,22380
2010-06-28,22525,22725,22505,22605
2010-06-29,22255,22445,22135,22285
2010-06-30,22020,22320,22010,22135
2010-07-01,22250,22355,22030,22195
2010-07-02,22055,22255,21900,22110
2010-07-05,22065,22240,22040,22140
2010-07-06,21905,22230,21905,22115
2010-07-07,22040,22280,22040,22215
2010-07-08,22585,22610,22500,22560
2010-07-09,22560,22690,22505,22605
2010-07-12,22625,22675,22085,22445
2010-07-13,22005,22190,21700,21930
2010-07-14,21990,21990,21765,21910
2010-07-15,21870,22150,21835,21995
2010-07-16,22280,22280,22070,22170
2010-07-19,22160,22195,22005,22115
2010-07-20,22170,22530,22075,22385
2010-07-21,22510,22600,22480,22535
2010-07-22,22405,22550,22305,22415
2010-07-23,22720,23060,22720,22840
2010-07-26,22920,23010,22775,22870
2010-07-27,22830,22860,22600,22765
2010-07-28,22730,23330,22730,23135
2010-07-29,23385,23700,23350,23545
2010-07-30,23570,23750,23570,23685
2010-08-02,23845,24725,23840,24340
2010-08-03,24500,24650,24370,24470
2010-08-04,24350,24640,24335,24520
2010-08-05,25095,25150,24270,24665
2010-08-06,24500,24800,24400,24610
2010-08-09,24700,24945,24610,24805
2010-08-10,24810,25200,24755,24930
2010-08-11,24815,25085,24590,24855
2010-08-12,24530,24640,24165,24450
2010-08-13,24680,24910,24480,24680
2010-08-16,24650,24975,24425,24725
2010-08-17,24765,25335,24760,25065
2010-08-18,25500,25590,25285,25450
2010-08-19,25615,25835,25430,25645
2010-08-20,25730,25755,25175,25440
2010-08-23,25395,25445,24965,25195
2010-08-24,25025,25040,24385,24735
2010-08-25,24445,24875,24375,24690
2010-08-26,25180,25625,25145,25325
2010-08-27,25530,25715,25380,25530
2010-08-30,25850,25995,25665,25855
2010-08-31,25610,25690,25250,25515
2010-09-01,25460,25960,25435,25745
2010-09-02,25820,26245,25815,26125
2010-09-03,26300,26355,26060,26190
2010-09-06,26300,26645,26255,26455
2010-09-07,26500,26525,26215,26350
2010-09-08,26390,26605,26255,26440
2010-09-09,26590,26725,25230,25725
2010-09-10,25385,25575,25130,25380
2010-09-13,25525,25650,25255,25440
2010-09-14,25550,25560,25350,25465
2010-09-15,25500,25500,25225,25330
2010-09-16,25295,25305,25010,25125
2010-09-17,25125,25650,25125,25460
2010-09-20,25705,26500,25700,26120
2010-09-21,26390,26580,26010,26265
2010-09-27,26740,26935,26150,26415
2010-09-28,26175,26500,25930,26320
2010-09-29,26495,26705,26200,26445
2010-09-30,26685,26685,26225,26480
2010-10-08,26770,27805,26610,27430
2010-10-11,28035,28800,28035,28605
2010-10-12,28750,29490,28750,29270
2010-10-13,29570,30530,29570,30120
2010-10-14,30970,31625,30525,31005
2010-10-15,31400,31880,30880,31430
2010-10-18,31330,31590,30800,31220
2010-10-19,31840,32780,31060,31700
2010-10-20,30605,31840,30565,31260
2010-10-21,32100,32100,30595,31105
2010-10-22,30820,31195,30625,30895
2010-10-25,30805,32395,30660,31635
2010-10-26,32365,32540,31725,32060
2010-10-27,32050,32050,30455,31290
2010-10-28,30505,31790,30505,31170
2010-10-29,31480,31545,30300,30685
2010-11-01,30700,31350,30700,31080
2010-11-02,31100,31860,30700,31005
2010-11-03,31410,32380,31350,32010
2010-11-04,31810,33155,31810,32545
2010-11-05,33995,34170,33995,34165
2010-11-08,34500,35950,33770,34980
2010-11-09,34350,36725,34150,35830
2010-11-10,36700,37030,35800,36575
2010-11-11,36710,37525,35700,36570
2010-11-12,35010,35010,34740,34760
2010-11-15,32325,33700,32325,32990
2010-11-16,34095,34095,32400,33225
2010-11-17,31560,32330,31560,31610
2010-11-18,31705,32910,31200,31675
2010-11-19,33200,33255,31950,32690
2010-11-22,33000,33595,32600,33070
2010-11-23,32700,32700,31500,31795
2010-11-24,32045,32190,31020,31435
2010-11-25,31800,31810,30865,31300
2010-11-26,30850,31150,29805,30375
2010-11-29,30290,30790,29705,30135
2010-11-30,30790,30790,29500,30065
2010-12-01,30540,31250,30285,30945
2010-12-02,31600,31880,31550,31720
2010-12-03,31185,32300,31185,32045
2010-12-06,32505,32910,32380,32630
2010-12-07,32715,33245,32255,32685
2010-12-08,32685,33100,32160,32760
2010-12-09,32835,33480,32720,33070
2010-12-10,32960,33925,32720,33325
2010-12-13,33855,35320,33780,34780
2010-12-14,35500,35990,35080,35550
2010-12-15,35300,35760,34655,35170
2010-12-16,34800,35400,34455,34880
2010-12-17,35160,36245,35120,35810
2010-12-20,36880,37855,36200,37050
2010-12-21,37555,37760,36750,37275
2010-12-22,37770,37775,36450,37095
2010-12-23,36755,37350,36655,37035
2010-12-24,37600,37700,36515,37045
2010-12-27,37000,37800,36800,37215
2010-12-28,37000,37215,36020,36610
2010-12-29,36195,36400,35765,36080
2010-12-30,35930,36640,35475,36130
2010-12-31,36000,37225,36000,36760
2011-01-04,37470,37880,37005,37455
2011-01-05,37170,38370,37110,37785
2011-01-06,38800,38850,38260,38525
2011-01-07,38000,38755,36350,37810
2011-01-10,37150,37535,36820,37240
2011-01-11,37500,37795,37250,37535
2011-01-12,38190,38560,38030,38295
2011-01-13,38450,38680,37850,38200
2011-01-14,38000,38570,37545,38040
2011-01-17,38700,38885,37910,38430
2011-01-18,38315,38430,37655,38055
2011-01-19,38350,39980,38155,39005
2011-01-20,39630,40220,39570,39900
2011-01-21,40000,40985,39775,40460
2011-01-24,40870,41200,40370,40810
2011-01-25,40380,40690,39300,39860
2011-01-26,39085,39425,38410,38930
2011-01-27,39585,40830,39505,40250
2011-01-28,40000,40960,39820,40460
2011-01-31,41000,41850,40710,41255
2011-02-01,41320,41790,41050,41390
2011-02-09,43480,43500,42070,42475
2011-02-10,42420,43290,42355,42905
2011-02-11,42975,43230,42235,42830
2011-02-14,43200,43350,42305,42800
2011-02-15,42795,43000,41865,42520
2011-02-16,41540,42110,41045,41585
2011-02-17,42300,42650,41250,42035
2011-02-18,41505,41750,40165,41125
2011-02-21,40690,40760,40085,40495
2011-02-22,40020,41150,39360,40175
2011-02-23,39150,39795,38910,39410
2011-02-24,40000,40160,38050,39040
2011-02-25,38500,38670,37960,38345
2011-02-28,38300,39370,38050,38825
2011-03-01,39490,39825,39185,39505
2011-03-02,39240,39300,38410,38875
2011-03-03,38600,40010,38430,39315
2011-03-04,38620,38800,37705,38200
2011-03-07,38100,38770,37905,38340
2011-03-08,37950,37985,36035,37050
2011-03-09,36250,36765,35800,36360
2011-03-10,35880,36495,35605,36130
2011-03-11,35560,36120,35060,35620
2011-03-14,33480,34520,33480,33975
2011-03-15,33200,33950,32750,33270
2011-03-16,33450,34445,33020,33500
2011-03-17,33900,34695,33800,34270
2011-03-18,35580,35800,34955,35315
2011-03-21,35315,35740,35190,35485
2011-03-22,35580,36100,35470,35760
2011-03-23,36000,36855,35925,36395
2011-03-24,36650,37000,36585,36745
2011-03-25,36620,36770,36250,36515
2011-03-28,36400,36410,35250,35790
2011-03-29,34815,35880,34815,35380
2011-03-30,35850,36300,35710,35995
2011-03-31,35995,36130,35735,35905
2011-04-01,35905,36420,35750,36105
2011-04-06,35050,36050,35050,35725
2011-04-07,36045,36245,35750,35945
2011-04-08,35615,36725,35550,36235
2011-04-11,37000,37985,36905,37185
2011-04-12,36685,36895,36415,36655
2011-04-13,36345,36595,35700,36090
2011-04-14,36155,36460,35650,36055
2011-04-15,35775,36130,35260,35615
2011-04-18,35000,35210,34615,34920
2011-04-19,34890,35135,33580,34210
2011-04-20,34235,34910,34180,34550
2011-04-21,34890,35270,34305,34705
2011-04-22,35000,35195,34340,34700
2011-04-25,35000,35075,33250,33820
2011-04-26,32810,33100,32620,32875
2011-04-27,33290,33360,32100,32615
2011-04-28,32400,33130,32200,32625
2011-04-29,32605,32700,31550,31980
2011-05-03,32000,32150,31580,31800
2011-05-04,31610,31760,30935,31300
2011-05-05,30995,30995,30375,30615
2011-05-06,29745,30400,29400,30005
2011-05-09,30500,31055,30225,30630
2011-05-10,30890,31500,30495,31035
2011-05-11,31780,31860,31120,31425
2011-05-12,30620,30820,29560,30280
2011-05-13,30060,31550,29920,30740
2011-05-16,31250,31670,30800,31245
2011-05-17,31300,31700,30570,31265
2011-05-18,31600,31900,31160,31530
2011-05-19,31800,32330,31460,31880
2011-05-20,31595,31680,31180,31405
2011-05-23,31745,31780,30655,31150
2011-05-24,31010,31850,30950,31410
2011-05-25,31860,32300,31560,31965
2011-05-26,32600,32720,32440,32570
2011-05-27,32490,32775,32200,32440
2011-05-30,32690,33100,32470,32750
2011-05-31,32695,32985,32500,32765
2011-06-01,33000,33195,32420,32755
2011-06-02,32240,32580,31960,32225
2011-06-03,32625,33365,32590,32985
2011-06-07,33000,33460,32835,33180
2011-06-08,33195,33280,32450,32930
2011-06-09,33260,33450,32970,33230
2011-06-10,33170,33330,32800,33095
2011-06-13,32605,32900,32520,32710
2011-06-14,32710,32990,32455,32700
2011-06-15,33090,33540,33040,33300
2011-06-16,33120,33430,33005,33215
2011-06-17,33210,33495,33020,33290
2011-06-20,33400,33600,33155,33335
2011-06-21,33480,33570,32755,33195
2011-06-22,33210,33245,32250,32700
2011-06-23,32210,32245,31740,32005
2011-06-24,32020,32420,31850,32130
2011-06-27,31700,31720,30640,31125
2011-06-28,31100,31180,30530,30840
2011-06-29,31080,31335,30760,31055
2011-06-30,31325,31950,31320,31670
2011-07-01,31690,32050,31560,31760
2011-07-04,32200,33520,32200,32815
2011-07-05,33000,33230,32825,33025
2011-07-06,33410,33760,33240,33455
2011-07-07,33225,33500,33170,33340
2011-07-08,33760,34255,33400,33880
2011-07-11,33000,33455,32925,33190
2011-07-12,33145,33280,32720,32990
2011-07-13,33485,34025,33485,33750
2011-07-14,33990,34350,33610,33965
2011-07-15,34115,34470,34085,34250
2011-07-18,35365,35365,34120,34605
2011-07-19,34305,34800,34110,34430
2011-07-20,35290,35290,34635,35010
2011-07-21,35010,35120,34750,34940
2011-07-22,34845,35475,34540,34760
2011-07-25,34950,35120,34640,34860
2011-07-26,34520,35075,34515,34830
2011-07-27,35280,35335,34945,35105
2011-07-28,34835,35095,34420,34665
2011-07-29,34515,34750,34330,34540
2011-08-01,34760,35000,34680,34830
2011-08-02,34690,34690,34400,34520
2011-08-03,34520,34800,34435,34600
2011-08-04,34330,34585,34325,34460
2011-08-05,34800,34940,33605,34025
2011-08-08,33030,33890,33030,33550
2011-08-09,31535,32870,31535,32245
2011-08-10,33250,33460,32780,33065
2011-08-11,32700,34190,32655,33610
2011-08-12,34300,34435,34010,34215
2011-08-15,34590,34675,34225,34445
2011-08-16,34495,34530,33760,34130
2011-08-17,33785,34300,33760,34055
2011-08-18,34165,34280,33620,33885
2011-08-19,33330,33550,32965,33275
2011-08-22,33600,33855,32835,33445
2011-08-23,33085,33290,32770,33040
2011-08-24,33420,33450,32970,33140
2011-08-25,33105,33530,33025,33245
2011-08-26,33280,33285,32715,32930
2011-08-29,33245,33250,32880,33060
2011-08-30,33475,34165,33360,33880
2011-08-31,34100,34270,33975,34125
2011-09-01,34170,34380,33940,34135
2011-09-02,33820,34060,33680,33825
2011-09-05,33645,33860,32770,33260
2011-09-06,32805,33010,32345,32655
2011-09-07,33200,33850,33030,33355
2011-09-08,34150,34155,33730,33885
2011-09-09,33820,34180,33700,33935
2011-09-13,33995,34000,33350,33605
2011-09-14,33810,33960,32770,33300
2011-09-15,33200,33290,32660,33060
2011-09-16,33290,33800,33260,33490
2011-09-19,33210,33220,31825,32500
2011-09-20,32000,32120,31545,31820
2011-09-21,31710,32260,31040,31755
2011-09-22,31000,31000,29845,30560
2011-09-23,29200,29695,28725,29220
2011-09-26,28725,29150,27465,28465
2011-09-27,28700,28785,27900,28415
2011-09-28,28395,28485,26740,27675
2011-09-29,26010,26900,26010,26495
2011-09-30,26800,27880,26765,27185
2011-10-10,28185,28350,27680,27950
2011-10-11,28380,28870,28050,28455
2011-10-12,28000,29035,27655,28475
2011-10-13,28705,28910,28350,28600
2011-10-14,28250,28930,28190,28660
