time,open,high,low,close
2006/1/3,4.37,4.37,4.37,4.37
2006/1/4,4.348,4.348,4.348,4.348
2006/1/5,4.358,4.358,4.358,4.358
2006/1/6,4.383,4.383,4.383,4.383
2006/1/9,4.373,4.373,4.373,4.373
2006/1/10,4.43,4.43,4.43,4.43
2006/1/11,4.458,4.458,4.458,4.458
2006/1/12,4.408,4.408,4.408,4.408
2006/1/13,4.357,4.357,4.357,4.357
2006/1/16,4.367,4.367,4.367,4.367
2006/1/17,4.33,4.33,4.33,4.33
2006/1/18,4.338,4.338,4.338,4.338
2006/1/19,4.377,4.377,4.377,4.377
2006/1/20,4.355,4.355,4.355,4.355
2006/1/23,4.361,4.361,4.361,4.361
2006/1/24,4.394,4.394,4.394,4.394
2006/1/25,4.481,4.481,4.481,4.481
2006/1/26,4.525,4.525,4.525,4.525
2006/1/27,4.515,4.515,4.515,4.515
2006/1/30,4.531,4.531,4.531,4.531
2006/1/31,4.519,4.519,4.519,4.519
2006/2/1,4.561,4.561,4.561,4.561
2006/2/2,4.563,4.563,4.563,4.563
2006/2/3,4.529,4.529,4.529,4.529
2006/2/6,4.547,4.547,4.547,4.547
2006/2/7,4.571,4.571,4.571,4.571
2006/2/8,4.591,4.591,4.591,4.591
2006/2/9,4.549,4.549,4.549,4.549
2006/2/10,4.59,4.59,4.59,4.59
2006/2/13,4.585,4.585,4.585,4.585
2006/2/14,4.612,4.612,4.612,4.612
2006/2/15,4.6,4.6,4.6,4.6
2006/2/16,4.588,4.588,4.588,4.588
2006/2/17,4.539,4.539,4.539,4.539
2006/2/20,4.545,4.545,4.545,4.545
2006/2/21,4.571,4.571,4.571,4.571
2006/2/22,4.527,4.527,4.527,4.527
2006/2/23,4.563,4.563,4.563,4.563
2006/2/24,4.577,4.577,4.577,4.577
2006/2/27,4.594,4.594,4.594,4.594
2006/2/28,4.557,4.557,4.557,4.557
2006/3/1,4.589,4.589,4.589,4.589
2006/3/2,4.632,4.632,4.632,4.632
2006/3/3,4.684,4.684,4.684,4.684
2006/3/6,4.754,4.754,4.754,4.754
