time,open,high,low,close
2022-08-05,579,579,579,579
2022-08-08,566.5,634.5,566.5,621
2022-08-09,638.5,645.5,630,630
2022-08-10,689.5,692.5,689.5,692.5
2022-08-11,711.5,711.5,695,695
2022-08-12,710,710,685,694.5
2022-08-15,695,695,693,695
2022-08-16,685,690,660,690
2022-08-17,690,690,690,690
2022-08-18,669.5,669.5,669.5,669.5
2022-08-19,650,650,627,627
2022-08-22,625,625,610,610
2022-08-23,620,620,620,620
2022-08-24,608,608,608,608
2022-08-25,608,608,608,608
2022-08-26,608,608,608,608
2022-08-29,630,630,630,630
2022-08-30,630,630,630,630
2022-08-31,630,630,630,630
2022-09-01,623,623,605,605
2022-09-02,585.5,585.5,585.5,585.5
2022-09-06,604,604,604,604
2022-09-07,604,604.5,604,604.5
2022-09-08,610,610,610,610
2022-09-09,610,610,610,610
2022-09-12,655,655,655,655
2022-09-13,650,650,639,639
2022-09-14,620,629.5,620,622.5
2022-09-15,587.5,587.5,587.5,587.5
2022-09-16,577,577,573,577
2022-09-19,571.5,572.5,571.5,572.5
2022-09-20,595,615,595,610
2022-09-21,602,602,602,602
2022-09-22,573,573,560.5,560.5
2022-09-23,554,554,543,543
2022-09-26,535.5,535.5,516.5,516.5
2022-09-27,538,538,538,538
2022-09-28,540,540,525,525
2022-09-29,525,525,510.5,525
2022-09-30,525,525,525,525
2022-10-03,535,540,535,540
2022-10-04,540,540,540,540
2022-10-05,532.5,534,530,534
2022-10-06,543,557,543,551
2022-10-07,560,560,550,550
2022-10-10,550,550,550,550
2022-10-11,575,590,575,590
2022-10-12,625,625,619,623
2022-10-13,585,600,582,600
2022-10-14,590,590,590,590
2022-10-17,615,625,615,616
2022-10-18,615,615,615,615
2022-10-19,630,630,630,630
2022-10-20,644.5,644.5,644.5,644.5
2022-10-21,644,655,643,643
2022-10-24,625,625,615,615
2022-10-25,610,612.5,600.5,600.5
2022-10-26,590.5,610,590.5,600
2022-10-27,600.5,600.5,600.5,600.5
2022-10-28,595,599.5,595,598.5
2022-10-31,610,610,610,610
2022-11-01,605,610,599.5,600
2022-11-02,584,584,581,581
2022-11-03,557,557,557,557
2022-11-04,545,545,530.5,538.5
2022-11-07,545,545,545,545
2022-11-08,545.5,545.5,545,545
2022-11-09,530,530,530,530
2022-11-10,530,530,530,530
2022-11-11,548,550,535,535
2022-11-14,536,536,525,525
2022-11-15,555,555,540,540
2022-11-16,540,540,540,540
2022-11-17,540,545,540,540
2022-11-18,535,536,534,536
2022-11-21,550,550,540,541.5
2022-11-22,549.5,549.5,541.5,541.5
2022-11-23,550,550,528.5,528.5
2022-11-25,528.5,528.5,528.5,528.5
2022-11-28,530,530,530,530
2022-11-29,530,535,530,532.5
2022-11-30,532,538,521,521
2022-12-01,533,534,510,518.5
2022-12-02,500.5,510,500.5,510
2022-12-05,510,510,500,500
2022-12-06,514.5,525.5,514.5,525.5
2022-12-07,534.5,535,530.5,535
2022-12-08,531.5,531.5,515,515
2022-12-09,515,515,515,515
2022-12-12,521,530,518,518
2022-12-13,520.5,528,510.5,513
2022-12-14,510,510,510,510
2022-12-15,505,505,498,504
2022-12-16,491,491,490,490.5
2022-12-19,489.5,489.5,481.5,485
2022-12-20,480.5,480.5,475,480
2022-12-21,480,485,480,485
2022-12-22,482,488.5,480,480
2022-12-23,485,485,485,485
2022-12-27,497,502,490,502
2022-12-28,502,502,500,500
2022-12-29,485.5,485.5,485.5,485.5
2022-12-30,472,500,472,496.5
2023-01-03,475.5,475.5,468.5,468.5
2023-01-04,475,478.5,475,475
2023-01-05,465,465,460.5,461.5
2023-01-06,461.5,463.5,450.5,460
2023-01-09,455.5,455.5,455.5,455.5
2023-01-10,439,439,430,430
2023-01-11,514.5,527.5,510,520
2023-01-12,520,525,520,525
2023-01-13,535,545,533,533
