time,open,high,low,close
2014-09-16,2900,2944,2880,2923
2014-09-17,2955,2964,2937,2955
2014-09-18,2952,2961,2943,2953
2014-09-19,2951,2972,2950,2960
2014-09-22,2974,2988,2945,2959
2014-09-23,2966,2978,2910,2939
2014-09-24,2892,2937,2892,2920
2014-09-25,2937,2944,2920,2930
2014-09-26,2931,2944,2922,2935
2014-09-29,2930,2933,2916,2927
2014-09-30,2950,2969,2937,2949
2014-10-08,2930,2934,2902,2913
2014-10-09,2893,2900,2874,2884
2014-10-10,2888,2888,2787,2833
2014-10-13,2813,2850,2808,2827
2014-10-14,2806,2837,2789,2824
2014-10-15,2781,2845,2781,2824
2014-10-16,2815,2838,2805,2816
2014-10-17,2836,2847,2786,2804
2014-10-20,2790,2790,2724,2744
2014-10-21,2740,2772,2740,2756
2014-10-22,2768,2778,2753,2761
2014-10-23,2754,2798,2749,2777
2014-10-24,2800,2808,2774,2791
2014-10-27,2799,2805,2767,2791
2014-10-28,2771,2790,2766,2782
2014-10-29,2796,2798,2782,2789
2014-10-30,2835,2835,2796,2815
2014-10-31,2776,2802,2771,2785
2014-11-03,2775,2787,2733,2759
2014-11-04,2728,2743,2710,2728
2014-11-05,2728,2735,2680,2692
2014-11-06,2690,2690,2618,2653
2014-11-07,2635,2636,2610,2620
2014-11-10,2628,2661,2621,2642
2014-11-11,2645,2676,2636,2661
2014-11-12,2682,2703,2666,2688
2014-11-13,2719,2764,2680,2706
2014-11-14,2698,2698,2672,2686
2014-11-17,2695,2723,2660,2687
2014-11-18,2662,2670,2647,2658
2014-11-19,2651,2702,2651,2673
2014-11-20,2676,2743,2670,2698
2014-11-21,2715,2724,2680,2693
2014-11-24,2695,2705,2660,2672
2014-11-25,2662,2673,2642,2656
2014-11-26,2662,2677,2620,2640
2014-11-27,2621,2630,2580,2598
2014-11-28,2568,2579,2538,2562
2014-12-01,2550,2550,2469,2493
2014-12-02,2543,2556,2494,2521
2014-12-03,2474,2510,2474,2500
2014-12-04,2492,2496,2433,2469
2014-12-05,2450,2467,2434,2451
2014-12-08,2448,2448,2355,2394
2014-12-09,2349,2366,2303,2334
2014-12-10,2354,2373,2328,2356
2014-12-11,2320,2354,2308,2337
2014-12-12,2328,2357,2301,2331
2014-12-15,2350,2364,2296,2323
2014-12-16,2319,2321,2230,2259
2014-12-17,2220,2224,2168,2188
2014-12-18,2134,2136,2100,2108
2014-12-19,2020,2200,2016,2144
2014-12-22,2190,2198,2132,2169
2014-12-23,2118,2139,2082,2114
2014-12-24,2069,2171,2061,2119
2014-12-25,2138,2157,2121,2137
2014-12-26,2143,2177,2143,2156
2014-12-29,2155,2158,2100,2122
2014-12-30,2124,2163,2106,2131
2014-12-31,2113,2139,2113,2128
2015-01-05,2109,2133,2076,2097
2015-01-06,2063,2113,2062,2086
2015-01-07,2081,2124,2077,2099
2015-01-08,2112,2118,2095,2108
2015-01-09,2107,2108,2081,2097
2015-01-12,2078,2094,2018,2042
2015-01-13,2003,2022,1970,1991
2015-01-14,1979,2027,1976,1999
2015-01-15,2001,2034,1985,2015
2015-01-16,2042,2080,2003,2045
2015-01-19,2049,2093,2045,2074
2015-01-20,2089,2096,2066,2082
2015-01-21,2092,2150,2073,2113
2015-01-22,2121,2165,2114,2138
2015-01-23,2141,2154,2109,2129
2015-01-26,2121,2135,2081,2106
2015-01-27,2109,2122,2098,2110
2015-01-28,2108,2159,2105,2136
2015-01-29,2151,2155,2126,2138
2015-01-30,2136,2140,2104,2117
2015-02-02,2119,2172,2092,2133
2015-02-03,2163,2216,2152,2183
2015-02-04,2220,2258,2200,2225
2015-02-05,2212,2225,2191,2210
2015-02-06,2219,2254,2218,2240
2015-02-09,2246,2250,2220,2233
2015-02-10,2233,2244,2206,2221
2015-02-11,2204,2220,2196,2207
2015-02-12,2205,2237,2201,2215
2015-02-13,2240,2304,2234,2270
2015-02-16,2318,2343,2302,2320
2015-02-17,2326,2346,2305,2324
2015-02-25,2300,2366,2279,2331
2015-02-26,2353,2413,2339,2384
2015-02-27,2396,2408,2350,2380
2015-03-02,2389,2470,2380,2436
2015-03-03,2449,2489,2380,2435
2015-03-04,2382,2428,2347,2393
2015-03-05,2406,2440,2371,2411
2015-03-06,2435,2466,2387,2427
2015-03-09,2414,2446,2340,2383
2015-03-10,2424,2436,2383,2408
2015-03-11,2382,2434,2353,2400
2015-03-12,2394,2470,2382,2426
2015-03-13,2466,2473,2412,2441
2015-03-16,2415,2433,2385,2411
2015-03-17,2399,2420,2338,2375
2015-03-18,2352,2373,2301,2338
2015-03-19,2308,2357,2292,2325
2015-03-20,2306,2354,2304,2328
2015-03-23,2337,2357,2306,2336
2015-03-24,2351,2430,2351,2419
2015-03-25,2460,2481,2406,2439
2015-03-26,2429,2458,2401,2435
2015-03-27,2438,2446,2370,2411
2015-03-30,2420,2424,2370,2394
2015-03-31,2393,2443,2375,2423
2015-04-01,2423,2436,2393,2416
2015-04-02,2435,2513,2431,2486
2015-04-03,2502,2523,2422,2479
2015-04-07,2490,2504,2467,2481
2015-04-08,2470,2497,2454,2475
2015-04-09,2474,2481,2415,2449
2015-04-10,2444,2456,2371,2419
2015-04-13,2371,2425,2356,2392
2015-04-14,2425,2427,2383,2404
2015-04-15,2405,2448,2405,2424
2015-04-16,2427,2521,2423,2479
2015-04-17,2525,2582,2502,2535
2015-04-20,2547,2612,2533,2574
2015-04-21,2575,2600,2538,2575
2015-04-22,2558,2567,2518,2546
2015-04-23,2554,2565,2522,2545
2015-04-24,2547,2583,2545,2562
2015-04-27,2575,2610,2554,2579
2015-04-28,2592,2654,2578,2620
2015-04-29,2606,2607,2527,2573
2015-04-30,2553,2584,2544,2567
2015-05-04,2583,2586,2536,2562
2015-05-05,2573,2580,2551,2563
2015-05-06,2585,2622,2577,2600
2015-05-07,2600,2604,2533,2561
2015-05-08,2544,2544,2482,2506
