time,open,high,low,close
2008/1/2,7.116779,7.152135,6.876779,6.958564
2008/1/3,6.978922,7.049636,6.881779,6.961778
2008/1/4,6.837493,6.89285,6.388922,6.430351
2008/1/7,6.473208,6.557137,6.079637,6.344279
2008/1/8,6.433565,6.516422,6.099994,6.116065
2008/1/9,6.117851,6.410708,6.010708,6.407136
2008/1/10,6.342137,6.464279,6.264637,6.357851
2008/1/11,6.285708,6.35178,6.071423,6.167494
2008/1/14,6.339994,6.407851,6.256065,6.384994
2008/1/15,6.347137,6.400708,5.880708,6.037136
2008/1/16,5.901066,6.036065,5.596423,5.701423
2008/1/17,5.768208,5.905708,5.657851,5.746066
2008/1/18,5.775352,5.919637,5.700351,5.762851
2008/1/22,5.287852,5.713566,5.214281,5.558566
2008/1/23,4.863924,4.999995,4.504995,4.966853
2008/1/24,4.999638,5.024995,4.714638,4.842853
2008/1/25,4.963924,4.967495,4.628924,4.643209
2008/1/28,4.577138,4.757138,4.516067,4.643209
2008/1/29,4.683924,4.742495,4.608924,4.697852
2008/1/30,4.691781,4.837495,4.642853,4.720709
2008/1/31,4.62321,4.880352,4.621424,4.834281
2008/2/1,4.86571,4.878209,4.720709,4.776781
2008/2/4,4.79321,4.853566,4.693567,4.701781
2008/2/5,4.658209,4.78571,4.603566,4.619995
2008/2/6,4.672495,4.711424,4.348924,4.357139
2008/2/7,4.284639,4.456424,4.18821,4.329996
2008/2/8,4.359996,4.489281,4.342853,4.481424
2008/2/11,4.571781,4.642138,4.542853,4.62321
2008/2/12,4.667852,4.678567,4.414996,4.459281
2008/2/13,4.524281,4.634995,4.486781,4.621424
2008/2/14,4.621424,4.671424,4.536067,4.552139
2008/2/15,4.509638,4.538567,4.43071,4.451067
2008/2/19,4.499639,4.526781,4.337139,4.363567
2008/2/20,4.364281,4.449996,4.34571,4.422139
2008/2/21,4.501781,4.516781,4.316424,4.34071
2008/2/22,4.374281,4.375352,4.13821,4.266425
2008/2/25,4.235353,4.291781,4.166567,4.276425
2008/2/26,4.201424,4.324639,4.122853,4.255353
2008/2/27,4.222496,4.394638,4.217496,4.391425
2008/2/28,4.542853,4.721424,4.491781,4.639638
2008/2/29,4.617495,4.650353,4.457138,4.464996
2008/3/3,4.444281,4.499281,4.214282,4.347496
2008/3/4,4.356782,4.459996,4.299995,4.45071
2008/3/5,4.413567,4.469281,4.366067,4.446063
2008/3/6,4.450532,4.553567,4.314639,4.318924
2008/3/7,4.300353,4.392135,4.251781,4.366067
2008/3/10,4.356424,4.409282,4.26321,4.274639
2008/3/11,4.432139,4.552853,4.357139,4.548213
2008/3/12,4.537138,4.595709,4.470353,4.501067
2008/3/13,4.432139,4.624995,4.392853,4.569281
2008/3/14,4.638567,4.653567,4.43571,4.521781
2008/3/17,4.376781,4.592495,4.376781,4.526067
2008/3/18,4.613566,4.750049,4.595353,4.743567
2008/3/19,4.754281,4.796066,4.631067,4.631067
2008/3/20,4.682852,4.760406,4.613566,4.759638
2008/3/24,4.786066,5.030352,4.772852,4.983209
2008/3/25,4.998567,5.11071,4.904638,5.034995
2008/3/26,5.031066,5.204995,5.022852,5.180709
2008/3/27,5.176781,5.189638,4.999638,5.008924
2008/3/28,5.064281,5.166066,5.057138,5.107495
2008/3/31,5.116781,5.203924,5.089995,5.124995
2008/4/1,5.224995,5.344995,5.128923,5.340356
2008/4/2,5.313566,5.399995,5.208924,5.267495
2008/4/3,5.252138,5.48678,5.249995,5.414637
2008/4/4,5.435352,5.52553,5.383923,5.467137
2008/4/7,5.576066,5.703209,5.539637,5.567494
2008/4/8,5.483923,5.587494,5.439995,5.458566
2008/4/9,5.475352,5.496066,5.373566,5.408566
2008/4/10,5.397495,5.550709,5.378566,5.519637
2008/4/11,5.45428,5.474995,5.228566,5.254995
2008/4/14,5.24178,5.330352,5.162137,5.277852
2008/4/15,5.335709,5.347138,5.204281,5.29928
