time,open,high,low,close
2007-12-11,1123.25,1137,1122,1135.5
2007-12-12,1131.25,1153.25,1124.5,1151.5
2007-12-13,1151,1161,1144.25,1146
2007-12-14,1146,1164.5,1144.75,1157
2007-12-17,1157.5,1173.75,1149,1156.75
2007-12-18,1175,1180,1164.5,1168.5
2007-12-19,1168,1178.75,1167,1177.75
2007-12-20,1177.25,1187,1173.25,1179.75
2007-12-21,1178.75,1196.75,1177,1196
2007-12-24,1192.75,1203,1188.5,1199.25
2007-12-26,1208.25,1245.75,1208.25,1239.5
2007-12-27,1239,1243.75,1227.75,1231.5
2007-12-28,1230,1248,1182,1223
2007-12-31,1210.5,1218.75,1197,1214.25
2008-01-02,1221.5,1262.75,1221,1248.75
2008-01-03,1248.75,1269.25,1245.75,1267.5
2008-01-04,1268.75,1278,1251,1262.5
2008-01-07,1259.75,1264,1246.5,1249.75
2008-01-08,1249.5,1279.75,1249.25,1267
2008-01-09,1267,1277.5,1260.75,1262.5
2008-01-10,1260,1270.5,1252,1260.25
2008-01-11,1260.25,1310.25,1260,1298.75
2008-01-14,1302,1341.5,1295,1296.5
2008-01-15,1293.25,1314.25,1281.25,1301.5
2008-01-16,1296.5,1301.25,1251.75,1277
2008-01-17,1279,1312.25,1262.5,1271
2008-01-18,1265.25,1277,1244,1263
2008-01-22,1240,1255.5,1214,1239.5
2008-01-23,1238,1251.25,1189.5,1189.5
2008-01-24,1198.25,1239,1197,1230.5
2008-01-25,1235.5,1253,1226.25,1243
2008-01-28,1244,1259.5,1228.25,1253.75
2008-01-29,1256.25,1268,1247.25,1266.75
2008-01-30,1270.75,1278.5,1258.75,1275.75
2008-01-31,1274.25,1279.5,1262.25,1274.5
2008-02-01,1275.25,1298.5,1275.25,1287.25
2008-02-04,1289.5,1328,1288.5,1326
2008-02-05,1328.25,1330,1309.5,1323
2008-02-06,1329.25,1373,1316,1318.5
2008-02-07,1315.5,1334.5,1301,1331.5
2008-02-08,1336.5,1374.5,1329.5,1339
2008-02-11,1345.25,1354.5,1313.5,1326
2008-02-12,1327,1346.5,1306.5,1321
2008-02-13,1319.75,1334,1312,1328.5
2008-02-14,1333.25,1369.5,1329,1368
2008-02-15,1388,1404.5,1375,1391.25
2008-02-19,1396,1428.75,1393,1417.75
2008-02-20,1419,1419.75,1406.25,1417
2008-02-21,1418,1436.75,1406.75,1424.75
2008-02-22,1427,1440.25,1416,1438.25
2008-02-25,1443,1485.5,1437,1469.25
2008-02-26,1470,1493.75,1442.75,1484.25
2008-02-27,1488.75,1493,1459,1475.25
2008-02-28,1473.25,1515.75,1470,1512.5
2008-02-29,1509.5,1539.25,1501,1536.5
2008-03-03,1534,1586.25,1534,1559.5
2008-03-04,1561.25,1584.5,1509.5,1510.75
2008-03-05,1512,1554.75,1479,1508.5
2008-03-06,1514,1535,1458.5,1458.75
2008-03-07,1460.75,1461,1408.75,1408.75
2008-03-10,1370,1412.75,1358.75,1406.5
2008-03-11,1417.5,1440.25,1390,1407.75
2008-03-12,1405,1419.5,1376,1395
2008-03-13,1393.25,1430.75,1387,1402.75
2008-03-14,1403.75,1422.5,1352.75,1352.75
2008-03-17,1352,1374.25,1302.75,1302.75
2008-03-18,1254.5,1318.75,1252.75,1307
2008-03-19,1308,1315.5,1257,1257
2008-03-20,1229.5,1236,1207,1207
2008-03-24,1210.75,1257,1210.75,1257
2008-03-25,1275.75,1307,1269.5,1307
2008-03-26,1357,1357,1325,1352
2008-03-27,1345.5,1351.75,1325.5,1327.25
2008-03-28,1322.25,1337.5,1258.25,1267.25
2008-03-31,1280,1300,1197.25,1197.25
2008-04-01,1167,1229.75,1106.5,1211
2008-04-02,1222.25,1246.75,1187,1243
2008-04-03,1250.25,1263.5,1231.75,1257
2008-04-04,1260.5,1279,1254.5,1277
2008-04-07,1275.75,1295,1245,1255
2008-04-08,1245,1269,1245,1251.5
2008-04-09,1255,1321.5,1254.75,1313
2008-04-10,1317,1380.5,1314,1356
2008-04-11,1354,1361,1327.5,1332.5
2008-04-14,1344.25,1376.25,1319.75,1372.5
2008-04-15,1374.5,1398,1369,1380
2008-04-16,1379.5,1392,1333.5,1344.75
2008-04-17,1362,1383.25,1342.75,1366.5
2008-04-18,1368.75,1386,1330.75,1377
2008-04-21,1377,1380,1307,1330.5
2008-04-22,1332.75,1399.5,1322,1389.5
2008-04-23,1394.5,1409.5,1373.75,1385.5
2008-04-24,1384.75,1392,1350.75,1361
2008-04-25,1358,1371.75,1331,1337
2008-04-28,1342.5,1357.75,1279,1297.5
2008-04-29,1304.5,1308.75,1280.25,1293.5
2008-04-30,1293.75,1350,1281.25,1314
2008-05-01,1318,1326.5,1244,1271
2008-05-02,1271,1312.75,1262,1304.5
2008-05-05,1305.25,1312.5,1281,1286
2008-05-06,1288.25,1334,1272,1277
2008-05-07,1280,1311.5,1275.25,1309
2008-05-08,1312,1321,1297.5,1310
2008-05-09,1312.5,1367.25,1308,1358
2008-05-12,1361,1375.5,1338.25,1342.5
2008-05-13,1349.25,1382.5,1334.75,1379.5
2008-05-14,1380,1388,1366.5,1379.5
2008-05-15,1379,1380,1311,1347.5
2008-05-16,1350.5,1402,1349.5,1378
2008-05-19,1377.25,1377.25,1321.5,1333
2008-05-20,1340.5,1363.5,1323,1331.5
2008-05-21,1329.25,1358,1326,1349
2008-05-22,1350.25,1367.25,1312.5,1324.75
2008-05-23,1324,1372,1322.75,1368
2008-05-27,1384,1390,1340,1347.75
2008-05-28,1345,1385,1336.5,1372.75
2008-05-29,1372.25,1376,1307.75,1322.75
2008-05-30,1316,1365,1308,1363.5
2008-06-02,1357,1384.5,1353,1365.5
2008-06-03,1364.75,1384,1346.5,1359.5
2008-06-04,1362,1400,1348.5,1389
2008-06-05,1392,1456,1390.25,1452
2008-06-06,1452.75,1487.75,1448.5,1457.5
2008-06-09,1469.25,1489.5,1446.5,1452
2008-06-10,1453.5,1465.75,1419,1446.5
2008-06-11,1453.5,1516.5,1452.25,1516.5
2008-06-12,1530.75,1546.75,1492.25,1536.5
2008-06-13,1537,1571.75,1520.25,1560
2008-06-16,1569.75,1588.5,1523.5,1534
2008-06-17,1520.75,1558,1513.25,1553
2008-06-18,1550.75,1566.75,1528,1543
2008-06-19,1546,1552.25,1491.75,1521.5
2008-06-20,1520,1541.25,1498.5,1509
2008-06-23,1495.75,1506.75,1473.75,1502.5
2008-06-24,1508,1517,1480.25,1491
2008-06-25,1491,1526.25,1480.5,1525
2008-06-26,1526.75,1569.5,1519.5,1561.5
2008-06-27,1560.5,1579,1551,1559.5
2008-06-30,1559.5,1577,1530,1574
2008-07-01,1574.75,1610,1569,1610
2008-07-02,1608.75,1634.75,1594.5,1630
2008-07-03,1633,1636.75,1596,1631
