time,open,high,low,close
2010-01-04,4523,4610,4523,4576
2010-01-05,4592,4606,4572,4590
2010-01-06,4587,4635,4581,4620
2010-01-07,4641,4650,4389,4539
2010-01-08,4505,4510,4412,4456
2010-01-11,4495,4518,4475,4502
2010-01-12,4505,4528,4480,4503
2010-01-13,4420,4460,4354,4420
2010-01-14,4450,4464,4430,4448
2010-01-15,4419,4436,4355,4395
2010-01-18,4339,4399,4310,4374
2010-01-19,4405,4418,4361,4388
2010-01-20,4392,4394,4341,4364
2010-01-21,4337,4366,4326,4344
2010-01-22,4319,4335,4257,4298
2010-01-25,4280,4295,4265,4280
2010-01-26,4286,4290,4258,4270
2010-01-27,4275,4327,4265,4299
2010-01-28,4260,4319,4255,4295
2010-01-29,4281,4315,4276,4298
2010-02-01,4317,4334,4276,4296
2010-02-02,4316,4323,4126,4209
2010-02-03,4175,4188,4136,4165
2010-02-04,4150,4158,4093,4123
2010-02-05,4090,4110,4066,4088
2010-02-08,4120,4139,4103,4123
2010-02-09,4123,4166,4115,4137
2010-02-10,4172,4219,4156,4191
2010-02-11,4210,4236,4190,4216
2010-02-12,4246,4299,4233,4276
2010-02-22,4330,4376,4229,4278
2010-02-23,4240,4297,4220,4273
2010-02-24,4261,4281,4233,4252
2010-02-25,4258,4263,4191,4234
2010-02-26,4208,4219,4175,4196
2010-03-01,4233,4256,4190,4216
2010-03-02,4202,4208,4151,4172
2010-03-03,4173,4173,4133,4150
2010-03-04,4150,4158,4135,4145
2010-03-05,4140,4172,4135,4157
2010-03-08,4171,4205,4165,4190
2010-03-09,4185,4198,4174,4189
2010-03-10,4200,4217,4194,4207
2010-03-11,4216,4219,4177,4203
2010-03-12,4221,4228,4205,4212
2010-03-15,4226,4245,4211,4229
2010-03-16,4252,4371,4243,4318
2010-03-17,4358,4400,4334,4364
2010-03-18,4342,4351,4318,4334
2010-03-19,4329,4351,4315,4337
2010-03-22,4349,4395,4341,4373
2010-03-23,4365,4380,4350,4362
2010-03-24,4362,4418,4348,4391
2010-03-25,4425,4448,4404,4423
2010-03-26,4433,4484,4426,4449
2010-03-29,4449,4480,4445,4459
2010-03-30,4470,4477,4420,4443
2010-03-31,4426,4437,4409,4420
2010-04-01,4426,4426,4380,4409
2010-04-02,4763,4788,4758,4772
2010-04-06,4799,4832,4794,4813
2010-04-07,4839,4854,4829,4840
2010-04-08,4843,4846,4801,4823
2010-04-09,4816,4850,4805,4831
2010-04-12,4865,4885,4853,4870
2010-04-13,4865,4898,4863,4879
2010-04-14,4890,4896,4852,4871
2010-04-15,4852,4863,4812,4837
2010-04-16,4817,4843,4804,4826
2010-04-19,4802,4817,4733,4771
2010-04-20,4770,4777,4744,4762
2010-04-21,4765,4772,4733,4755
2010-04-22,4750,4767,4728,4749
2010-04-23,4732,4746,4723,4737
2010-04-26,4758,4763,4724,4741
2010-04-27,4721,4726,4667,4689
2010-04-28,4621,4649,4585,4619
2010-04-29,4594,4619,4577,4599
2010-04-30,4596,4638,4590,4609
2010-05-04,4616,4676,4609,4649
2010-05-05,4620,4662,4613,4636
2010-05-06,4656,4679,4631,4653
2010-05-07,4610,4618,4537,4565
2010-05-10,4572,4580,4489,4527
2010-05-11,4530,4548,4475,4510
2010-05-12,4471,4474,4395,4422
2010-05-13,4412,4427,4372,4401
2010-05-14,4389,4421,4363,4394
2010-05-17,4320,4329,4178,4235
2010-05-18,4200,4244,4138,4180
2010-05-19,4152,4250,4148,4205
2010-05-20,4248,4297,4229,4267
2010-05-21,4228,4244,4162,4208
2010-05-24,4278,4321,4258,4284
2010-05-25,4293,4313,4260,4284
2010-05-26,4300,4301,4252,4272
2010-05-27,4260,4284,4225,4251
2010-05-28,4293,4313,4250,4279
2010-05-31,4237,4257,4215,4237
2010-06-01,4201,4213,4173,4189
2010-06-02,4173,4204,4148,4174
2010-06-03,4203,4215,4182,4197
2010-06-04,4170,4183,4162,4174
2010-06-07,4059,4084,4007,4037
2010-06-08,4035,4063,4030,4043
2010-06-09,4068,4110,4043,4074
2010-06-10,4089,4100,4068,4085
2010-06-11,4098,4125,4092,4110
2010-06-17,4130,4147,4111,4130
2010-06-18,4111,4123,4086,4106
2010-06-21,4106,4174,4088,4132
2010-06-22,4130,4157,4128,4143
2010-06-23,4099,4117,4059,4087
2010-06-24,4087,4109,4081,4099
2010-06-25,4100,4101,4074,4085
2010-06-28,4102,4108,4028,4058
2010-06-29,4022,4036,3980,4005
2010-06-30,3975,3989,3958,3971
2010-07-01,3975,3985,3952,3966
2010-07-02,3955,3981,3921,3948
2010-07-05,3970,3998,3954,3976
2010-07-06,3972,3995,3957,3976
2010-07-07,3964,3978,3955,3964
2010-07-08,3985,4000,3933,3957
2010-07-09,3933,3958,3912,3932
2010-07-12,3950,3955,3932,3943
2010-07-13,3939,3942,3906,3919
2010-07-14,3918,3928,3892,3911
2010-07-15,3902,3925,3886,3907
2010-07-16,3917,3924,3902,3911
2010-07-19,3904,3970,3903,3945
2010-07-20,3978,4019,3963,3991
2010-07-21,4005,4036,4005,4021
2010-07-22,4026,4028,4005,4017
2010-07-23,4035,4062,4031,4048
2010-07-26,4053,4071,4027,4049
2010-07-27,4040,4043,3981,4005
2010-07-28,3977,4030,3972,4004
2010-07-29,4018,4042,4005,4021
2010-07-30,4030,4069,4018,4046
2010-08-02,4083,4140,4083,4121
2010-08-03,4131,4136,4093,4108
2010-08-04,4100,4116,4084,4097
2010-08-05,4128,4129,4091,4107
2010-08-06,4095,4116,4087,4100
2010-08-09,4116,4185,4115,4158
2010-08-10,4172,4176,4157,4166
2010-08-11,4159,4202,4153,4182
2010-08-12,4160,4160,4113,4130
2010-08-13,4128,4145,4119,4130
2010-08-16,4145,4172,4126,4148
2010-08-17,4170,4185,4157,4171
2010-08-18,4188,4206,4175,4186
2010-08-19,4177,4190,4163,4176
2010-08-20,4170,4176,4156,4166
2010-08-23,4167,4167,4124,4134
2010-08-24,4123,4140,4115,4123
2010-08-25,4107,4122,4101,4111
2010-08-26,4110,4188,4110,4124
2010-08-27,4135,4144,4125,4134
2010-08-30,4153,4186,4153,4168
2010-08-31,4177,4205,4159,4191
2010-09-01,4198,4242,4188,4218
2010-09-02,4380,4395,4370,4383
2010-09-03,4400,4400,4358,4374
2010-09-06,4471,4592,4452,4545
2010-09-07,4584,4592,4547,4567
2010-09-08,4568,4568,4531,4543
2010-09-09,4550,4558,4340,4471
2010-09-10,4445,4500,4434,4473
2010-09-13,4529,4541,4470,4499
2010-09-14,4483,4484,4406,4447
2010-09-15,4432,4435,4401,4419
2010-09-16,4419,4434,4350,4387
2010-09-17,4370,4383,4351,4368
2010-09-20,4370,4418,4356,4388
2010-09-21,4370,4378,4305,4331
2010-09-27,4337,4343,4255,4281
2010-09-28,4250,4283,4231,4260
2010-09-29,4246,4285,4217,4250
2010-09-30,4221,4265,4196,4229
2010-10-08,4262,4297,4247,4275
2010-10-11,4320,4372,4319,4347
2010-10-12,4328,4329,4291,4312
2010-10-13,4322,4329,4297,4315
2010-10-14,4330,4336,4283,4304
2010-10-15,4279,4312,4267,4285
2010-10-18,4300,4348,4296,4326
2010-10-19,4340,4345,4293,4313
2010-10-20,4270,4290,4225,4266
2010-10-21,4267,4297,4260,4275
2010-10-22,4269,4275,4257,4265
2010-10-25,4265,4318,4265,4298
2010-10-26,4314,4324,4286,4303
2010-10-27,4297,4328,4278,4309
2010-10-28,4338,4338,4304,4315
2010-10-29,4311,4326,4298,4315
2010-11-01,4326,4363,4326,4343
2010-11-02,4368,4368,4350,4355
2010-11-03,4368,4389,4363,4377
2010-11-04,4382,4424,4380,4403
2010-11-05,4480,4545,4447,4516
2010-11-08,4550,4553,4515,4530
2010-11-09,4538,4756,4538,4629
2010-11-10,4675,4695,4567,4635
2010-11-11,4620,4663,4583,4629
2010-11-12,4633,4633,4442,4516
2010-11-15,4500,4570,4500,4536
2010-11-16,4548,4565,4522,4540
2010-11-17,4435,4477,4366,4442
2010-11-18,4528,4529,4469,4494
2010-11-19,4546,4566,4512,4543
2010-11-22,4543,4577,4536,4565
2010-11-23,4555,4565,4526,4546
2010-11-24,4559,4623,4544,4584
2010-11-25,4615,4645,4600,4627
2010-11-26,4628,4630,4580,4593
2010-11-29,4600,4623,4582,4608
2010-11-30,4621,4629,4582,4610
2010-12-01,4611,4651,4610,4639
2010-12-02,4658,4687,4658,4675
2010-12-03,4693,4745,4685,4719
2010-12-06,4737,4744,4705,4718
2010-12-07,4723,4771,4710,4744
2010-12-08,4740,4758,4711,4737
2010-12-09,4735,4743,4712,4727
2010-12-10,4708,4732,4693,4715
2010-12-13,4730,4789,4728,4768
2010-12-14,4770,4791,4760,4774
2010-12-15,4778,4814,4751,4783
2010-12-16,4765,4787,4757,4772
2010-12-17,4767,4794,4767,4784
2010-12-20,4810,4827,4770,4800
2010-12-21,4811,4832,4803,4817
2010-12-22,4830,4831,4783,4804
2010-12-23,4798,4799,4763,4778
2010-12-24,4776,4784,4743,4760
2010-12-27,4736,4770,4720,4748
2010-12-28,4738,4755,4737,4745
2010-12-29,4747,4778,4721,4754
2010-12-30,4766,4792,4752,4773
2010-12-31,4778,4814,4778,4803
2011-01-04,4830,4843,4805,4823
2011-01-05,4800,4817,4789,4807
2011-01-06,4806,4825,4802,4816
2011-01-07,4800,4828,4777,4799
2011-01-10,4801,4851,4801,4835
2011-01-11,4834,4844,4828,4835
2011-01-12,4860,4866,4833,4850
2011-01-13,4860,4865,4843,4855
2011-01-14,4866,4918,4852,4891
2011-01-17,4905,4933,4898,4915
2011-01-18,4916,4929,4887,4909
2011-01-19,4923,4941,4911,4926
2011-01-20,4921,4931,4913,4921
