trade_date,close,high,low,open,vol,MA5,MA15,MA30,MA60,MA120,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J,SAR,WILLR,BIAS5,BIAS15,BIAS30,BIAS60,BIAS120,Pct_Change
,327.31,329.0,325.7,329.0,42436,327.31,327.31,327.31,327.31,327.31,0.0,0.0,0.0,4.295,327.31,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,325.7,-51.212121,0.0,0.0,0.0,0.0,0.0,1.417616
,331.95,332.07,328.68,330.0,41158,329.63,329.63,329.63,329.63,329.63,0.370142,0.074028,0.592228,4.295,329.63,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,325.7,-1.88383,0.703819,0.703819,0.703819,0.703819,0.703819,1.417616
,333.44,333.64,330.75,331.12,47759,330.9,330.9,330.9,330.9,330.9,0.774782,0.214179,1.121206,4.295,330.9,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,325.9548,-2.518892,0.767604,0.767604,0.767604,0.767604,0.767604,0.448863
,330.34,330.77,328.66,330.05,34741,330.76,330.76,330.76,330.76,330.76,0.835685,0.33848,0.994409,4.295,330.76,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,326.415912,-41.561713,-0.12698,-0.12698,-0.12698,-0.12698,-0.12698,-0.929702
,332.25,332.73,329.99,330.22,31920,331.058,331.058,331.058,331.058,331.058,1.026242,0.476033,1.100419,4.295,331.058,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,326.849357,-17.506297,0.360058,0.360058,0.360058,0.360058,0.360058,0.578192
,336.26,336.36,333.91,334.93,30915,332.848,331.925,331.925,331.925,331.925,1.48373,0.677572,1.612315,4.295,331.925,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,327.256796,-0.938086,1.025093,1.306018,1.306018,1.306018,1.306018,1.206922
,337.07,337.66,335.84,336.21,28024,333.872,332.66,332.66,332.66,332.66,1.889867,0.920031,1.939672,4.295,332.66,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,327.985052,-4.93311,0.957852,1.325678,1.325678,1.325678,1.325678,0.240885
,336.74,337.32,333.66,337.32,56611,334.532,333.17,333.17,333.17,333.17,2.160204,1.168066,1.984277,4.295,333.17,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,328.952547,-7.692308,0.660027,1.071525,1.071525,1.071525,1.071525,-0.097903
,335.23,336.44,333.67,334.23,34115,335.51,333.398889,333.398889,333.398889,333.398889,2.226933,1.379839,1.694188,4.295,333.398889,362.519078,321.858922,82.339791,79.682274,79.682274,79.682274,329.823292,-20.317726,-0.083455,0.549225,0.549225,0.549225,0.549225,-0.448417
,339.84,340.15,336.42,336.48,34506,337.028,334.043,334.043,334.043,334.043,2.621585,1.628188,1.986793,4.295,334.043,362.519078,321.858922,82.339791,90.254111,86.025376,98.71158,330.606963,-2.145329,0.834352,1.735405,1.735405,1.735405,1.735405,1.375175
,338.72,339.35,336.15,338.45,36283,337.52,334.468182,334.468182,334.468182,334.468182,2.811565,1.864864,1.893402,4.295,334.468182,362.519078,321.858922,82.339791,88.975298,87.422708,92.080479,331.752127,-9.896194,0.355534,1.271218,1.271218,1.271218,1.271218,-0.329567
