trade_date,close,high,low,open,vol
2012/1/4,327.31,329,325.7,329,42436
2012/1/5,331.95,332.07,328.68,330,41158
2012/1/6,333.44,333.64,330.75,331.12,47759
2012/1/9,330.34,330.77,328.66,330.05,34741
2012/1/10,332.25,332.73,329.99,330.22,31920
2012/1/11,336.26,336.36,333.91,334.93,30915
2012/1/12,337.07,337.66,335.84,336.21,28024
2012/1/13,336.74,337.32,333.66,337.32,56611
2012/1/16,335.23,336.44,333.67,334.23,34115
2012/1/17,339.84,340.15,336.42,336.48,34506
2012/1/18,338.72,339.35,336.15,338.45,36283
2012/1/19,340.75,341.16,339.09,339.09,24303
2012/1/20,339.7,339.76,337.99,339.22,28676
2012/1/30,353.35,354.89,352.77,354.09,30334
2012/1/31,355.1,355.77,354.13,354.33,28320
2012/2/1,354.14,355.9,354.06,354.99,28190
2012/2/2,356.9,357.9,356.13,357.13,30894
2012/2/3,358.62,358.91,358.13,358.52,22304
2012/2/6,353.38,354.69,353.13,353.17,29754
2012/2/7,352.69,352.69,351.16,351.34,28638
2012/2/8,357.79,357.93,356.27,356.27,31227
2012/2/9,355.19,355.21,352.48,353.57,31489
2012/2/10,353.25,354.19,352.95,353.21,25173
2012/2/13,352.68,353.3,351.54,351.94,23928
2012/2/14,350.45,351.93,350.04,351.59,23040
2012/2/15,352.26,352.78,351.31,351.31,24791
2012/2/16,350.86,352.43,350.06,352.43,35739
2012/2/17,353.42,354.11,353.04,353.04,29358
2012/2/20,353.83,354.69,353.82,354.19,20580
2012/2/21,355.68,355.86,353.44,354.01,26223
2012/2/22,358.31,358.53,357.89,358.34,17910
2012/2/23,362.54,362.56,361.42,361.82,25240
2012/2/24,362.28,363.15,361.96,362.49,23105
2012/2/27,360.96,362.84,360.88,361.59,20707
2012/2/28,361.91,362,360.32,360.47,20978
2012/2/29,364.78,364.94,363.9,364.22,19413
2012/3/1,349.9,351.69,348.86,348.86,52847
2012/3/2,350.53,351.79,350.44,350.87,24181
2012/3/5,348.88,350.42,348.67,349.73,26183
2012/3/6,346.83,348.92,346.78,348.5,25192
2012/3/7,341.34,342.63,341.26,341.99,27653
2012/3/8,344.67,344.74,343.38,343.67,17687
2012/3/9,347.78,348.31,346.35,346.74,23504
2012/3/12,347.98,349.67,347.32,349.23,27753
2012/3/13,347.62,348.17,347.39,347.45,18188
2012/3/14,341.42,343.36,341.21,342.7,35963
2012/3/15,337.43,338.16,335.26,335.29,36549
2012/3/16,340.8,341.01,339.23,339.24,25491
2012/3/19,340.99,341.39,340.15,340.42,19196
2012/3/20,338.59,341.33,338.44,341.11,28165
2012/3/21,338.65,339.47,337.63,338.82,24562
2012/3/22,338.06,339.23,337.39,338.47,23977
2012/3/23,337.23,338.02,336.31,337.66,27033
2012/3/26,340.77,342.79,340.15,340.81,20848
2012/3/27,345.84,345.94,345.07,345.65,22570
2012/3/28,342.43,344.19,342.38,344.16,18328
2012/3/29,340.03,340.21,338.66,340.21,22579
2012/3/30,340.34,340.46,339.77,340.05,17465
2012/4/5,333.18,333.5,332.03,332.03,22837
2012/4/6,334.47,334.47,332.84,333.93,14773
2012/4/9,336.49,336.82,334.81,335.81,23840
2012/4/10,337.66,339.47,336.78,336.78,41095
2012/4/11,340.02,340.05,338.7,339.12,29685
2012/4/12,339.32,339.79,338.96,339.73,19893
2012/4/13,342.54,342.99,342.09,342.78,22421
2012/4/16,335.75,338.42,335.58,338.2,32931
2012/4/17,336.2,337.63,336.2,337.56,21938
2012/4/18,338.3,338.38,337.1,337.45,26365
2012/4/19,335.84,335.92,334.98,335.75,23100
2012/4/20,336.22,336.93,335.69,335.76,19847
2012/4/23,335.87,336.39,335.62,335.62,15608
2012/4/24,335.02,335.92,334.78,335.28,22492
2012/4/25,336.17,336.49,335.94,336.45,14630
2012/4/26,337.93,337.94,336.42,336.45,22570
2012/4/27,338.15,339.31,338.14,339.26,21211
2012/5/2,338.11,339.89,337.92,339.86,21924
2012/5/3,335.87,338.06,335.77,337.83,18077
